sku,ad_days,ad_orders,spend,units,sale_days,stock
863386191,22,6,7582.76,10,7,
1719404303,22,12,5964.82,21,12,
1510947813,17,14,5614.54,22,11,181.0
1547263981,23,4,5263.99,16,11,28.0
1277712843,23,16,4476.41,21,12,52.0
870872516,19,10,2492.99,18,10,
653303752,23,9,2222.26,10,8,
864225717,18,5,2040.86,10,7,
1261464375,16,3,1416.96,4,4,
866443793,19,9,1290.46,14,10,
907612978,21,2,1278.37,6,5,63.0
930627436,15,8,1165.88,10,6,
1760686645,8,3,1140.30,15,10,
2909045114,14,1,1081.00,3,2,
1719319666,17,2,982.88,11,6,
1658970308,16,1,975.36,5,5,1176.0
2509753251,21,5,835.49,8,6,
1719404446,13,5,827.01,12,6,948.0
863431671,17,2,692.76,4,4,
870872512,19,5,679.68,6,6,
1003270627,16,6,642.39,7,5,1058.0
863388173,18,4,539.13,4,2,
1548617449,7,2,531.62,2,2,829.0
930623456,14,2,528.02,2,2,
866442961,17,3,527.80,3,3,151.0
1510950358,15,3,524.85,3,3,
1339739383,14,2,518.61,3,2,
1769491634,13,3,498.23,3,3,805.0
870872440,16,3,459.51,9,7,
3557210909,18,2,400.08,2,2,
3855388119,9,3,385.69,5,4,
930617217,11,5,378.33,10,6,
863431676,10,1,377.76,2,2,
1759807965,13,3,332.33,5,5,1229.0
864225280,16,1,297.34,4,3,80.0
1716070006,8,3,272.42,5,3,
1469084054,8,0,263.49,7,5,2107.0
874375708,9,0,251.42,4,3,
652454626,18,1,246.86,3,2,1216.0
863431732,13,4,225.21,4,4,
2414969106,6,5,213.17,6,3,
873312718,8,0,210.10,2,2,
1987412088,8,3,209.62,3,2,518.0
2463013586,12,0,189.78,2,2,8.0
1771578083,12,0,174.59,3,2,
651915925,10,5,174.38,7,6,501.0
870872605,8,6,164.14,7,3,
863384426,8,3,161.15,3,3,
870872414,8,4,148.14,4,3,
930629486,8,0,144.38,2,2,
3681638376,13,1,125.57,3,2,
863385935,8,1,125.06,2,2,
3550138162,9,1,123.71,2,2,
3557211128,9,5,116.56,5,4,107.0
1692504266,6,1,111.69,5,3,903.0
1716763459,9,1,110.72,2,2,
4527395045,5,2,109.61,2,2,
863383151,6,0,109.12,2,2,
651929068,6,1,106.90,2,2,
653139621,6,1,106.28,2,2,1165.0
870872394,5,0,105.99,2,2,181.0
1220706685,6,4,93.81,5,4,
863418800,4,0,91.56,2,2,14.0
652757236,5,2,84.16,2,2,327.0
653348091,5,1,84.06,2,2,18364.0
3557209843,4,1,81.74,2,2,18.0
906495720,7,3,79.64,5,4,137.0
863385336,8,3,76.46,3,2,
2909396923,4,0,71.86,2,2,
3557211110,6,3,65.32,3,2,3540.0
1153807024,7,2,63.65,2,2,178.0
864225106,4,2,54.33,2,2,86.0
873320105,6,2,44.72,2,2,1216.0
2536598937,5,2,39.48,3,2,
863390858,4,1,37.98,2,2,
906876718,6,2,37.12,3,2,
4543075630,6,3,32.73,3,2,
1719304223,4,1,30.11,4,3,3242.0
652576912,5,2,29.58,2,2,102.0
930609259,8,4,19.28,7,5,
653063926,4,2,18.28,2,2,127.0
