core,sku,offer_id,ad_days_baseline,ad_views_baseline,spend_baseline,units_baseline,stock_baseline,price_baseline,price_swing_baseline,в_когорте,причина_исключения
BASE_B,1153214616,0398,0,0,0.0,1.0,94.0,17182.67,41.0,1,
BASE_B,1153751596,2198,0,0,0.0,1.0,296.0,995.0,0.0,1,
BASE_B,1155648858,0127,0,0,0.0,1.0,182.0,2583.0,0.0,1,
BASE_B,1155649451,0778,0,0,0.0,3.0,1348.0,10296.33,22.0,1,
BASE_B,1167177840,2985,0,0,0.0,1.0,9.0,7157.0,0.0,1,
BASE_B,1268493020,4747,0,0,0.0,3.0,506.0,1226.0,0.0,1,
BASE_B,3739951989,1531,0,0,0.0,1.0,481.0,1763.0,0.0,1,
BASE_B,4562814805,1530,0,0,0.0,1.0,600.0,419.0,0.0,1,
BASE_B,652456523,0306,0,0,0.0,3.0,717.0,6737.67,230.0,1,
BASE_B,652456640,1190,0,0,0.0,1.0,2485.0,3066.0,21.0,1,
BASE_B,652456833,3898,0,0,0.0,3.0,258.0,2764.0,0.0,1,
BASE_B,652576300,0838,0,0,0.0,3.0,629.0,586.0,0.0,1,
BASE_B,652576875,0019,0,0,0.0,1.0,1149.0,3555.33,34.0,1,
BASE_B,652577006,1480,0,0,0.0,3.0,107.0,270.0,0.0,1,
BASE_B,652585994,0843,0,0,0.0,1.0,107.0,1346.0,0.0,1,
BASE_B,652638211,0822,0,0,0.0,2.0,537.0,905.67,17.0,1,
BASE_B,653449270,2135,0,0,0.0,9.0,1827.0,2651.0,0.0,1,
BASE_B,653462770,1718,0,0,0.0,3.0,3171.0,1732.0,0.0,1,
BASE_B,653501876,0710,0,0,0.0,1.0,98.0,7016.0,126.0,1,
BASE_B,863390488,0168,0,0,0.0,1.0,70.0,3215.0,42.0,1,
BASE_B,863393127,5353,0,0,0.0,1.0,22985.0,2196.0,0.0,1,
BASE_B,864225626,1081,0,0,0.0,2.0,303.0,5443.33,142.0,1,
BASE_B,866443744,1876,0,0,0.0,3.0,501.0,7198.67,125.0,1,
BASE_B,873319976,3849,0,0,0.0,1.0,254.0,1874.0,0.0,1,
BASE_B,873320634,3777,0,0,0.0,1.0,105.0,22001.0,0.0,1,
BASE_B,874373561,4532,0,0,0.0,7.0,331.0,3038.0,0.0,1,
BASE_B,874373806,4472,0,0,0.0,3.0,45.0,18639.0,0.0,1,
BASE_B,874374395,4433,0,0,0.0,1.0,299.0,866.0,0.0,1,
BASE_B,904484179,4233,0,0,0.0,1.0,4.0,19103.0,0.0,1,
BASE_B,906875591,1425,0,0,0.0,1.0,124.0,4199.0,0.0,1,
BASE_B,906875600,1320,0,0,0.0,4.0,350.0,4282.0,0.0,1,
BASE_B,930624623,1684,0,0,0.0,1.0,202.0,5227.0,0.0,1,
BASE_B,930629365,0874,0,0,0.0,1.0,288.0,3493.67,76.0,1,
BASE_B,930641048,0727,0,0,0.0,1.0,1093.0,3654.33,135.0,1,
BASE_B,984584468,4732,0,0,0.0,3.0,64.0,5973.67,17.0,1,
