кластер,sku_в_кластере,E8_всего,E8_A,доля_A,receivers,моделей_принтеров,наборов,baseline_выручка_receivers_₽,baseline_позиций_receivers,baseline_показы_receivers,baseline_расход_receivers_₽,спрос_receivers
56f5x0e,13,4,4,1.0,9,19,6,40304.0,2,266.0,45.0,5599.0
fplus,20,3,3,1.0,8,13,12,0.0,0,108.0,38.0,7925.0
dk-3170,10,2,2,1.0,8,16,8,0.0,0,0.0,0.0,34419.0
товары до 140 дней,12,4,4,1.0,8,25,8,0.0,0,0.0,0.0,6947.0
w1335x,9,2,2,1.0,7,5,5,0.0,0,16.0,0.0,17760.0
dr240,9,3,3,1.0,6,14,3,0.0,0,16.0,0.0,4275.0
wbt,10,3,3,1.0,6,27,5,0.0,0,35.0,0.0,11073.0
brother 550 принтер,8,3,3,1.0,5,15,4,0.0,0,43.0,0.0,6858.0
pantum cp1100,8,2,2,1.0,4,0,6,0.0,0,0.0,0.0,2914.0
50f0z00,8,3,3,1.0,4,12,4,0.0,0,0.0,0.0,6770.0
товары из китая,5,2,2,1.0,3,9,3,0.0,0,0.0,0.0,2214.0
xerox 3025,6,3,3,1.0,3,7,3,0.0,0,0.0,0.0,92.0
morel 633,5,2,2,1.0,3,17,0,0.0,0,182.0,3.0,20056.0
cc364x,6,3,3,1.0,3,6,2,0.0,0,0.0,0.0,5337.0
oki b731,7,4,4,1.0,3,4,2,0.0,0,0.0,0.0,1137.0
108r00909,6,4,4,1.0,2,7,2,0.0,0,0.0,0.0,56.0
картриджей,5,2,2,1.0,2,12,0,0.0,0,12.0,0.0,7136.0
tk-5370,7,2,2,1.0,2,5,2,0.0,0,0.0,0.0,132.0
106r02312,5,2,2,1.0,2,3,2,0.0,0,0.0,0.0,3627.0
картридж 12а,5,3,3,1.0,2,14,1,0.0,0,23.0,0.0,4303.0
cf244a картридж,5,2,2,1.0,2,11,0,0.0,0,81.0,8.0,4551.0
5950x,5,2,2,1.0,2,9,2,0.0,0,0.0,0.0,3199.0
278a картридж,5,3,3,1.0,2,2,2,0.0,0,0.0,0.0,245.0
lexmark ms431dn,5,3,3,1.0,2,6,2,0.0,0,0.0,0.0,4781.0
картридж tn 2275,4,2,2,1.0,2,3,0,7662.0,2,59.0,17.0,19556.0
картридж cf244a,4,2,2,1.0,2,6,1,0.0,0,0.0,0.0,10887.0
013r00657,4,2,2,1.0,2,9,2,0.0,0,0.0,0.0,22.0
tk-5450k,4,2,2,1.0,2,5,2,0.0,0,0.0,0.0,1129.0
acula,3,2,2,1.0,1,4,0,0.0,0,22.0,0.0,3083.0
780m,5,4,4,1.0,1,6,0,0.0,0,0.0,0.0,11258.0
картридж для принтера xerox workcentre 3025,4,3,3,1.0,1,11,0,0.0,0,18.0,0.0,6790.0
canon 50d,3,2,2,1.0,1,5,0,0.0,0,12.0,0.0,5515.0
715,3,2,2,1.0,1,6,1,0.0,0,0.0,0.0,46.0
clt-r407,3,2,2,1.0,1,8,0,0.0,0,24.0,0.0,13227.0
21,3,2,2,1.0,1,2,0,0.0,0,68.0,0.0,612.0
b315,4,3,3,1.0,1,4,1,0.0,0,0.0,0.0,10.0
7800,4,3,3,1.0,1,4,1,0.0,0,0.0,0.0,35.0
tn-328,3,2,2,1.0,1,5,1,0.0,0,0.0,0.0,54.0
laser 303,4,3,3,1.0,1,3,0,0.0,0,15.0,0.0,2275.0
123xl картридж,4,3,3,1.0,1,5,1,0.0,0,0.0,0.0,49.0
картридж для мфу самсунг scx 4200,3,2,2,1.0,1,3,1,0.0,0,0.0,0.0,37.0
xerox 6505,3,2,2,1.0,1,4,0,0.0,0,2.0,0.0,1614.0
27p2a pro,4,3,3,1.0,1,3,1,0.0,0,0.0,0.0,6.0
44а картридж,3,2,2,1.0,1,1,1,0.0,0,0.0,0.0,11.0
sp4500e,4,3,3,1.0,1,2,1,0.0,0,0.0,0.0,17.0
konica c35,4,2,2,1.0,1,6,1,0.0,0,0.0,0.0,16.0
dudu6,3,2,2,1.0,1,5,1,0.0,0,0.0,0.0,18.0
mf4018,3,2,2,1.0,1,6,1,0.0,0,0.0,0.0,66.0
w2070a,4,3,3,1.0,1,4,1,0.0,0,0.0,0.0,110.0
ртх 6090,3,2,2,1.0,1,4,0,0.0,0,22.0,0.0,86.0
t99w373,4,3,3,1.0,1,4,0,0.0,0,0.0,0.0,24.0
013r00691,26,8,7,0.875,11,35,15,0.0,0,0.0,0.0,408.0
dc-dc,12,8,7,0.875,4,15,0,0.0,0,101.0,15.0,28397.0
ce285a картридж,20,7,6,0.857,10,22,7,4008.0,1,102.0,27.0,16179.0
brother mfc-l8390cdw,11,7,6,0.857,4,16,0,0.0,0,166.0,0.0,30995.0
im pijama,14,7,6,0.857,3,22,0,0.0,0,196.0,7.0,35177.0
картридж w1500a,8,7,6,0.857,1,7,0,0.0,0,11.0,0.0,5514.0
tk-1250,21,12,10,0.833,7,24,5,2218.0,1,107.0,14.0,15610.0
картридж 85а,12,6,5,0.833,6,25,0,5653.0,1,348.0,35.0,40611.0
cf218,9,6,5,0.833,3,5,3,0.0,0,0.0,0.0,2460.0
8800,7,6,5,0.833,1,5,1,0.0,0,0.0,0.0,88.0
ps plus,13,12,10,0.833,1,12,0,0.0,0,96.0,7.0,3748.0
картридж 305 hp черный,12,11,9,0.818,1,2,0,0.0,0,87.0,1.0,685.0
006r04403,9,5,4,0.8,4,16,3,0.0,0,19.0,0.0,13717.0
1650v3,7,5,4,0.8,2,3,2,0.0,0,0.0,0.0,3126.0
rx480,7,5,4,0.8,2,5,0,0.0,0,557.0,7.0,279.0
brother hl 1430,7,5,4,0.8,2,0,0,0.0,0,0.0,0.0,932.0
c4810a,6,5,4,0.8,1,7,1,0.0,0,0.0,0.0,33.0
pantum cm1100dw,8,5,4,0.8,1,2,0,0.0,0,15.0,0.0,13638.0
картридж canon mf421dw,6,5,4,0.8,1,17,0,0.0,0,13.0,0.0,1616.0
dtw,6,5,4,0.8,1,5,1,0.0,0,0.0,0.0,18.0
ml182,6,5,4,0.8,1,6,1,0.0,0,0.0,0.0,112.0
oki c9655,11,9,7,0.778,2,6,2,0.0,0,0.0,0.0,25.0
ce285a,19,13,10,0.769,4,3,4,0.0,0,0.0,0.0,473.0
mf,19,13,10,0.769,1,28,1,0.0,0,0.0,0.0,9001.0
ce505x,8,4,3,0.75,4,7,3,0.0,0,22.0,0.0,33500.0
bjd,11,8,6,0.75,3,14,0,0.0,0,234.0,31.0,6585.0
56f5000 картридж,7,4,3,0.75,3,7,3,0.0,0,0.0,0.0,455.0
451,9,4,3,0.75,2,11,0,0.0,0,56.0,0.0,19756.0
термотрансферная лента,7,4,3,0.75,2,7,1,0.0,0,117.0,15.0,723.0
deli,25,16,12,0.75,2,12,2,0.0,0,179.0,21.0,22623.0
samsung,17,4,3,0.75,2,40,1,0.0,0,96.0,9.0,10211.0
cz133a,8,4,3,0.75,2,7,2,0.0,0,0.0,0.0,4365.0
9070 gre,7,4,3,0.75,2,6,2,0.0,0,0.0,0.0,135.0
ts3640,6,4,3,0.75,2,4,2,0.0,0,0.0,0.0,4881.0
mf752cdw ii,5,4,3,0.75,1,6,0,0.0,0,22.0,0.0,128.0
картридж для принтера hp deskjet 2130,5,4,3,0.75,1,11,1,0.0,0,0.0,0.0,3319.0
картридж canon 325,5,4,3,0.75,1,8,0,0.0,0,83.0,0.0,10243.0
картридж 285a,5,4,3,0.75,1,2,1,0.0,0,0.0,0.0,72.0
728 картридж,5,4,3,0.75,1,2,0,0.0,0,15.0,0.0,83.0
hp ultra,5,4,3,0.75,1,0,0,0.0,0,0.0,0.0,1273.0
surecom,9,8,6,0.75,1,0,0,0.0,0,0.0,0.0,109.0
epson surecolor sc-p700,20,15,11,0.733,4,20,2,0.0,0,0.0,0.0,3815.0
лазерный принтер hp,17,11,8,0.727,5,32,6,0.0,0,0.0,0.0,2240.0
tk-8345,13,11,8,0.727,2,12,0,0.0,0,42.0,0.0,11817.0
cf230x,16,7,5,0.714,9,13,7,0.0,0,8.0,0.0,59678.0
113r00737,15,7,5,0.714,8,20,8,0.0,0,0.0,0.0,245.0
5070,15,7,5,0.714,8,20,7,0.0,0,35.0,0.0,21424.0
cf214x,14,7,5,0.714,7,11,7,0.0,0,0.0,0.0,8021.0
pagae,11,7,5,0.714,3,8,3,0.0,0,0.0,0.0,65.0
картридж panasonic kx-mb1500,11,7,5,0.714,2,6,0,0.0,0,0.0,0.0,131.0
4711,8,7,5,0.714,1,7,0,0.0,0,87.0,35.0,13903.0
office,22,10,7,0.7,4,34,0,0.0,0,425.0,68.0,15338.0
hp t520,16,13,9,0.692,3,6,2,0.0,0,83.0,10.0,822.0
кс,26,16,11,0.688,2,31,0,0.0,0,82.0,7.0,23748.0
canon r50,24,22,15,0.682,2,2,0,0.0,0,841.0,7.0,4413.0
106r03396,29,15,10,0.667,12,30,10,0.0,0,34.0,0.0,4864.0
069h,18,3,2,0.667,12,8,7,0.0,0,194.0,8.0,35163.0
tk-5380,24,9,6,0.667,11,11,7,18971.0,3,372.0,1.0,55201.0
катюша,23,9,6,0.667,10,21,6,0.0,0,173.0,3.0,20238.0
dudu7,13,6,4,0.667,6,22,2,0.0,0,133.0,0.0,14486.0
tk-6115,10,3,2,0.667,6,8,4,0.0,0,60.0,0.0,3634.0
