core,sku,offer_id,ad_days_baseline,ad_views_baseline,spend_baseline,units_baseline,stock_baseline,price_baseline,price_swing_baseline,в_когорте,причина_исключения
CORE_A,1003270685,4823,13,67,13.59,0.0,54.0,12558.0,27.0,1,
CORE_A,1003270787,4824,12,41,11.24,0.0,58.0,17222.0,0.0,1,
CORE_A,1134976310,4951,7,15,0.0,0.0,73.0,4567.0,132.0,1,
CORE_A,1134976352,4970,10,29,0.0,0.0,78.0,1511.67,8.0,1,
CORE_A,1134976716,4966,13,41,0.0,0.0,45.0,1423.0,0.0,1,
CORE_A,1137065958,4999,12,47,0.0,0.0,15.0,2295.0,15.0,1,
CORE_A,1141051456,5091,13,104,15.19,0.0,42.0,10774.0,0.0,1,
CORE_A,1143059234,5123,9,18,0.0,0.0,92.0,15113.0,0.0,1,
CORE_A,1143060134,5162,13,39,0.0,0.0,135.0,13021.0,0.0,1,
CORE_A,1143061185,5152,8,25,1.0,0.0,994.0,2372.0,0.0,1,
CORE_A,1143062829,5153,12,43,0.0,1.0,403.0,2696.33,22.0,1,
CORE_A,1146702506,5221,11,28,0.0,1.0,627.0,2859.0,15.0,1,
CORE_A,1153216564,0501,8,14,0.0,0.0,19.0,4493.0,0.0,1,
CORE_A,1153218062,0590,11,25,0.0,1.0,24.0,784.0,9.0,1,
CORE_A,1153219983,0568,13,31,0.0,0.0,33.0,3358.67,50.0,1,
CORE_A,1153395894,0832,13,135,35.43,1.0,127.0,8466.0,0.0,1,
CORE_A,1153397573,0942,13,181,8.32,1.0,59.0,1003.0,0.0,1,
CORE_A,1153409601,1260,12,22,0.0,0.0,33.0,1580.0,9.0,1,
CORE_A,1153410240,1256,10,14,0.0,0.0,34.0,1580.0,9.0,1,
CORE_A,1153667168,1805,13,97,0.0,0.0,42.0,13814.67,32.0,1,
CORE_A,1153667499,1727,13,28,0.0,0.0,161.0,5134.0,0.0,1,
CORE_A,1153668799,1731,9,22,21.78,0.0,54.0,3591.0,0.0,1,
CORE_A,1153669759,1748,11,23,0.0,0.0,23.0,9152.33,22.0,1,
CORE_A,1153669912,1800,12,39,0.0,0.0,9.0,6609.0,0.0,1,
CORE_A,1153670788,1799,12,34,0.0,0.0,22.0,6682.33,16.0,1,
CORE_A,1153671602,1796,13,136,4.64,1.0,16.0,14040.0,0.0,1,
CORE_A,1153731902,1994,13,54,0.0,0.0,55.0,36324.0,0.0,1,
CORE_A,1153736828,1982,11,42,0.0,1.0,22.0,10431.0,0.0,1,
CORE_A,1153738147,1984,13,44,0.0,1.0,26.0,11419.0,27.0,1,
CORE_A,1153741549,2034,13,315,0.0,1.0,33.0,15500.0,0.0,1,
CORE_A,1153742679,2096,7,36,0.0,0.0,24.0,14536.0,0.0,1,
CORE_A,1153745137,2112,13,113,0.0,1.0,41.0,8550.0,0.0,1,
CORE_A,1153745441,2109,13,83,0.0,0.0,90.0,6376.0,114.0,1,
CORE_A,1153750954,2125,11,43,0.0,0.0,165.0,4727.0,0.0,1,
CORE_A,1153751231,2208,13,195,23.75,25.0,454.0,567.0,0.0,1,
CORE_A,1153751469,2206,10,23,10.16,0.0,545.0,1913.0,0.0,1,
CORE_A,1153752044,2189,13,53,0.0,0.0,1026.0,8923.0,0.0,1,
CORE_A,1153753277,2214,13,85,0.0,0.0,500.0,935.0,0.0,1,
CORE_A,1153754272,2215,13,50,0.0,0.0,779.0,995.0,0.0,1,
CORE_A,1153758352,2439,12,33,0.0,10.0,1751.0,6124.67,55.0,1,
CORE_A,1153790956,2785,12,35,13.4,0.0,54.0,12327.0,0.0,1,
CORE_A,1153791237,2787,13,243,0.0,2.0,38.0,11076.67,165.0,1,
CORE_A,1153791623,2805,11,23,0.0,0.0,23.0,38796.0,0.0,1,
CORE_A,1153792143,2786,11,53,11.94,1.0,41.0,11076.67,165.0,1,
CORE_A,1153792188,2865,13,66,0.0,0.0,47.0,12354.0,0.0,1,
CORE_A,1153794925,2788,13,70,6.58,1.0,42.0,11076.67,165.0,1,
CORE_A,1153797054,2886,13,93,11.66,2.0,1399.0,5803.0,54.0,1,
CORE_A,1153798915,2884,10,25,12.7,1.0,1284.0,5884.67,11.0,1,
CORE_A,1153800028,2892,12,38,0.0,0.0,33.0,37604.0,0.0,1,
CORE_A,1153801216,2967,12,39,0.0,0.0,76.0,2633.33,16.0,1,
CORE_A,1153805332,3033,11,22,0.0,0.0,57.0,10017.0,0.0,1,
CORE_A,1153805351,3088,11,34,0.0,0.0,94.0,14428.67,32.0,1,
CORE_A,1153812258,3215,13,72,0.0,2.0,214.0,3009.0,0.0,1,
CORE_A,1155648807,0117,13,68,0.0,9.0,97.0,1866.0,0.0,1,
CORE_A,1155649247,0765,8,20,0.0,1.0,60.0,9835.0,0.0,1,
CORE_A,1155649679,2438,11,51,0.0,0.0,92.0,6437.0,33.0,1,
CORE_A,1155651311,3911,13,62,0.0,4.0,626.0,3429.0,0.0,1,
CORE_A,1155651345,3910,13,59,0.0,3.0,672.0,3429.0,0.0,1,
CORE_A,1155651379,3912,13,116,0.0,3.0,706.0,3774.0,0.0,1,
CORE_A,1158623463,0716,13,83,0.0,0.0,88.0,3987.67,169.0,1,
CORE_A,1163041012,2114,13,39,0.0,1.0,39.0,6901.33,16.0,1,
CORE_A,1163041075,1983,12,31,0.0,1.0,22.0,11419.0,27.0,1,
CORE_A,1163041193,2113,13,62,0.0,1.0,38.0,8099.0,0.0,1,
CORE_A,1163045998,1985,13,39,0.0,1.0,43.0,11419.0,27.0,1,
CORE_A,1165086382,2396,12,41,0.0,1.0,128.0,17568.0,0.0,1,
CORE_A,1220113334,2397,13,141,0.0,1.0,91.0,23462.33,139.0,1,
CORE_A,1220192459,5231,13,74,0.0,0.0,812.0,2967.0,0.0,1,
CORE_A,1220200132,5232,13,56,0.0,0.0,712.0,2967.0,0.0,1,
CORE_A,1220701371,5228,13,254,7.36,0.0,108.0,4159.0,6.0,1,
CORE_A,1220702233,5235,13,48,0.0,0.0,2249.0,3389.0,0.0,1,
CORE_A,1220704750,5234,13,47,0.0,0.0,2236.0,3540.0,0.0,1,
CORE_A,1220706269,5241,13,57,0.0,0.0,1014.0,4669.0,6.0,1,
CORE_A,1220706417,5236,13,37,0.0,0.0,2247.0,3389.0,0.0,1,
CORE_A,1232572987,1999,13,95,16.44,1.0,75.0,11081.0,27.0,1,
CORE_A,1232681952,1290,10,20,11.82,0.0,170.0,4013.33,19.0,1,
CORE_A,1232708857,0597,13,57,0.0,0.0,544.0,710.0,9.0,1,
CORE_A,1248939170,2792,12,51,14.45,0.0,44.0,12210.0,75.0,1,
CORE_A,1261462713,4699,12,78,16.89,0.0,6.0,22140.0,0.0,1,
CORE_A,1261504774,4693,13,322,31.95,3.0,24.0,3402.0,0.0,1,
CORE_A,1261505490,4721,13,46,0.0,1.0,77.0,8209.0,0.0,1,
CORE_A,1261505784,4659,13,93,11.74,0.0,11.0,3300.0,0.0,1,
CORE_A,1261506552,4719,8,78,0.0,1.0,40.0,18415.33,280.0,1,
CORE_A,1261508830,4654,13,79,0.0,2.0,51.0,5701.0,0.0,1,
CORE_A,1261562713,4887,13,51,0.0,0.0,4564.0,3620.67,128.0,1,
CORE_A,1261568225,4886,13,49,0.0,0.0,1450.0,6865.0,15.0,1,
CORE_A,1261568767,5277,13,97,1.0,1.0,19.0,1779.0,0.0,1,
CORE_A,1261572046,5302,13,177,9.67,1.0,15.0,1106.0,0.0,1,
CORE_A,1261572756,5276,13,162,0.0,1.0,28.0,2141.0,0.0,1,
CORE_A,1261574043,5249,13,57,0.0,4.0,407.0,3645.0,0.0,1,
CORE_A,1261579634,5300,13,140,7.54,0.0,11.0,1226.0,0.0,1,
CORE_A,1268493002,4538,13,96,0.0,0.0,904.0,7235.33,16.0,1,
CORE_A,1268514030,4746,13,128,0.0,1.0,1063.0,7157.0,0.0,1,
CORE_A,1273237792,4745,13,87,0.0,0.0,520.0,7799.0,0.0,1,
CORE_A,1277712086,4653,13,49,0.0,0.0,265.0,4182.0,0.0,1,
CORE_A,1277712112,4656,13,312,23.48,1.0,55.0,3109.0,0.0,1,
CORE_A,1277712290,4658,13,113,15.1,0.0,187.0,2220.0,0.0,1,
CORE_A,1282821536,4837,13,213,8.6,14.0,928.0,8403.0,0.0,1,
CORE_A,1339739137,5362,13,79,0.0,0.0,1791.0,2267.33,63.0,1,
CORE_A,1340720562,5363,12,36,9.81,0.0,1835.0,2267.33,63.0,1,
CORE_A,1340723402,5361,12,21,0.0,0.0,1308.0,2267.33,63.0,1,
CORE_A,1341427985,4554,13,35,0.0,0.0,154.0,2448.0,0.0,1,
CORE_A,1341428709,4556,13,123,15.47,0.0,12.0,2236.0,0.0,1,
CORE_A,1341429588,4559,13,94,6.85,0.0,23.0,2290.0,0.0,1,
CORE_A,1341430114,4555,13,86,0.0,0.0,37.0,2696.0,0.0,1,
CORE_A,1510949596,5365,12,22,0.0,0.0,14.0,4811.0,0.0,1,
CORE_A,1510949677,5384,13,114,14.01,2.0,388.0,4559.0,0.0,1,
CORE_A,1510952685,5413,13,140,5.43,0.0,209.0,864.0,0.0,1,
CORE_A,1510953436,5421,13,155,0.0,4.0,1350.0,3933.67,7.0,1,
CORE_A,1510953548,5420,13,267,19.42,7.0,1632.0,3933.67,7.0,1,
CORE_A,1510954439,5419,13,104,0.0,4.0,1357.0,4045.67,13.0,1,
CORE_A,1547264054,5417,13,45,0.0,0.0,322.0,2340.67,8.0,1,
CORE_A,1548617454,5437,9,22,0.0,0.0,133.0,8491.67,53.0,1,
CORE_A,1549876075,5415,13,41,0.0,0.0,74.0,747.0,9.0,1,
CORE_A,1556487050,4568,13,102,6.92,0.0,495.0,2802.0,0.0,1,
CORE_A,1567180375,5482,10,20,0.0,0.0,1862.0,2283.0,0.0,1,
