sku,offer_id,в_когорте,показы_после_09_08,клики_после_09_08,расход_после_09_08,первый_день_рекламы,последний_день_рекламы,кампании,причина_исключения
1153214616,0398,1,0,0,0.0,,,,
1153751596,2198,1,0,0,0.0,,,,
1155648858,0127,1,0,0,0.0,,,,
1155649451,0778,1,0,0,0.0,,,,
1167177840,2985,1,0,0,0.0,,,,
1268493020,4747,0,147,1,8.77,2026-08-09,2026-08-20,35269704,появилась_собственная_реклама_после_09_08
3739951989,1531,1,0,0,0.0,,,,
4562814805,1530,1,0,0,0.0,,,,
652456523,0306,1,0,0,0.0,,,,
652456640,1190,1,0,0,0.0,,,,
652456833,3898,1,0,0,0.0,,,,
652576300,0838,1,0,0,0.0,,,,
652576875,0019,1,0,0,0.0,,,,
652577006,1480,1,0,0,0.0,,,,
652585994,0843,0,37,0,0.0,2026-08-09,2026-08-20,35269704,появилась_собственная_реклама_после_09_08
652638211,0822,1,0,0,0.0,,,,
653449270,2135,1,0,0,0.0,,,,
653462770,1718,1,0,0,0.0,,,,
653501876,0710,1,0,0,0.0,,,,
863390488,0168,1,0,0,0.0,,,,
863393127,5353,1,0,0,0.0,,,,
864225626,1081,1,0,0,0.0,,,,
866443744,1876,1,0,0,0.0,,,,
873319976,3849,1,0,0,0.0,,,,
873320634,3777,1,0,0,0.0,,,,
874373561,4532,1,0,0,0.0,,,,
874373806,4472,1,0,0,0.0,,,,
874374395,4433,1,0,0,0.0,,,,
904484179,4233,1,0,0,0.0,,,,
906875591,1425,1,0,0,0.0,,,,
906875600,1320,1,0,0,0.0,,,,
930624623,1684,1,0,0,0.0,,,,
930629365,0874,1,0,0,0.0,,,,
930641048,0727,1,0,0,0.0,,,,
984584468,4732,1,0,0,0.0,,,,
