offer_id,sku,family,model,stratum,arm,campaign_before,campaign_test,bid_before,bid_test,safe_bid,dose_frac_of_safe,other_campaigns_untouched,stock_units,set_n,price_ref,mkt_seller_price14,color_index14,ext_idx14,contrib14,pre_views_d,pre_clicks_d,flag,exp_views_4d_e1.9,exp_clicks_4d_e1.9,exp_spend_4d_e1.9,exp_views_4d_e2.3,exp_clicks_4d_e2.3,exp_spend_4d_e2.3,stop_zero_order_spend
1042WS4KQ1VU,1873189235,1042,Картридж MLT-D111S,revLo_safeLo,C,13424726,13424726,8.0,8.0,19.0,0.42,19250899:от 0 до 3000@12,2240.0,1.0,1979.01,1956.0,YELLOW,1.06,506,2.07,0.0,,8.3,0.06,0.5,8.3,0.06,0.5,253
1341C7FXUQEK,1883138407,1341,Картридж 006R01461,revLo_safeHi,C,13424726,13424726,8.0,8.0,31.0,0.26,13424988:3000-5000@17,474.0,1.0,5866.21,5798.0,GREEN,1.02,1201,0.21,0.0,,2.0,0.01,0.1,2.0,0.01,0.1,601
2640O9FKISO5,1885395503,2640,Картридж TN-324M,revHi_safeHi,C,13424726,13424726,8.0,8.0,31.0,0.26,13424988:3000-5000@13,271.0,1.0,5150.89,5091.0,SUPER,0.69,1170,0.29,0.0,,2.0,0.02,0.1,2.0,0.02,0.1,585
3779ME828RAP,1873140761,3779,Картридж TN-2420,revLo_safeLo,C,13424726,13424726,8.0,8.0,12.0,0.67,19250899:от 0 до 3000@12,1653.0,1.0,1836.35,1815.0,SUPER,0.73,455,0.0,0.0,,2.0,0.01,0.1,2.0,0.01,0.1,228
4267HXSEKQY7,1873185027,4267,Картридж 006R01704,revHi_safeHi,C,13424726,13424726,10.0,10.0,29.0,0.34,,438.0,1.0,5350.21,5288.0,SUPER,0.84,1089,2.0,0.0,,8.0,0.05,0.5,8.0,0.05,0.5,545
4857QKXDXKB8,2558279405,4857,Фотобарабан 108R01484,revHi_safeHi,C,13424726,13424726,9.0,9.0,92.0,0.1,,30.0,1.0,14048.35,13885.0,SUPER,0.6,3376,1.43,0.0,,5.7,0.04,0.3,5.7,0.04,0.3,1688
4997LFDVUE2M,1883155186,4997,Картридж T7891,revLo_safeHi,C,13424726,13424726,8.0,8.0,36.0,0.22,19250899:от 0 до 3000@12,55.0,1.0,3985.34,3939.0,WITHOUT_INDEX,0.0,1377,0.07,0.0,,2.0,0.02,0.1,2.0,0.02,0.1,688
5240W4M2ZT2N,1873228100,5240,Картридж 069H,revHi_safeLo,C,13424726,13424726,10.0,10.0,25.0,0.4,,2052.0,1.0,3631.22,3589.0,SUPER,0.64,934,2.57,0.0,,10.3,0.07,0.7,10.3,0.07,0.7,467
5418YW8E45SK,1873140399,5418,Картридж 067H Bk,revHi_safeHi,C,13424726,13424726,9.0,9.0,42.0,0.21,,2213.0,1.0,3212.35,3175.0,SUPER,0.89,801,8.07,0.0,,32.3,0.19,1.7,32.3,0.19,1.7,401
5546PR9R1J09,1916294132,5546,Картридж 067BK,revLo_safeLo,C,13424726,13424726,8.0,8.0,20.0,0.4,,251.0,1.0,3120.28,3084.0,SUPER,0.72,751,1.57,0.0,,6.3,0.04,0.4,6.3,0.04,0.4,376
