offer_id,sku,model,fam,set_n,base_qty,base_rev,fam_base_rev,d14_qty,d14_rev,d28_qty,d28_rev,canc28_qty,fam_d28_rev,adv_early_d,adv_late_d,adv_drop_pct,vse_views_d,ctr_shr,srch_now_week,srch_now_pos,srch_now_search_views,srch_early_week,srch_early_pos,srch_early_search_views,bid_vse,current_campaigns,comp_bid,min_bid,safe_bid_pre,contrib14,cr_post,safe_bid,safe_bid_cons34,fbo_free,ms_avail,stock_units,stock_src,price14,mkt_seller_price14,price,color_index14,ext_idx14,is_archived,experiments,add_views_w_e15,add_views_w_e23,add_spend_w_e15,add_spend_w_e19,add_spend_w_e23,add_orders_w_lo,add_orders_w_hi,add_rev_w_lo,add_rev_w_hi,note
6249MMYPG5UY,2262638586,Картридж TK240XL,6249,1.0,3.0,14750.333,14750.333,0.0,0.0,0.0,0.0,0.0,0.0,7.714,3.643,-52.778,3.643,0.009,2026-08-31,90.0,24.0,2026-06-22,55.0,74,8.0,13424726:Все@8,н/д,8.0,28.0,1111.699,0.05,27.0,18.0,0,237.0,237.0,supplier_stock(fam),5875.0,4432.0,4484.14,GREEN,1.02,False,нет,132.607,392.879,33.783,56.998,94.762,0.039,0.188,175.434,840.794,"оценка, не прогноз"
6400WSWJYDDR,2681730433,Картридж W2300A,6400,1.0,3.667,12782.0,12782.0,1.0,3553.0,7.0,23024.0,0.0,23024.0,24.786,8.643,-65.13,8.643,0.012,2026-08-31,39.0,72.0,2026-06-22,120.0,69,9.0,13424726:Все@9,200.0,8.0,66.5,753.77,0.176,66.0,12.0,0,357.0,357.0,supplier_stock(fam),4373.0,3152.0,3189.08,SUPER,0.9,False,нет,1140.955,1674.5,909.158,1317.291,1317.291,0.45,1.067,1433.837,3404.083,"оценка, не прогноз"
4857QKXDXKB8,2558279405,Фотобарабан 108R01484,4857,1.0,0.667,8962.667,8962.667,0.0,0.0,0.0,0.0,0.0,0.0,9.929,1.429,-85.612,1.429,0.006,2026-08-31,53.0,13.0,2026-06-22,54.0,8,9.0,13424726:Все@9,н/д,8.0,92.6,3375.989,0.055,92.0,57.0,0,30.0,30.0,supplier_stock(fam),15157.0,13885.0,14048.35,SUPER,0.6,False,нет,280.245,685.0,169.379,406.383,406.383,0.061,0.24,851.954,3368.627,"оценка, не прогноз"
5418YW8E45SK,1873140399,Картридж 067H Bk,5418,1.0,2.333,8205.667,8205.667,0.0,0.0,1.0,3436.0,0.0,3436.0,22.571,8.071,-64.241,8.071,0.006,2026-08-31,82.0,63.0,2026-06-22,78.0,81,9.0,13424726:Все@9,200.0,8.0,42.7,801.395,0.106,42.0,13.0,0,2213.0,2213.0,supplier_stock(fam),4392.0,3175.0,3212.35,SUPER,0.89,False,нет,513.085,1523.5,139.354,260.639,391.929,0.104,0.499,333.529,1602.028,"оценка, не прогноз"
3710L5N91EUE,1885398758,Фотобарабан DK-1200 DU,3710,1.0,1.0,8000.333,8000.333,0.0,0.0,0.0,0.0,0.0,0.0,2.786,1.143,-58.974,1.143,0.007,2026-08-31,84.0,13.0,2026-06-22,34.0,16,8.0,13424726:Все@8,н/д,8.0,61.9,2258.377,0.055,61.0,38.0,0,43.0,43.0,supplier_stock(fam),9019.0,8345.0,8443.18,SUPER,0.71,False,нет,160.442,187.0,75.063,86.972,86.972,0.04,0.076,338.58,638.366,"оценка, не прогноз"
4485HIDFWRXT,1805535579,Картриджи CTL-1100XK - CTL-1100XY,4485,1.0,0.667,6497.667,6497.667,0.0,0.0,0.0,0.0,0.0,0.0,13.071,5.214,-60.109,1.0,0.014,2026-08-31,83.0,15.0,2026-06-22,41.0,48,10.0,13424726:Все@10;13425039:5000-10000@14,н/д,8.0,54.7,2913.378,0.038,54.0,49.0,0,394.0,394.0,supplier_stock(fam),14894.0,12982.0,13134.73,SUPER,0.67,False,нет,80.839,331.535,67.012,132.522,261.13,0.039,0.261,517.663,3434.301,"оценка, не прогноз"
4226Z0HDNVV9,1873179883,Фотобарабан DR-241CL DU,4226,1.0,2.0,5706.667,5706.667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.286,-54.286,2.286,0.008,2026-08-31,49.0,14.0,2026-06-22,32.0,52,8.0,13424726:Все@8,н/д,8.0,21.8,821.178,0.053,21.0,13.0,0,813.0,813.0,supplier_stock(fam),3462.0,2790.0,2822.82,SUPER,0.77,False,нет,52.048,131.271,9.892,15.01,22.541,0.013,0.055,37.98,154.955,"оценка, не прогноз"
4267HXSEKQY7,1873185027,Картридж 006R01704,4267,1.0,1.0,5577.0,5577.0,0.0,0.0,0.0,0.0,0.0,0.0,7.143,2.0,-72.0,2.0,0.007,2026-08-31,71.0,8.0,2026-06-22,38.0,117,10.0,13424726:Все@10,н/д,8.0,29.8,1089.193,0.055,29.0,18.0,0,438.0,438.0,supplier_stock(fam),6575.0,5288.0,5350.21,SUPER,0.84,False,нет,55.139,148.048,12.316,19.346,30.109,0.012,0.054,66.237,287.691,"оценка, не прогноз"
4264Z4QN2FOC,1873145832,Картридж 006R01701,4264,1.0,0.667,4239.333,6384.667,0.0,0.0,0.0,0.0,0.0,0.0,2.714,1.286,-52.632,1.286,0.007,2026-08-31,74.0,8.0,2026-06-22,44.0,20,10.0,13424726:Все@10,н/д,8.0,46.2,1681.405,0.055,45.0,28.0,0,366.0,366.0,supplier_stock(fam),7296.0,7079.0,7162.28,SUPER,0.72,False,нет,76.913,181.0,27.132,50.051,60.786,0.019,0.072,134.575,512.301,"оценка, не прогноз"
3862M4DB12AO,1883139956,Картридж MPC406Bk,3862,1.0,0.667,4054.667,4054.667,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.429,-96.273,0.429,0.006,2026-08-31,343.0,4.0,2026-06-22,69.0,9,8.0,13424726:Все@8,н/д,8.0,44.4,1617.407,0.055,44.0,27.0,0,56.0,56.0,supplier_stock(fam),7769.0,6594.0,6671.58,SUPER,0.92,False,нет,42.145,173.564,12.368,24.608,48.813,0.009,0.06,60.254,401.401,"оценка, не прогноз"
