step,campaign_id,sku,offer_id,action,bid_before,bid_after
1,NEW_TRAF_H,1822890687,0093D2EKLV9Z,remove_from_campaign,30.0,ABSENT
1,NEW_TRAF_H,1885398463,2760Y8ZUKBTD,remove_from_campaign,22.0,ABSENT
1,NEW_TRAF_H,1885398758,3710L5N91EUE,remove_from_campaign,60.0,ABSENT
1,NEW_TRAF_H,1883138911,3760YC32JRDX,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_H,1883139956,3862M4DB12AO,remove_from_campaign,44.0,ABSENT
1,NEW_TRAF_H,1873179055,3907GHECQQD1,remove_from_campaign,14.0,ABSENT
1,NEW_TRAF_H,1873179883,4226Z0HDNVV9,remove_from_campaign,21.0,ABSENT
1,NEW_TRAF_H,1805535579,4485HIDFWRXT,remove_from_campaign,54.0,ABSENT
1,NEW_TRAF_H,1885402127,4647WNAEFETH,remove_from_campaign,29.0,ABSENT
1,NEW_TRAF_H,2060371793,5703VAFW2GWX,remove_from_campaign,21.0,ABSENT
1,NEW_TRAF_L,1883225190,1381CJ2I2QQW,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,1883232223,1384BECBUKD6,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,1873182078,2213US41CSSD,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,1883188493,2638ZHD54QGU,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,1885398159,2763CRTDY6YS,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,1873145832,4264Z4QN2FOC,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,1885401826,4648SEV1D4NU,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,2262638586,6249MMYPG5UY,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,2681730433,6400WSWJYDDR,remove_from_campaign,16.0,ABSENT
1,NEW_TRAF_L,2755768390,6543YX74IL67,remove_from_campaign,16.0,ABSENT
2,13424726,1883225190,1381CJ2I2QQW,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1883232223,1384BECBUKD6,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1873182078,2213US41CSSD,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1883188493,2638ZHD54QGU,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1885398159,2763CRTDY6YS,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1873145832,4264Z4QN2FOC,add_to_campaign_with_bid,ABSENT,10.0
2,13424726,1885401826,4648SEV1D4NU,add_to_campaign_with_bid,ABSENT,9.0
2,13424726,2262638586,6249MMYPG5UY,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,2681730433,6400WSWJYDDR,add_to_campaign_with_bid,ABSENT,9.0
2,13424726,2755768390,6543YX74IL67,add_to_campaign_with_bid,ABSENT,9.0
2,13424726,1822890687,0093D2EKLV9Z,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1885398463,2760Y8ZUKBTD,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1885398758,3710L5N91EUE,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1883138911,3760YC32JRDX,add_to_campaign_with_bid,ABSENT,10.0
2,13424726,1883139956,3862M4DB12AO,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1873179055,3907GHECQQD1,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1873179883,4226Z0HDNVV9,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,1805535579,4485HIDFWRXT,add_to_campaign_with_bid,ABSENT,10.0
2,13424726,1885402127,4647WNAEFETH,add_to_campaign_with_bid,ABSENT,8.0
2,13424726,2060371793,5703VAFW2GWX,add_to_campaign_with_bid,ABSENT,8.0
3,NEW_TRAF_H,,,deactivate_campaign,RUNNING,INACTIVE
3,NEW_TRAF_L,,,deactivate_campaign,RUNNING,INACTIVE
4,13424726,1873189235,1042WS4KQ1VU,verify_unchanged_holdout,8.0,8.0
4,13424726,1883138407,1341C7FXUQEK,verify_unchanged_holdout,8.0,8.0
4,13424726,1885395503,2640O9FKISO5,verify_unchanged_holdout,8.0,8.0
4,13424726,1873140761,3779ME828RAP,verify_unchanged_holdout,8.0,8.0
4,13424726,1873185027,4267HXSEKQY7,verify_unchanged_holdout,10.0,10.0
4,13424726,2558279405,4857QKXDXKB8,verify_unchanged_holdout,9.0,9.0
4,13424726,1883155186,4997LFDVUE2M,verify_unchanged_holdout,8.0,8.0
4,13424726,1873228100,5240W4M2ZT2N,verify_unchanged_holdout,10.0,10.0
4,13424726,1873140399,5418YW8E45SK,verify_unchanged_holdout,9.0,9.0
4,13424726,1916294132,5546PR9R1J09,verify_unchanged_holdout,8.0,8.0
