sku,arm,stratum
904485648,treatment,1
930607798,treatment,1
2268527314,treatment,1
3006495527,treatment,1
930609123,treatment,1
984583951,treatment,1
1153215003,treatment,1
873320144,treatment,1
1153214702,treatment,1
1153215482,treatment,1
1261508860,treatment,1
930630663,treatment,1
3557211218,treatment,1
873320030,treatment,1
1153217435,treatment,1
2791188767,treatment,1
1759730965,treatment,1
874374006,treatment,1
930614448,treatment,1
930614652,treatment,1
930626000,treatment,1
1510951328,treatment,1
1999350309,treatment,1
3557210618,treatment,2
3557210973,treatment,2
3557210985,treatment,2
3557211312,treatment,2
652600346,treatment,2
653317605,treatment,2
873313341,treatment,2
874373779,treatment,2
874376472,treatment,2
906874743,treatment,2
906875353,treatment,2
1137066513,treatment,2
1220705535,treatment,2
1233239568,treatment,2
1765863938,treatment,2
3557211030,treatment,2
652456519,treatment,2
652461345,treatment,2
863390749,treatment,2
930608599,treatment,2
1134976774,treatment,2
1153725940,treatment,2
1153798177,treatment,2
1261563421,treatment,2
1261570517,treatment,2
1218342740,treatment,3
1547264021,treatment,3
1692322881,treatment,3
1692355212,treatment,3
1692376627,treatment,3
2054314109,treatment,3
2166500322,treatment,3
2203302663,treatment,3
2557335181,treatment,3
3656855882,treatment,3
3736329038,treatment,3
3835143477,treatment,3
3953690054,treatment,3
4280733220,treatment,3
652524447,treatment,3
652825036,treatment,3
653324839,treatment,3
653389626,treatment,3
866442817,treatment,3
866442823,treatment,3
866442954,treatment,3
653346991,treatment,4
653348668,treatment,4
653377459,treatment,4
653387889,treatment,4
653428878,treatment,4
653449234,treatment,4
863386499,treatment,4
863392923,treatment,4
863394788,treatment,4
864224997,treatment,4
864225553,treatment,4
864225561,treatment,4
864225922,treatment,4
866442868,treatment,4
866443023,treatment,4
866443278,treatment,4
866443413,treatment,4
866443506,treatment,4
866443717,treatment,4
866443760,treatment,4
873313167,treatment,4
873313178,treatment,4
873313224,treatment,4
873313363,treatment,4
873313868,treatment,4
873313886,treatment,4
873313923,treatment,4
873313959,treatment,4
873319685,treatment,4
904472780,control,1
863387493,control,1
1759743664,control,1
3722508199,control,1
1153668544,control,1
930620010,control,1
874374120,control,1
930616090,control,1
930640218,control,1
1153720507,control,1
652996039,control,1
873312977,control,1
873320198,control,1
906876973,control,1
1510952745,control,1
930641668,control,1
873320634,control,1
1153214731,control,1
1153717936,control,1
930612904,control,1
930625237,control,1
930615679,control,1
4576832777,control,1
3557211176,control,1
3953687246,control,1
1153740080,control,1
873319551,control,1
2524530990,control,2
873320387,control,2
874375344,control,2
904483605,control,2
930641604,control,2
1131187921,control,2
1141051041,control,2
1153216606,control,2
1153751596,control,2
1300721900,control,2
1999441700,control,2
2857348539,control,2
3557209770,control,2
653347665,control,2
863418824,control,2
864225615,control,2
874375680,control,2
904483750,control,2
907235733,control,2
1153739429,control,2
1261465435,control,2
1261505330,control,2
1261566126,control,2
1261575893,control,2
1692346591,control,2
1165191811,control,3
1232851015,control,3
1261463918,control,3
1261501769,control,3
1571787344,control,3
1692322094,control,3
1692322570,control,3
1692358526,control,3
1692359661,control,3
1717842624,control,3
1851950725,control,3
2179603546,control,3
3557210736,control,3
3557211031,control,3
3656525087,control,3
4280736143,control,3
652468934,control,3
652543162,control,3
652599832,control,3
652607169,control,3
652611739,control,3
652633156,control,3
653468181,control,3
863386507,control,3
863388251,control,3
864221177,control,3
864225471,control,3
866443543,control,3
866443577,control,3
652543157,control,4
652615919,control,4
653138771,control,4
653324134,control,4
864221133,control,4
866442918,control,4
866442929,control,4
866443071,control,4
866443329,control,4
866443407,control,4
866443422,control,4
866443621,control,4
866443667,control,4
866443748,control,4
873313142,control,4
873313291,control,4
873314139,control,4
873319889,control,4
873320181,control,4
873320213,control,4
873320217,control,4
