vendorCode;oem;ранг;карточек;выручка_год_₽
4751;PG-460XL-CL-461XL;1;2;1248828
0280;MLT-D104S;2;17;1219497
1032;KX-FAT410A;3;5;1075237
3770;W2070X-W2073X;4;2;691677
3262;PC-211EV;5;20;461770
0851;TN-2375;6;17;435000
5443;LC-472XLBK;7;2;421140
0274;MLT-D101S;8;11;386223
1042;MLT-D111S;9;9;351050
2312;650;10;8;335910
5624;TK-5370;11;2;300391
2287;CLT-406S;12;2;276424
6384;TL-R5220X;13;2;246852
6404;W2300A-W2303A;14;2;224278
1718;TK-1150;15;9;216589
4485;CTL-1100XK;16;2;197416
2393;KP-108;17;2;196891
3208;CF360A-CF363A;18;2;194999
5634;TK-5440;19;2;194865
0018;E30;20;15;177159
0721;CLT-407;21;2;176966
2415;TK-8115;22;2;174402
2365;TK-1200;23;9;171638
4312;TN-328K-TN-328C;24;1;169378
5340;106R01159;25;6;167220
3441;T9651;26;3;163069
2315;TN-1095;27;6;156396
2286;106R01634-106r01631;28;2;148116
2139;TK-5240;29;2;147728
4268;006R01701-006R01704;30;2;145963
0306;;31;7;144254
2986;CLT-R406;32;2;142317
0171;CLP-300;33;2;140049
5339;Q7553A;34;5;138896
1285;TN-3480;35;10;135927
4147;№963XL;36;2;135023
0005;CLT-404S;37;2;133126
1170;TN-1075;38;11;130637
0328;178XL;39;22;122080
5848;W1580X;40;4;119901
2404;TK-5270;41;1;117040
0333;21XL-22XL;42;2;114266
6413;TK-5450;43;2;113874
1222;LC529XL-LC525XL;44;2;112275
0720;CLT-409;45;2;111549
1325;SP150HE;46;6;107631
5438;006R01828;47;2;106520
3370;T8651;48;4;104518
0335;45-78;49;2;102560
6297;BPGT20BA-BPGT20YA;50;2;100626
2187;№953XL;51;2;100019
4640;652XL;52;2;97108
0110;MLT-D108S;53;6;94065
0034;PGI-1400XL;54;2;91105
5544;DR-421CL;55;2;88350
5629;TK-5380;56;2;88239
3435;TN-217;57;2;87614
3754;46861324-46861321;58;1;85475
3087;903XL;59;2;85218
