Аккаунт;Дата отгрузки;Номер отгрузки (МС);Позиций;Артикул продавца;nm_id WB;Месяц продажи WB;Исправлено (да/нет)
Цифровой;2025-10-14;4012363188;1;—;—;не в продажах;
Цифровой;2025-11-12;4154033619;1;—;—;не в продажах;
Цифровой;2025-11-19;4193868334;1;—;—;не в продажах;
Цифровой;2026-03-19;4795590162;1;6205;418442261;2026-03;
Цифровой;2026-05-18;5059560569;1;4355;262038558;2026-05;
Цифровой;2026-05-18;5059160479;4;0160;192255559;2026-06;
Цифровой;2026-05-19;5070672858;1;6205;418442261;2026-05;
Цифровой;2026-05-22;5084094520;1;53404;199574602;2026-05;
Цифровой;2026-05-25;5097942482;1;2169;199334007;2026-06;
Цифровой;2026-05-25;5098174094;1;3982;215240040;2026-06;
Цифровой;2026-05-25;5099676126;1;5580;261175061;2026-06;
Цифровой;2026-05-26;5103736695;1;53601;199565323;2026-06;
Цифровой;2026-05-26;5103944974;1;1253;257807190;2026-06;
Цифровой;2026-05-27;5093614859;1;018214;209712718;2026-06;
Цифровой;2026-05-28;5113098421;1;0788;199330952;2026-06;
Цифровой;2026-05-28;5113374554;4;5243;216453663;2026-06;
Цифровой;2026-05-29;5116875507;1;0895;192227937;2026-06;
Цифровой;2026-05-29;5118406978;1;0329;181095495;2026-06;
Цифровой;2026-05-29;5118406979;1;0329;181095495;2026-06;
Цифровой;2026-05-30;5121494593;1;020026;200164368;2026-06;
Цифровой;2026-06-01;5129747941;1;23151;200166118;2026-06;
Цифровой;2026-06-01;5126299001;2;6575;507535863;2026-06;
Цифровой;2026-06-01;5130833524;1;4821;216360999;2026-06;
Цифровой;2026-06-01;5132019445;1;1253;257807190;2026-06;
Цифровой;2026-06-02;5134254852;3;4411;181120378;2026-06;
Цифровой;2026-06-02;5136024571;1;0927;272510267;2026-06;
Цифровой;2026-06-03;5140237834;1;12104;199566467;2026-06;
Цифровой;2026-06-03;5140951745;4;3435;181116150;2026-06;
Цифровой;2026-06-03;5141062557;1;45426;964953034;2026-06;
Цифровой;2026-06-04;5144624012;1;5761;292510233;2026-06;
Цифровой;2026-06-04;5144624013;1;5760;292509993;2026-06;
Цифровой;2026-06-05;5149031462;1;2135;199331203;2026-06;
Цифровой;2026-06-05;5146823487;1;0499;263820443;2026-06;
Цифровой;2026-06-05;5147379299;1;5360;199335623;2026-06;
Цифровой;2026-06-05;5150933871;1;2414;199331205;2026-06;
Цифровой;2026-06-06;5154354086;1;32621;200167516;2026-06;
Цифровой;2026-06-06;5154354084;1;32621;200167516;2026-06;
Цифровой;2026-06-08;5162732554;1;0130;272510418;2026-06;
Цифровой;2026-06-10;5170389321;1;3766;209728752;2026-06;
Цифровой;2026-06-11;5176748030;1;21631;199566500;2026-06;
Цифровой;2026-06-11;5175330523;1;08518;200166032;2026-06;
Цифровой;2026-06-11;5177596202;1;5290;261153436;2026-06;
Цифровой;2026-06-11;5177789776;1;21352;199566508;2026-06;
Цифровой;2026-06-15;5186830474;4;2287;192228655;2026-07;
Цифровой;2026-06-16;5196541965;1;10421;200167236;2026-06;
Цифровой;2026-06-16;5197330040;1;1221;192228147;2026-06;
Цифровой;2026-06-16;5197330035;1;1221;192228147;2026-06;
Цифровой;2026-06-16;5200691738;1;01191;199570167;2026-06;
Цифровой;2026-06-18;5206004899;1;0310;192227968;2026-06;
Цифровой;2026-06-18;5206081296;1;3150;199334763;2026-06;
Цифровой;2026-06-18;5209951316;1;07812;199566514;2026-06;
Цифровой;2026-06-19;5212654889;1;07142;199571890;2026-06;
Цифровой;2026-06-19;5212654891;1;07142;199571890;2026-06;
Цифровой;2026-06-22;5225443082;1;6384;493592815;2026-07;
Цифровой;2026-06-25;5238222530;1;5969;397270283;2026-07;
Дисквэр;2025-11-11;4139714839;1;5942d7pkl8eu;380914086;2025-12;
Дисквэр;2025-12-24;4365354064;1;4732sbgiezmh;435042904;2026-01;
Дисквэр;2025-12-24;4368650147;1;6370gqz6mbc2;490605958;2026-01;
Дисквэр;2026-05-10;5027121262;4;0721a7nwfnwt;313188204;2026-05;
Дисквэр;2026-05-10;5025800550;4;5378vccji4sc;324993492;2026-05;
Дисквэр;2026-05-12;5033531348;2;4751wcoodb13;434805158;2026-05;
Дисквэр;2026-05-12;5033855695;2;4751wcoodb13;434805158;2026-05;
Дисквэр;2026-05-14;5043516482;1;5354bije0ez1;323339894;2026-05;
Дисквэр;2026-05-14;5043516479;1;5354bije0ez1;323339894;2026-05;
Дисквэр;2026-05-14;5046915980;4;3435maul34r7;324987651;2026-05;
Дисквэр;2026-05-15;5043708258;4;2306q094r1c1;323149841;2026-05;
Дисквэр;2026-05-16;5054736089;4;2280vtv2fxao;313183413;2026-05;
Дисквэр;2026-05-18;5057375887;4;3118tnma4v5o;313183597;2026-05;
Дисквэр;2026-05-18;5060185808;4;3770qct7giir;323345021;2026-06;
Дисквэр;2026-05-18;5062078215;4;5422yhsc5bir;313188500;2026-06;
Дисквэр;2026-05-18;5064433302;1;0205rqa3shd2;323108360;2026-05;
Дисквэр;2026-05-18;5063367060;4;4209dsawp6dy;313214936;2026-05;
Дисквэр;2026-05-18;5064336143;4;4209dsawp6dy;313214936;2026-06;
Дисквэр;2026-05-18;5066206815;4;3435maul34r7;324987651;2026-05;
