account;sku;offer_id;decl_vol_l;real_vol_l;qty_june;overpay_rub_mo
oz_acc1;930613826;0756;34.27;3.93;16;3689
oz_acc1;907612978;3913;18.5;2.51;25;3038
oz_acc1;864225717;1283;34.27;3.95;12;2765
oz_acc1;866443793;2156;34.27;3.95;12;2765
oz_acc1;1760686645;5771;16.64;3.3;21;2129
oz_acc1;863431676;0368;34.27;14.43;9;1357
oz_acc1;2909045114;6605;44.4;6.82;4;1142
oz_acc1;1659417880;5530;8.57;5.49;43;1006
oz_acc1;930639253;2352;34.27;0.98;3;759
oz_acc1;930629639;2364;34.27;3.93;3;692
oz_acc1;863431671;0358;34.27;6.25;3;639
oz_acc1;863418468;4296;41.08;3.36;2;573
oz_acc2;2681828516;6404SF5GNJ65;17.32;3.3;5;533
oz_acc1;864224800;0728;34.27;3.76;2;464
oz_acc2;1873143660;2156I4L1FU2Y;34.27;3.95;2;461
oz_acc1;864225535;1082;34.27;4.6;2;451
oz_acc1;930623011;3208;34.27;6.2;2;427
oz_acc1;873319928;3807;20.54;6.72;4;420
oz_acc1;874375639;4283;30.95;4.0;2;410
oz_acc1;2909671248;6618;57.28;3.72;1;407
oz_acc1;2912097101;6622;55.81;5.23;1;384
oz_acc1;874375708;4278;19.18;3.75;3;352
oz_acc2;1888949756;4757M05WUWFF;59.29;13.32;1;349
oz_acc1;652453602;1377;11.1;2.46;5;328
oz_acc2;2241666785;5771YHAVW2FU;16.64;3.3;3;304
oz_acc1;864225186;1042;11.1;3.51;5;288
oz_acc1;652558295;2293;11.1;3.96;5;271
oz_acc2;1873192331;2352ZV6F39EB;34.27;0.98;1;253
oz_acc1;2209356933;0370;34.27;1.27;1;251
oz_acc1;873313130;3715;34.27;1.54;1;249
oz_acc2;1873180974;2283LLHGQKHH;34.27;1.75;1;247
oz_acc1;930620073;1167;34.27;3.79;1;232
oz_acc1;930641559;2161;34.27;3.75;1;232
oz_acc1;863431665;0371;34.27;3.88;1;231
oz_acc1;863388244;0169;34.27;3.98;1;230
oz_acc1;870872469;2279;34.27;4.6;1;226
oz_acc1;863418800;4214;11.22;4.0;4;219
oz_acc2;1822916599;0351R8SES600;34.27;6.65;1;210
oz_acc1;1153791300;2960;11.1;2.16;3;204
oz_acc2;3784624722;6624E4DHG04V;27.72;1.89;1;196
oz_acc1;2923195813;6676;27.38;3.72;1;180
oz_acc1;906877301;2760;11.1;5.2;4;179
oz_acc1;930608781;0262;8.9;4.29;5;175
oz_acc1;2913148341;6635;27.38;5.7;1;165
oz_acc2;1822919960;0366NQPP719T;34.27;14.0;1;154
