external_code;группа;наш_ДхШхВ_см;вариантов_короба;расхождение_между_источниками_мм;все_источники;сверка_справочных_мм;варианты_ДхШхВ_мм и кто даёт;карточек_wb_acc1;карточек_wb_acc2
2320;В;37.0x20.0x15.0;3;290.0;cactus,izi,sakura;solutionsprint:60.0;390.0x300.0x180.0 ← izi | 350.0x300.0x145.0 ← cactus | 100.0x100.0x100.0 ← sakura;6;6
5602;В;50.0x9.0x8.0;2;260.0;cactus,izi;нет данных;300.0x140.0x110.0 ← cactus | 560.0x85.0x85.0 ← izi;1;3
5603;В;50.0x9.0x8.0;2;260.0;cactus,izi;нет данных;300.0x140.0x110.0 ← cactus | 560.0x85.0x85.0 ← izi;1;1
5604;В;50.0x9.0x8.0;2;260.0;cactus,izi;нет данных;300.0x140.0x110.0 ← cactus | 560.0x85.0x85.0 ← izi;1;1
5605;В;50.0x9.0x8.0;2;260.0;cactus,izi;нет данных;300.0x140.0x110.0 ← cactus | 560.0x85.0x85.0 ← izi;1;1
5419;В;32.0x10.0x9.0;4;230.0;cactus,izi,sakura;нет данных;350.0x135.0x110.0 ← izi | 320.0x100.0x90.0 ← cactus | 305.0x90.0x90.0 ← cactus | 120.0x110.0x95.0 ← sakura;1;1
5420;В;32.0x10.0x9.0;4;230.0;cactus,izi,sakura;нет данных;350.0x135.0x110.0 ← izi | 305.0x90.0x90.0 ← cactus | 320.0x100.0x90.0 ← cactus | 120.0x110.0x95.0 ← sakura;1;1
5421;В;32.0x10.0x9.0;4;230.0;cactus,izi,sakura;нет данных;350.0x135.0x110.0 ← izi | 320.0x100.0x90.0 ← cactus | 305.0x90.0x90.0 ← cactus | 120.0x110.0x95.0 ← sakura;1;1
0184;В;15.0x10.0x8.0;2;218.0;izi,sakura;solutionsprint:150.0;320.0x100.0x92.0 ← izi | 102.0x50.0x18.0 ← sakura;9;9
0185;В;15.0x10.0x8.0;2;218.0;cactus,izi,sakura;solutionsprint:68.0;102.0x50.0x18.0 ← cactus,sakura | 320.0x100.0x92.0 ← izi;1;1
0186;В;15.0x10.0x8.0;2;218.0;cactus,izi,sakura;solutionsprint:68.0;102.0x50.0x18.0 ← cactus,sakura | 320.0x100.0x92.0 ← izi;1;1
0187;В;11.0x9.0x5.0;2;218.0;cactus,izi,sakura;solutionsprint:68.0;102.0x50.0x18.0 ← cactus,sakura | 320.0x100.0x92.0 ← izi;1;1
5418;В;32.0x10.0x9.0;4;200.0;cactus,izi,sakura;нет данных;320.0x135.0x100.0 ← izi | 305.0x90.0x90.0 ← cactus | 320.0x100.0x90.0 ← cactus | 120.0x110.0x95.0 ← sakura;5;6
1485;В;8.0x5.0x5.0;2;195.0;cactus,sakura;solutionsprint:195.0;285.0x125.0x35.0 ← cactus | 90.0x68.0x24.0 ← sakura;1;1
1486;В;8.0x5.0x5.0;2;195.0;cactus,sakura;solutionsprint:195.0;285.0x125.0x35.0 ← cactus | 90.0x68.0x24.0 ← sakura;1;1
0766;Б;58.0x20.0x13.0;2;185.0;cactus,sakura;solutionsprint:150.0;500.0x180.0x110.0 ← cactus | 315.0x150.0x90.0 ← sakura;1;1
0767;Б;58.0x20.0x13.0;2;185.0;cactus,sakura;solutionsprint:150.0;500.0x180.0x110.0 ← cactus | 315.0x150.0x90.0 ← sakura;1;1
0768;Б;58.0x20.0x13.0;2;185.0;cactus,sakura;solutionsprint:150.0;500.0x180.0x110.0 ← cactus | 315.0x150.0x90.0 ← sakura;1;1
