external_code;наш_Д;наш_Ш;наш_В;внеш_Д;внеш_Ш;внеш_В;расхождение_по_сторонам;наш_объём_л;внеш_объём_л;разница_объёма_л;число_источников;группа;карточек_wb_acc1;src_file;src_locator;src_sha256
0001;;;;37.0;25.0;14.0;карточки расходятся между собой (2 разных короба);;;;2;Г;3;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r264;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0002;35.0;16.0;13.0;35.0;14.0;11.0;0.0 / 2.0 / 2.0;7.28;5.39;1.89;3;А;17;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r661;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0003;61.0;32.0;17.0;57.0;25.0;15.0;4.0 / 7.0 / 2.0;33.184;21.375;11.809;2;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3298;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0004;35.0;16.0;13.0;34.0;17.5;9.5;1.0 / -1.5 / 3.5;7.28;5.652;1.628;1;Б;4;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r271;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0011;35.0;16.0;13.0;33.0;16.0;10.0;2.0 / 0.0 / 3.0;7.28;5.28;2.0;3;Б;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r671;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0015;35.0;16.0;13.0;32.5;16.5;9.0;2.5 / -0.5 / 4.0;7.28;4.826;2.454;2;Б;2;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r898;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0016;15.0;10.0;8.0;9.2;5.2;2.9;5.8 / 4.8 / 5.1;1.2;0.139;1.061;4;Б;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r922;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0018;;;;35.0;16.0;11.0;карточки расходятся между собой (2 разных короба);;;;3;Г;62;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r52;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0019;35.0;16.0;13.0;35.0;16.0;11.0;0.0 / 0.0 / 2.0;7.28;6.16;1.12;4;А;16;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r54;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0020;36.0;20.0;15.0;37.5;26.3;12.0;-1.5 / -6.3 / 3.0;10.8;11.835;-1.035;3;В;3;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r300;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
