external_code;причина;группа;наш_Д_см;наш_Ш_см;наш_В_см;внеш_Д_мм;внеш_Ш_мм;внеш_В_мм;наш_объём_л;внеш_объём_л;вес_внешний_кг;имя_колонки_веса;вес_карточки_wb_acc1_кг;кратность_значение;имя_колонки_кратности;источник;число_источников;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
0078;izi: кратность в прайсе = 6;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.295;Вес;0.4;6;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1185;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0079;izi: кратность в прайсе = 6;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.27;Вес;0.4;6;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1210;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0080;izi: кратность в прайсе = 4;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.54;Вес;0.3;4;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;2;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1229;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0150;izi: кратность в прайсе = 4;В;5.0;5.0;2.0;135.0;90.0;45.0;0.05;0.547;0.18;Вес;0.28;4;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;2;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1366;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0155;izi: кратность в прайсе = 6;В;10.0;5.0;5.0;150.0;140.0;55.0;0.25;1.155;0.18;Вес;0.31;6;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;3;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1209;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0160;izi: кратность в прайсе = 4;В;10.0;8.0;5.0;150.0;140.0;55.0;0.4;1.155;0.18;Вес;0.31;4;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1212;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0204;izi: кратность в прайсе = 5;В;9.0;9.0;6.0;150.0;140.0;55.0;0.486;1.155;0.185;Вес;0.29;5;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1180;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0342;izi: кратность в прайсе = 4;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.54;Вес;0.4;4;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1228;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0343;izi: кратность в прайсе = 4;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.54;Вес;0.4;4;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1227;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0952;izi: кратность в прайсе = 4;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.54;Вес;0.35;4;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1224;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0962;izi: кратность в прайсе = 4;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.26;Вес;0.35;4;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1226;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1444;izi: кратность в прайсе = 5;В;10.0;10.0;10.0;150.0;140.0;55.0;1.0;1.155;0.215;Вес;0.26;5;ШТ в упаковке;Изи.xlsx :: Данные по картриджам;1;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1182;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1554;двойной признак короба (объём >3× и вес ≥1.9×);В;10.0;8.0;5.0;175.0;120.0;58.0;0.4;1.218;0.6167;Вес брутто шт. кг;0.06;18;Кол-во ед._в_упаковке;Вся расходка Китай РФ Cactus GG PR.xlsx :: Лист1;1;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1233;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1556;двойной признак короба (объём >3× и вес ≥1.9×);В;10.0;8.0;5.0;175.0;120.0;58.0;0.4;1.218;0.6156;Вес брутто шт. кг;0.06;18;Кол-во ед._в_упаковке;Вся расходка Китай РФ Cactus GG PR.xlsx :: Лист1;1;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1236;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1922;двойной признак короба (объём >3× и вес ≥1.9×);В;10.0;8.0;5.0;335.0;130.0;55.0;0.4;2.395;1.2;Вес коробки кг;0.45;1;Кол-во в упаковке;САКУРА АБДУЛ 05.06.xlsx :: Струйная Sakura;2;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r275;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1923;двойной признак короба (объём >3× и вес ≥1.9×);В;10.0;8.0;5.0;335.0;130.0;55.0;0.4;2.395;1.2;Вес коробки кг;0.45;1;Кол-во в упаковке;САКУРА АБДУЛ 05.06.xlsx :: Струйная Sakura;2;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r276;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1924;двойной признак короба (объём >3× и вес ≥1.9×);В;10.0;8.0;5.0;335.0;130.0;55.0;0.4;2.395;1.2;Вес коробки кг;0.45;1;Кол-во в упаковке;САКУРА АБДУЛ 05.06.xlsx :: Струйная Sakura;2;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r277;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1925;двойной признак короба (объём >3× и вес ≥1.9×);В;10.0;8.0;5.0;335.0;130.0;55.0;0.4;2.395;1.2;Вес коробки кг;0.45;1;Кол-во в упаковке;САКУРА АБДУЛ 05.06.xlsx :: Струйная Sakura;2;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r278;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1926;двойной признак короба (объём >3× и вес ≥1.9×);В;10.0;8.0;5.0;335.0;130.0;55.0;0.4;2.395;1.2;Вес коробки кг;0.45;1;Кол-во в упаковке;САКУРА АБДУЛ 05.06.xlsx :: Струйная Sakura;2;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r279;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
