external_code;продаж_90д_acc1;продаж_90д_acc2;продаж_90д_всего;наш_объём_л;внеш_объём_л;лишних_л_на_единицу;лишних_л_за_период;наш_ДхШхВ;внеш_ДхШхВ;число_источников;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
0280;87;13;100;11.1;5.056;6.044;604.4;37.0x20.0x15.0;35.0x13.5x10.7;4;15;15;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r856;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1042;71;2;73;11.1;4.48;6.62;483.26;37.0x20.0x15.0;32.0x14.0x10.0;3;14;14;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2923;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1666;31;5;36;11.1;3.3;7.8;280.8;37.0x20.0x15.0;30.0x11.0x10.0;3;9;9;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r115;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0035;63;9;72;9.072;5.28;3.792;273.02;36.0x21.0x12.0;32.0x16.5x10.0;3;2;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2925;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2365;37;2;39;11.1;4.106;6.994;272.77;37.0x20.0x15.0;32.8x11.7x10.7;2;7;7;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r999;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0851;80;6;86;6.72;4.394;2.326;200.04;35.0x16.0x12.0;31.5x15.5x9.0;2;13;13;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r253;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0111;35;0;35;10.8;6.16;4.64;162.4;36.0x20.0x15.0;35.0x16.0x11.0;4;2;2;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r291;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
5355;26;3;29;10.8;5.39;5.41;156.89;36.0x20.0x15.0;35.0x14.0x11.0;3;15;15;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r49;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
5495;4;0;4;38.016;0.741;37.275;149.1;36.0x33.0x32.0;19.0x6.5x6.0;2;6;6;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3901;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1377;15;2;17;11.1;3.3;7.8;132.6;37.0x20.0x15.0;30.0x11.0x10.0;3;9;10;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r114;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3908;3;17;20;11.1;5.338;5.762;115.24;37.0x20.0x15.0;33.1x16.8x9.6;2;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r727;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
6076;0;3;3;38.016;0.741;37.275;111.82;36.0x33.0x32.0;19.0x6.5x6.0;2;2;7;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3902;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
2167;9;5;14;11.1;3.54;7.56;105.84;37.0x20.0x15.0;29.5x12.0x10.0;3;5;5;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1181;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1168;14;2;16;11.1;5.39;5.71;91.36;37.0x20.0x15.0;35.0x14.0x11.0;3;14;14;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r665;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1293;7;4;11;11.1;2.997;8.103;89.13;37.0x20.0x15.0;37.0x9.0x9.0;3;4;4;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2509;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0276;17;2;19;10.8;6.16;4.64;88.16;36.0x20.0x15.0;35.0x16.0x11.0;4;13;13;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r857;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3264;15;3;18;11.1;6.507;4.593;82.67;37.0x20.0x15.0;33.5x18.5x10.5;4;15;15;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r367;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
5360;13;5;18;9.504;5.056;4.448;80.06;36.0x22.0x12.0;35.0x13.5x10.7;3;3;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r75;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3201;8;1;9;11.1;2.656;8.444;76.0;37.0x20.0x15.0;33.0x11.5x7.0;3;5;5;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r313;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
