external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
4136;37.0x15.0x12.0;500.0;240.0;135.0;50.0x24.0x13.5;GG-W2010X;cactus;2;1;cactus,sakura;5.0;нет данных;2;6.66;16.2;-9.54;;;3;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3176;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3093;10.0x8.0x5.0;365.0;190.0;115.0;36.5x19.0x11.5;CS-CF470X;cactus;2;1;cactus,sakura;20.0;solutionsprint:75.0;2;0.4;7.975;-7.575;;;3;4;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r743;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1085;37.0x20.0x15.0;485.0;180.0;180.0;48.5x18.0x18.0;DX-5019;izi;2;1;izi,sakura;20.0;нет данных;2;11.1;15.714;-4.614;;;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r622;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3742;37.0x20.0x15.0;355.0;280.0;150.0;35.5x28.0x15.0;DK-3170;izi;2;1;cactus,izi;15.0;нет данных;2;11.1;14.91;-3.81;;;1;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1913;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
4435;16.0x15.0x5.0;375.0;275.0;45.0;37.5x27.5x4.5;SIC13T01D100;sakura;2;2;cactus,sakura;0.0;нет данных;1;1.2;4.641;-3.441;;;3;3;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r226;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0878;37.0x20.0x15.0;470.0;255.0;120.0;47.0x25.5x12.0;SACF214A;sakura;2;1;cactus,sakura;5.0;нет данных;2;11.1;14.382;-3.282;;;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r124;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3547;37.0x20.0x15.0;510.0;205.0;130.0;51.0x20.5x13.0;LX-B1022;izi;2;1;izi,sakura;5.0;нет данных;2;11.1;13.591;-2.491;;;3;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1179;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
1174;37.0x20.0x15.0;374.0;252.0;144.0;37.4x25.2x14.4;SACF320A;sakura;2;1;cactus,sakura;14.0;solutionsprint:15.0;2;11.1;13.572;-2.472;;;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r209;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
4151;35.0x22.0x12.0;360.0;250.0;130.0;36.0x25.0x13.0;CS-PH3300S;cactus;2;1;cactus,sakura;15.0;solutionsprint:10.0;2;9.24;11.7;-2.46;;;1;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r605;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
5811;36.0x10.0x7.0;550.0;93.0;93.0;55.0x9.3x9.3;CS-IMC2510Y;cactus;2;1;cactus,izi;18.0;нет данных;2;2.52;4.757;-2.237;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r4223;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
5812;36.0x10.0x7.0;550.0;93.0;93.0;55.0x9.3x9.3;CS-IMC2510M;cactus;2;1;cactus,izi;18.0;нет данных;2;2.52;4.757;-2.237;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r4222;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
5813;36.0x10.0x7.0;550.0;93.0;93.0;55.0x9.3x9.3;CS-IMC2510C;cactus;2;1;cactus,izi;18.0;нет данных;2;2.52;4.757;-2.237;;;1;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r4221;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
