external_code;наш_ДхШхВ_см;предлагаемый_Д_мм;предлагаемый_Ш_мм;предлагаемый_В_мм;предлагаемый_ДхШхВ_см;запись_в_прайсе_дословно;взят_источник;источников_всего;подтверждают_этот_размер;все_источники;источники_расходятся_на_мм;сверка_справочных_макс_отклонение_мм;вариантов_короба;наш_объём_л;предлагаемый_объём_л;разница_объёма_л;продаж_в_окне_шт;лишних_л_за_период;карточек_wb_acc1;карточек_wb_acc2;src_file;src_locator;src_sha256
1666;37.0x20.0x15.0;300.0;110.0;100.0;30.0x11.0x10.0;TC-HCF230X;izi;3;2;cactus,izi,sakura;15.0;нет данных;4;11.1;3.3;7.8;36;280.8;9;9;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r115;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0035;36.0x21.0x12.0;320.0;165.0;100.0;32.0x16.5x10.0;GG-D4200A;cactus;3;1;cactus,izi,sakura;18.0;нет данных;3;9.072;5.28;3.792;72;273.02;2;2;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2925;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0851;35.0x16.0x12.0;315.0;155.0;90.0;31.5x15.5x9.0;CS-TN2375;cactus;2;1;cactus,sakura;20.0;нет данных;3;6.72;4.394;2.326;86;200.04;13;13;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r253;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
1377;37.0x20.0x15.0;300.0;110.0;100.0;30.0x11.0x10.0;TC-HCF218A;izi;3;1;cactus,izi,sakura;20.0;нет данных;4;11.1;3.3;7.8;17;132.6;9;10;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r114;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3908;37.0x20.0x15.0;331.0;168.0;96.0;33.1x16.8x9.6;SAW2070A;sakura;2;1;cactus,sakura;11.0;нет данных;2;11.1;5.338;5.762;20;115.24;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r727;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0087;36.0x20.0x15.0;300.0;110.0;100.0;30.0x11.0x10.0;SACE285A;sakura;2;1;cactus,sakura;15.0;нет данных;3;10.8;3.3;7.5;10;75.0;16;16;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r901;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
0011;35.0x16.0x13.0;330.0;160.0;100.0;33.0x16.0x10.0;LH-505A U;izi;3;1;cactus,izi,sakura;20.0;нет данных;5;7.28;5.28;2.0;33;66.0;3;3;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r671;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
0781;35.0x10.0x9.0;190.0;125.0;60.0;19.0x12.5x6.0;CS-TK1110;cactus;3;1;cactus,izi,sakura;9.0;нет данных;3;3.15;1.425;1.725;33;56.93;4;4;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r34;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
0789;37.0x20.0x15.0;170.0;70.0;70.0;17.0x7.0x7.0;SA106R01632;sakura;2;1;cactus,sakura;15.0;solutionsprint:16.0;2;11.1;0.833;10.267;5;51.33;1;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1266;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
1380;37.0x20.0x15.0;303.0;113.0;100.0;30.3x11.3x10.0;SACF233A;sakura;2;1;cactus,sakura;18.0;нет данных;3;11.1;3.424;7.676;6;46.06;4;4;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r559;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
