external_code;article;название;источник_возврата
0010;NV-CC388A;Картридж NVP совместимый HP CC388A для LJ P1007/1008 (2000k);
0012;131950, 1372, 200130143, 2001301450;Картридж лазерный Cactus CS-Q5949AS Q5949A черный (2500стр.) для HP LJ 1160/1320/3390/3392;
0014;;Совместимый картридж Colortek ML-1610D2;
0027;110251, 128328, 146125, 146126;Картридж лазерный Cactus CS-CE505XR черный (6500стр.) для HP LJ P2050/P2055/P2055D/P2055DN;
0031;11401, 22013301, 22013302, AFHPLJ5200050;Картридж Sakura Q7516A (16A) для HP LJ 5200, черный, 12000 к.;
0042;8515, 98052090131, AQ CLP300Y/6110, BS-SgCLPY300A;Картридж лазерный Cactus CS-CLP-Y300A желтый (1000стр.) для Samsung CLP-300/300N/CLX-3160N;
0043;10680, BS-X106R01206, CS-PH6110C, GP_106R01206_C;Картридж лазерный Cactus CS-PH6110C 106R01206 голубой (1000стр.) для Xerox Phaser 6110;
0044;10681, 106R01203, BS-X106R01203, CS-PH6110BK;Картридж лазерный Cactus CS-PH6110BK 106R01203 черный (2000стр.) для Xerox Phaser 6110;
0086;CS-C725D, CS-C725X-MPS, SF-725;Картридж лазерный Cactus CS-C725D черный двойная упак. (1600стр.) для Canon LBP i-Sensys 6;
0108;NPG-28;Совместимый картридж Colortek NPG-28;
0124;6632-1, BS-KX-FA52, KX-FA52A PL, NV-KX-FA52;Термопленка KX-FA52A 2 в 1 PL;
0143;1488-1, CG_T03814A_BK, PL_03814, SF-T038Bk;Картридж T038 BK CG;
0144;1489-1, PL_03904, SF-T039C, SP26224;Картридж T039 iСl (цветной) SP;
0205;AFHPLJ1102090, AT-CE285XL U 3K, CG_CE285X/725, CS-CE285X-MPS;Картридж для HP CE285XL/435/436/C725/712/713 3K AQUAMARINE (Совместимый);
0224;BS-C-EXV6, CS-EXV6, GP_C-EXV6/NPG-15, NV-CEXV6/NPG15;Картридж лазерный Cactus CS-EXV6 черный (7600стр.) для Canon NP7160/7161/7162/7164/7210/72;
0225;14170;Картридж C-EXV6/NPG-15 CT;
0226;20671, BS-C-EXV7, CS-EXV7, GP_C-EXV7;Картридж лазерный Cactus CS-EXV7 черный (5300стр.) для Canon IR 1200/1210/1230/1270/1270F/;
0228;8900, AFEPL62000030, BS-EPLS050166, CS-EPS166;Тонер-картридж S050166 6000 копий GalaPrint;
0260;14474, 9896840, 9896841, AARXWCM118040;Картридж лазерный Cactus CS-WC118 006R01179 черный (11000стр.) для Xerox WorkCentre C118/M;
0281;CT-92274A, PL_92274A;Картридж 92274A CT;
0289;1467-1, CG_07401, PL_07401, SF-T007Bk;Картридж T007;
0290;1468-1, PL_T08401_C/Y/M, SF-T008C, SP26246;Картридж T008 iСl (цветной) SP;
0328;110366, 15011974291, 5219270000, AT-CN684HEBk;Картридж Hi-Black (HB-CN684HE) для HP Photosmart C5383/C6383/B8553/D5463, №178XL, Bk;
0359;109686, BFHPLJ4540010, BS-HPCE264X, CS-CE264XV;Картридж CE264X (№646X) 17000 копий ProfiLine;
0360;109687, BFHPLJ4540020, CS-CF031AV, NV-CF031AC;Картридж лазерный Cactus CS-CF031AV голубой (12500стр.) для HP CLJ CM4540;
0361;109688, BFHPLJ4540030, CS-CF032AV, NV-CF032AY;Картридж лазерный Cactus CS-CF032AV желтый (12500стр.) для HP CLJ CM4540;
0362;109689, BFHPLJ4540040, CS-CF033AV, GP_CF033A_M;Картридж CF033A (№646A) Magenta GP;
0389;19182, BS-HPQ2681A, CS-Q2681AV, NV-Q2681AC;Картридж лазерный Cactus CS-Q2681AV голубой (6000стр.) для HP CLJ 3700;
0390;19181, CS-Q2682AV, NV-Q2682AY, SF-Q2682A;Картридж лазерный Cactus CS-Q2682AV желтый (6000стр.) для HP CLJ 3700;
0391;19180, CS-Q2683AV, NV-Q2683AM, SF-Q2683A;Картридж лазерный Cactus CS-Q2683AV пурпурный (6000стр.) для HP CLJ 3700;
0392;16350, BS-HPQ3960A, CS-Q3960AR, NV-Q3960ABk;Картридж лазерный Cactus CS-Q3960AR черный (5000стр.) для HP LJ 2550/2550L/2550LN/2550N;
0393;16351, BS-HPQ3961A, CS-Q3961AR, NV-Q3961AC;Картридж лазерный Cactus CS-Q3961AR голубой (4000стр.) для HP LJ 2550/2820/2840;
