организация,площадка,аккаунт,месяц_отчёта,отгрузка,дата,сумма_₽,оценка_себеста_₽,статус,нужен_ввод
"ООО ""ДИСКВЭР""",Ozon,oz_acc2,2026-05,0119722208-0414-1,2026-05-28,1722,223,done,да
"ООО ""ДИСКВЭР""",Ozon,oz_acc2,2026-05,0177861418-0085-1,2026-05-15,1761,277,done,да
"ООО ""ДИСКВЭР""",Ozon,oz_acc2,2026-05,14214735-0098-2,2026-05-29,663,66,return_ozon,нет (сторно/возврат)
"ООО ""ДИСКВЭР""",Ozon,oz_acc2,2026-05,14214735-0098-5,2026-05-29,663,66,return_ozon,нет (сторно/возврат)
"ООО ""ДИСКВЭР""",Ozon,oz_acc2,2026-06,59205231-0131-1,2026-06-06,2751,495,done,да
"ООО ""ДИСКВЭР""",Ozon,oz_acc2,2026-06,85278878-0374-1,2026-06-17,13656,2922,return_ozon,нет (сторно/возврат)
"ООО ""ЦИФРОВОЙ КВАДРАТ""",Ozon,oz_acc1,2026-08,0200865932-0049-3,2026-08-06,10076,2643,done,да
"ООО ""ДИСКВЭР""",WB,wb_acc2,2026-05,5069073611,2026-05-19,3748,1771,unredeemed,нет (сторно/возврат)
"ООО ""ДИСКВЭР""",WB,wb_acc2,2026-05,5101473542,2026-05-26,3893,1825,unredeemed,нет (сторно/возврат)
"ООО ""ДИСКВЭР""",WB,wb_acc2,2026-05,5103585788,2026-05-26,3879,1825,unredeemed,нет (сторно/возврат)
"ООО ""ДИСКВЭР""",WB,wb_acc2,2026-06,5144277997,2026-06-04,9957,3374,unredeemed,нет (сторно/возврат)
"ООО ""ДИСКВЭР""",WB,wb_acc2,2026-06,5162326661,2026-06-08,4511,1817,unredeemed,нет (сторно/возврат)
