отгрузка,дата,месяц,организация,площадка,позиций,сумма_продажи_₽,себест_в_отчёте_₽,метод_в_отчёте
4627160202,2026-02-14,2026-02,ЦИФРОВОЙ КВАДРАТ,WB,1,3099,1024,tovar_fifo
35312487-0254-1,2026-02-16,2026-02,ЦИФРОВОЙ КВАДРАТ,Ozon,1,2451,512,manual
31343143-0239-1,2026-02-20,2026-02,ЦИФРОВОЙ КВАДРАТ,Ozon,1,2451,512,manual
77352851-0180-1,2026-02-27,2026-02,ЦИФРОВОЙ КВАДРАТ,Ozon,1,2133,436,manual
24232840-1620-2,2026-05-08,2026-05,ДИСКВЭР,Ozon,1,949,90,tovar_fifo
24232840-1620-1,2026-05-08,2026-05,ДИСКВЭР,Ozon,1,949,90,tovar_fifo
5069073611,2026-05-19,2026-05,ДИСКВЭР,WB,2,3748,1771,need_manual
47876090-0202-1,2026-05-23,2026-05,ЦИФРОВОЙ КВАДРАТ,Ozon,1,1852,370,tovar_fifo
5101473542,2026-05-26,2026-05,ДИСКВЭР,WB,4,3893,1825,need_manual
5103585788,2026-05-26,2026-05,ДИСКВЭР,WB,4,3879,1825,need_manual
0167481014-0023-1,2026-05-27,2026-05,ДИСКВЭР,Ozon,1,3560,512,tovar_fifo
5107183782,2026-05-27,2026-05,ДИСКВЭР,WB,1,1069,256,tovar_fifo
14214735-0098-2,2026-05-29,2026-05,ДИСКВЭР,Ozon,1,663,66,need_manual
14214735-0098-5,2026-05-29,2026-05,ДИСКВЭР,Ozon,1,663,66,need_manual
30870814-0877-1,2026-06-01,2026-06,ЦИФРОВОЙ КВАДРАТ,Ozon,,604,65,tovar_fifo
30870814-0879-1,2026-06-01,2026-06,ЦИФРОВОЙ КВАДРАТ,Ozon,,604,65,tovar_fifo
0171242749-0017-3,2026-06-02,2026-06,ДИСКВЭР,Ozon,1,1009,96,tovar_fifo
0171242749-0017-1,2026-06-02,2026-06,ДИСКВЭР,Ozon,1,1009,96,tovar_fifo
5132980714,2026-06-02,2026-06,ЦИФРОВОЙ КВАДРАТ,WB,1,1937,2834,tovar_fifo
25335442-0050-3,2026-06-02,2026-06,ЦИФРОВОЙ КВАДРАТ,Ozon,1,783,156,tovar_fifo
25335442-0050-1,2026-06-02,2026-06,ЦИФРОВОЙ КВАДРАТ,Ozon,1,783,156,tovar_fifo
44490459-0066-1,2026-06-02,2026-06,ДИСКВЭР,Ozon,1,9350,1581,ms_fifo
5144277997,2026-06-04,2026-06,ДИСКВЭР,WB,1,9957,3374,need_manual
5162326661,2026-06-08,2026-06,ДИСКВЭР,WB,1,4511,1817,need_manual
5158180459,2026-06-08,2026-06,ДИСКВЭР,WB,4,3692,4374,tovar_fifo
37053238-0474-1,2026-06-10,2026-06,ДИСКВЭР,Ozon,4,13308,3100,tovar_fifo
48177827-0348-2,2026-06-11,2026-06,ЦИФРОВОЙ КВАДРАТ,Ozon,1,3434,603,tovar_fifo
22822920-0537-1,2026-06-16,2026-06,ЦИФРОВОЙ КВАДРАТ,Ozon,1,4556,976,tovar_fifo
85278878-0374-1,2026-06-17,2026-06,ДИСКВЭР,Ozon,,13656,2922,need_manual
0119541086-0092-8,2026-06-19,2026-06,ДИСКВЭР,Ozon,4,19823,4882,tovar_fifo
0127463416-0117-1,2026-06-19,2026-06,ДИСКВЭР,Ozon,,9533,3799,tovar_fifo
0233413835-0005-1,2026-06-19,2026-06,ДИСКВЭР,Ozon,1,10338,978,tovar_fifo
78797540-0134-1,2026-06-22,2026-06,ДИСКВЭР,Ozon,6,2827,436,tovar_fifo
5234566173,2026-06-24,2026-06,ДИСКВЭР,WB,1,2277,304,tovar_fifo
