nm_id;артикул;бренд;название;предмет;короб_заявлен_ДхШхВ_см;объём_л;логистика_₽;себест_₽;цена_₽;убыток_₽_шт;маржа_%;НАЙТИ ДхШхВ (см);источник
923622140;6600;Цифровой квадрат;Картриджи TK-5480 для Kyocera ECOSYS MA2101cfx;Картриджи для принтеров;20x26x22;11;405;3570;1712;-2954;-173;;
546263035;6611;Цифровой квадрат;Фотобарабан + картридж DR-2335 DU+TN-2375X для Brother;Картриджи для принтеров;70x37x30;78;2171;750;3115;-1044;-34;;
546963408;6622;Цифровой квадрат;Фотобарабан + картридж DR-2085 DU+TN-2085 для Brother черный;Картриджи для принтеров;36x59x27;57;1633;852;3093;-622;-20;;
967520068;54955;Цифровой квадрат;Картридж для HP LaserJet Tank 2602sdw;Картриджи для принтеров;36x32x33;38;1121;157;1168;-589;-50;;
967512678;54951;Цифровой квадрат;Картридж для HP LaserJet Tank 1502w;Картриджи для принтеров;36x32x33;38;1121;157;1168;-589;-50;;
967512749;54953;Цифровой квадрат;Картридж для HP LJ Tank MFP 1602w;Картриджи для принтеров;36x32x33;38;1121;157;1168;-589;-50;;
967512807;54954;Цифровой квадрат;Картридж для HP LaserJet Tank 2602dn;Картриджи для принтеров;36x32x33;38;1121;157;1168;-589;-50;;
546990263;6623;Цифровой квадрат;Фотобарабан + картридж 101R00664 DU+106R04348 для Xerox;Картриджи для принтеров;37x57x30;63;1794;838;3397;-584;-17;;
390791048;6076;Цифровой квадрат;Картридж W1540X для Kyocera KM-1648, KM-2550 черный;Картриджи для принтеров;32x33x36;38;1121;206;1304;-555;-43;;
1208521756;7072;Цифровой квадрат;Картридж CT202953 для Fuji Xerox SC2022 голубой;Картриджи для принтеров;30x45x50;68;1902;994;3958;-506;-13;;
1208522080;7074;Цифровой квадрат;Картридж CT202955 для Fuji Xerox SC2022 желтый;Картриджи для принтеров;30x45x50;68;1902;960;3958;-472;-12;;
1208522559;7073;Цифровой квадрат;Картридж CT202954 для Fuji Xerox SC2022 пурпурный;Картриджи для принтеров;30x45x50;68;1902;960;3958;-472;-12;;
860482001;02232;Цифровой квадрат;Картридж для Canon iR-1605;Картриджи для принтеров;43x15x70;45;1310;282;1880;-468;-25;;
322427899;5822;Цифровой квадрат;Картридж TN-1071V для Avision AM40, AP406 черный;Картриджи для принтеров;34x55x34;64;1794;824;3590;-452;-13;;
967512688;54952;Цифровой квадрат;Картридж для HP LaserJet Tank 2502dw;Картриджи для принтеров;36x32x33;38;1121;142;1396;-436;-31;;
551305803;6710;Цифровой квадрат;Фотобарабан + картридж 051D+051H для Canon LBP 160 черный;Картриджи для принтеров;40x37x30;44;1283;601;2498;-384;-15;;
546218233;6607;Цифровой квадрат;Фотобарабан + картридж DL-420+TL-420H для M6700D черный;Картриджи для принтеров;37x49x38;69;1929;291;3097;-354;-11;;
1003685023;60765;Цифровой квадрат;Картридж для HP LaserJet Tank 2502;Картриджи для принтеров;32x33x36;38;1121;206;1682;-325;-19;;
192567772;1099;Цифровой квадрат;Картриджи 106R01601-106R01604 для Xerox Phaser 6500;Картриджи для принтеров;36x34x28;34;1001;1009;2884;-275;-10;;
199569588;00185;Цифровой квадрат;Картридж для Canon FC-336;Картриджи для принтеров;35x16x12;7;257;1989;3322;-246;-7;;
1004593104;7009;Цифровой квадрат;Фотобарабан + картридж DL-5120+TL-5120H для BP5100DN черный;Картриджи для принтеров;47x39x47;86;2413;765;4851;-243;-5;;
181105006;0109;Цифровой квадрат;Картридж ML-1630 для Samsung ML-1630, ML-1631 черный;Картриджи для принтеров;35x12x17;7;282;2305;3931;-215;-5;;
257807164;0223;Цифровой квадрат;Картридж C-EXV5 для Canon IR-1600, iR-1605, iR-1610F черный;Картриджи для принтеров;43x15x70;45;1310;282;2350;-182;-8;;
192567956;2161;Цифровой квадрат;Картриджи CF540X-CF543X для HP LJ M280nw, LJ M280nw;Картриджи для принтеров;36x34x28;34;1001;2769;5955;-164;-3;;
199334839;3367;Цифровой квадрат;Картридж TN-2135 для Brother DCP-7030, DCP-7030R черный;Картриджи для принтеров;20x37x15;11;549;478;1491;-137;-9;;
552867820;6743;Цифровой квадрат;Фотобарабан + картридж DL-425 DU+TL-425U для M7105DN черный;Картриджи для принтеров;29x37x36;39;1121;798;2985;-123;-4;;
199331732;0217;Цифровой квадрат;Картридж 716C для Canon LBP-5050N, LBP-5050N голубой;Картриджи для принтеров;36x15x20;11;366;521;1350;-89;-7;;
267893287;4254;Цифровой квадрат;Лента TZe-531 для Brother PT-1000, PT-1005, PT-1010 черный;Картриджи для принтеров;35x20x40;28;825;267;1713;-71;-4;;
199573287;23192;Цифровой квадрат;Картридж для Lexmark LaserPrinter MS317dn;Картриджи для принтеров;20x37x15;11;405;642;1669;-52;-3;;
546387060;6618;Цифровой квадрат;Фотобарабан + картридж CE314A+CE310A-CE313A для HP черный;Картриджи для принтеров;36x37x43;57;1633;1559;5235;-24;-0;;
550030447;6676;Цифровой квадрат;Фотобарабан + картридж DR-2175 DU+TN-2175 для Brother черный;Картриджи для принтеров;35x33x24;28;825;738;2598;-3;-0;;
