класс;объём_л;ДхШхВ;nmID;артикул;тип;источник;ссылка/файл
>60 л — почти наверняка мастер-короб;535.0;78.6x82.5x82.5;622817944;2276;набор;набор:согласовано;"компоненты:106R01076=82.5x82.5x39.3(rapid); 106R01073=82.5x82.5x39.3(rapid)"
>60 л — почти наверняка мастер-короб;535.0;78.6x82.5x82.5;323329230;2276F5VHXJS2;набор;набор:согласовано;"компоненты:106R01076=82.5x82.5x39.3(rapid); 106R01073=82.5x82.5x39.3(rapid)"
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;209714873;0669;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;209712920;0668;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;209714854;0639;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;622785404;0670;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;622810417;0671;мать;rapid;прямой
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;967413946;06681;ребёнок;rapid;наследование от 0668
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;323324700;0668FJIYSF26;ребёнок;rapid;наследование от 0668
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;323307206;0669F20V3QZK;ребёнок;rapid;наследование от 0669
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;323314893;0639UX6YMUBK;ребёнок;rapid;наследование от 0639
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;879421378;06682FHEOOIN;ребёнок;rapid;наследование от 0668
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;878946741;06681TE9DANU;ребёнок;rapid;наследование от 0668
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;323325723;0670RE2R18I1;ребёнок;rapid;наследование от 0670
>60 л — почти наверняка мастер-короб;267.5;82.5x82.5x39.3;323325679;0671O77BGJPE;ребёнок;rapid;наследование от 0671
>60 л — почти наверняка мастер-короб;241.9;43.0x75.0x75.0;209664206;1336;мать;поставщик;sakura|SA006R01179
