nm;vc;вердикт;карточка;SP_артикул;SP_название;код_мэтча;цвет_карточки;цвет_SP;лишние_коды_в_SP;короб_SP_см;объём_SP_л;дочерних
260062233;0128;расхождение: цвет BK vs C/CMY/M/Y;Картридж BCI-24 для Canon BJC-2000, BJC-2100 черный;26191;Картридж SP BCI-21/BCI-24 Color для Canon цветной;BCI24;['BK'];['C', 'CMY', 'M', 'Y'];['BCI21'];[17.0, 10.0, 1.5];0.26;129
296496782;5776;неоднозначно: в названии SP несколько разных моделей;Фотобарабан DR-2400 для Brother DCP-L2510, L2530 черный;355202;Фотобарабан Solution Print DR-2400 12000стр Brother HL-L2310/DCP-L2510;DR2400;['BK'];[];['12000', 'DCPL2510', 'HLL2310', 'L2310', 'L2510'];[31.5, 10.0, 20.5];6.46;10
209731174;4249;неоднозначно: в названии SP несколько разных моделей;Картридж S0720770 для Dymo LM 210D, LM 280, LM 420P черный;93259;Картридж DYMO S0720770/43610;S0720770;['BK'];[];['43610'];[13.0, 3.0, 17.0];0.66;10
199330539;0239;расхождение: короб SP ×0.48 к rapid — SP меньше (риск занижения);Картридж TK-160 для Kyocera FS-1120, FS-1120D черный;67605;Картридж SP TK-160 для Kyocera черный;TK160;['BK'];['BK'];[];[29.0, 10.0, 10.0];2.9;7
261996764;3779;неоднозначно: в названии SP несколько разных моделей;Картридж TN-2420 для Brother DCP-L2510, HL-L2350DW черный;344707;Картридж Solution Print TN-2420/TN-2410 3000стр Brother HL-L2350/DCP-L2550;TN2420;['BK'];[];['DCPL2550', 'HLL2350', 'L2350', 'L2550', 'TN2410'];[35.0, 12.9, 16.7];7.54;7
523554333;4603;неоднозначно: в названии SP несколько разных моделей;Лента S0718450 для Dymo Rhino 5200, Rhino Pro 4200 желтый;93102;Картридж DYMO S0718450/18432;S0718450;['Y'];[];['18432'];[13.0, 2.0, 17.0];0.44;7
261178783;5587;неоднозначно: в названии SP несколько разных моделей;Картридж W1520A для HP LJ 4004, LJ 4104fdw черный;348253;Картридж SP W1510A/W1520A (151A/152A) для HP черный (без чипа);W1520A;['BK'];['BK'];['W1510A'];[8.5, 8.5, 30.5];2.2;7
209663948;2785;неоднозначно: в названии SP несколько разных моделей;Картридж 45862852 для OKI MC 873, MC853 черный;132024;Картридж Oki 45862852/ 45862840;45862852;['BK'];[];['45862840'];[7.5, 42.0, 14.0];4.41;5
475476227;6262;неоднозначно: в названии SP несколько разных моделей;Картридж 55B5H0E для Lexmark MS331dn, MS431dn черный;360014;Картридж лазерный Solution Print 55B5H00/55B5H0E черный 15000стр для Lexmark MS331/MS431;55B5H0E;['BK'];['BK'];['55B5H00'];[34.3, 12.3, 18.6];7.85;5
964924968;1819;неоднозначно: в названии SP несколько разных моделей;Картридж 43487724 для OKI Data C8600, Data C8800 черный;79270;Картридж Oki 43487724/ 43487712;43487724;['BK'];[];['43487712'];[39.5, 12.0, 8.0];3.79;5
209713445;2548;неоднозначно: в названии SP несколько разных моделей;Картридж 43837136 для OKI C9655 черный;88551;Картридж Oki 43837136/ 43837132;43837136;['BK'];[];['43837132'];[19.9, 48.9, 45.9];44.67;3
199335336;3951;неоднозначно: в названии SP несколько разных моделей;Картридж 44059228 для OKI Data MC860 черный;113218;Картридж Oki 44059228/ 44059212;44059228;['BK'];[];['44059212'];[23.0, 50.0, 45.0];51.75;3
523558555;4610;неоднозначно: в названии SP несколько разных моделей;Лента S0718480 для Dymo Rhino 5200, Rhino Pro 4200 черный;93104;Картридж DYMO S0718480/18434;S0718480;['BK'];[];['18434'];[13.0, 2.0, 17.0];0.44;2
261168529;5561;расхождение: цвет Y vs C;Блок проявки DV-8115 для Kyocera M8124cidn желтый;339277;Блок проявки DV-8115 (302P393020) для Kyocera, голубой (OEM.ref);DV8115;['Y'];['C'];[];[14.0, 56.0, 14.0];10.98;1
261144999;4891;расхождение: цвет Y vs BK;Картридж C-EXV58 для Canon iR Advance DX C5870i желтый;321326;Картридж Canon C-EXV58 BK;CEXV58;['Y'];['BK'];[];[57.0, 8.0, 9.0];4.1;1
257938346;4890;расхождение: цвет M vs BK;Картридж C-EXV58 для Canon iR Advance DX C5860i пурпурный;321326;Картридж Canon C-EXV58 BK;CEXV58;['M'];['BK'];[];[57.0, 8.0, 9.0];4.1;1
257938345;4889;расхождение: цвет C vs BK;Картридж C-EXV58 для Canon iR Advance DX C5850i голубой;321326;Картридж Canon C-EXV58 BK;CEXV58;['C'];['BK'];[];[57.0, 8.0, 9.0];4.1;1
209663667;0938;расхождение: цвет M vs BK;Картридж T5596 для Epson светло-пурпурный;222674;Чернила для заправки картриджей Epson T0486/ T0530/ T0556/ T0806/ T0816/ T0826/ T5596/ T008 (Light M);T5596;['M'];['BK'];['T0486', 'T0530', 'T0556', 'T0806', 'T0816', 'T0826'];[4.0, 4.0, 12.0];0.19;1
209663767;0937;расхождение: цвет C vs BK;Картридж T5595 для Epson Stylus Photo RX700 светло-голубой;222673;Чернила для заправки картриджей Epson T0485/ T0530/ T0555/ T0805/ T0815/ T0825/ T5595/ T008 (Light C);T5595;['C'];['BK'];['T0485', 'T0530', 'T0555', 'T0805', 'T0815', 'T0825'];[4.0, 4.0, 12.0];0.19;1
261168366;5560;расхождение: цвет M vs C;Блок проявки DV-8115 для Kyocera M8124cidn пурпурный;339277;Блок проявки DV-8115 (302P393020) для Kyocera, голубой (OEM.ref);DV8115;['M'];['C'];[];[14.0, 56.0, 14.0];10.98;1
267444424;5442;расхождение: цвет Y vs BK;Картридж LC-472XL Y для Brother MFC-J2340DW желтый;339317;Картридж SP LC-472XL Bk для Brother черный;LC472XL;['Y'];['BK'];[];[17.0, 10.0, 1.5];0.26;1
267444427;5440;расхождение: цвет C vs BK;Картридж LC-472XL C для Brother MFC-J2340DW голубой;339317;Картридж SP LC-472XL Bk для Brother черный;LC472XL;['C'];['BK'];[];[17.0, 10.0, 1.5];0.26;1
267444426;5441;расхождение: цвет M vs BK;Картридж LC-472XL M для Brother MFC-J2340DW пурпурный;339317;Картридж SP LC-472XL Bk для Brother черный;LC472XL;['M'];['BK'];[];[17.0, 10.0, 1.5];0.26;1
944940207;6402;расхождение: короб SP ×0.49 к cactus — SP меньше (риск занижения);Картридж W2302A для HP 4203dw, 4203dw, 4203dw желтый;357360;Картридж SP W2302A (230A) для HP (желтый, с чипом, 1800 стр.);W2302A;['Y'];['Y'];[];[8.8, 31.0, 9.3];2.54;1
209664563;2786;неоднозначно: в названии SP несколько разных моделей;Картридж 45862851 для OKI MC 873, MC853 голубой;132025;Картридж Oki 45862851/ 45862839;45862851;['C'];[];['45862839'];[7.5, 42.0, 14.0];4.41;1
209664313;2787;неоднозначно: в названии SP несколько разных моделей;Картридж 45862850 для OKI MC 873, MC853 пурпурный;132026;Картридж Oki 45862850/ 45862838;45862850;['M'];[];['45862838'];[7.5, 42.0, 14.0];4.41;1
209664435;2788;неоднозначно: в названии SP несколько разных моделей;Картридж 45862849 для OKI MC 873, MC853 желтый;132027;Картридж Oki 45862849/ 45862837;45862849;['Y'];[];['45862837'];[7.5, 42.0, 14.0];4.41;1
