тир;подтверждение;кабинет;артикул;nmID;тип;тек_ВБ_ДхШхВ;тек_объём_л;нов_ДхШхВ;нов_объём_л;занижение_раз;дельта_л;источник;название
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;4452;987922309;мать;6x11x3;0.2;56.3x11.6x3.5;2.29;11.54;2.09;веб-оригинал;Картридж T8583 для Epson WF-C20590 пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;4452HNJOP9FE;1036105267;ребёнок;6x11x3;0.2;56.3x11.6x3.5;2.29;11.54;2.09;наследование от 4452 (веб-оригинал);Картридж DS T8583 для Epson WF-C20590 пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;4451;987921975;мать;6x11x3;0.2;56.3x11.6x3.5;2.29;11.54;2.09;веб-оригинал;Картридж T8582 для Epson WF-C20590 голубой
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;4451OZRVDFR1;1036105558;ребёнок;6x11x3;0.2;56.3x11.6x3.5;2.29;11.54;2.09;наследование от 4451 (веб-оригинал);Картридж DS T8582 для Epson WF-C20590 голубой
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;4453;987918470;мать;6x11x3;0.2;56.3x11.6x3.5;2.29;11.54;2.09;веб-оригинал;Картридж T8584 для Epson WF-C20590 желтый
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;4453RLS3NV8V;1036105177;ребёнок;6x11x3;0.2;56.3x11.6x3.5;2.29;11.54;2.09;наследование от 4453 (веб-оригинал);Картридж DS T8584 для Epson WF-C20590 желтый
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7131;1284226839;мать;6x6x14;0.5;33.1x9.9x16.8;5.51;10.92;5.0;sakura(согл.2);Тонер W2072A пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7124;1283701985;мать;6x6x11;0.4;32.7x10.5x11.3;3.88;9.8;3.48;sakura(согл.2);Тонер CF540A/CF400A/CF410A/CE310A для HP LJ M254dw черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7132;1284227533;мать;6x7x14;0.59;33.1x9.7x16.9;5.43;9.23;4.84;sakura(согл.2);Тонер W2073A желтый
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7130;1284226518;мать;6x7x14;0.59;33.3x9.5x16.9;5.35;9.09;4.76;sakura(согл.2);Тонер W2071A голубой
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7129;1284225978;мать;6x7x14;0.59;33.1x9.6x16.8;5.34;9.08;4.75;sakura(согл.2);Тонер W2070A черный
A1. ядро волны 1: подтверждён ≥2 источниками;наш-озон;Цифровой квадрат;4747;199335579;мать;12x2x8;0.19;20x11.6x6.9;1.6;8.34;1.41;наш-озон;Лента ERC-09 purple для Epson HX-20, M-160, M-183 фиолетовый
A1. ядро волны 1: подтверждён ≥2 источниками;наш-озон;Дисквэр;4747ZJLDWJ5F;434805495;ребёнок;12x2x8;0.19;20x11.6x6.9;1.6;8.34;1.41;наследование от 4747 (наш-озон);Лента DS ERC-09 purple для Epson HX-20, M-160 фиолетовый
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7122;1284002860;мать;6x6x14;0.5;36.3x10.2x11.1;4.11;8.15;3.61;rapid(согл.2);Тонер CF543X/ CF403X/ CF413X для HP M477fdw желтый
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7126;1283737774;мать;6x6x13;0.47;32.7x10.2x11.4;3.8;8.12;3.33;sakura(согл.2);Тонер CF543A/CF403A/CF413A/CE313A для HP пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7127;1283738673;мать;6x6x13;0.47;32.7x10.2x11.4;3.8;8.12;3.33;sakura(согл.2);Тонер CF542A/CF402A/CF412A/CE312A для HP M477fdw желтый
