nm_id;вендор_код;товар;остаток_витрина;заказов_с_01.06;выручка_с_01.06_₽;заказов_август;выручка_август_₽;маржа_%;наша_цена_₽;вышел_из_сумрака
323345399;3807HLL8P3JW;Картриджи DS W2120X-W2123X для HP LJ M554 dn, LJ M555 dn;26;4;36345;2;20188;50.7;18914;
323202973;0761CBZX64IB;Картридж DS CE271A для HP LJ CP5520, LJ CP5525 голубой;23;3;25712;0;0;22.3;9828;
496767867;6418AS77V15T;Картриджи DS TK-5490 для Kyocera ECOSYS MA2101cfx;26;2;24637;1;15676;51.7;12217;
437416649;1156IWYBCN0S;Картриджи DS CF360X-CF363X;22;1;21260;1;21260;51.4;35631;
912873177;39464BM4MGPF;Картридж для HP PageWide-Pro P57750 21000 страниц;47;1;12421;1;12421;30.9;14134;
878750299;4693Z420RN49;Картридж DS №912BK для HP OfficeJet 8010 черный;47;4;11688;0;0;26.5;1841;
477957626;6297XQLBRIQB;Картриджи DS BPGT20BA-BPGT20YA для Sharp BP10C20EU;14;1;11040;0;0;30.4;19307;
313194845;0991L5K7YMMG;Картриджи DS 44973541-44973544 для OKI C301dn, C321dn;34;2;10736;0;0;29.8;9379;
323146512;0374NO79VNAA;Картриджи DS 707 для Canon LBP-5000;6;1;10603;0;0;34.1;32091;
324994866;5617LV50P9UZ;Картриджи DS 653 для HP OfficeJet 3831, OfficeJet 3832;47;2;9614;0;0;47.4;10928;
324980173;1283L34WCEW2;Картриджи DS CF410A-CF413A;2;2;7304;0;0;29.9;11507;
323364227;5715CS07LF82;Картридж DS TK-7235 для Kyocera MZ4000i черный;7;1;5351;0;0;26.7;6692;
324983921;2323IY7WMB35;Картридж DS SP277HE для Ricoh 277NwX, 277SFNwX черный;13;2;4931;0;0;21.6;3433;
323195677;3570BA204MLV;Картридж DS CF289Y для HP LJ M507, LJ M528 черный;32;2;4899;0;0;25.2;4086;
323269464;2729SO85KJ46;Картриджи DS 46508733-46508736 для OKI C332dn, MC363dn;47;1;4852;0;0;24.3;10468;
323313280;0631ESQ4H7F6;Картридж DS 106R00682 для Xerox Phaser 6100 желтый;11;1;4637;0;0;34.2;8253;
323250924;2264NAZ3Y000;Картриджи DS TK-540 для Kyocera FS-C5100DN;9;1;4422;0;0;30.6;12379;
324990267;3972L6KG7QZW;Картридж DS 47095706 для OKI Data C844 пурпурный;47;1;4185;1;4185;27.6;5368;
313190134;0429FSJ8QSRP;Картридж DS C4129X для HP LJ 5000, LJ 5000GN черный;47;1;4176;0;0;24.1;5304;
324989231;3538JBWWC2ZY;Картриджи DS TN-910 для Brother HL-L9310, MFC-L9570;23;1;4075;0;0;21.0;9308;
323191352;5276C16N4U0Q;Картридж DS 378XL для Epson XP 15000, XP 8500 черный;47;2;3409;1;1595;43.0;1019;
323177786;4991NZ8I839K;Картридж DS T7605 для Epson SureColor P600 светло-голубой;8;1;3229;0;0;16.7;3187;
313184553;0056TGTX0TP1;Картридж DS ML-1210 для Samsung ML-1010, ML-1020 черный;8;1;2519;0;0;37.2;5685;
313190722;0278B7XIHO7J;Картридж DS ML-2850 для Samsung ML-2850, ML-2850D черный;13;1;2513;1;2513;21.5;2794;
323266580;0516JHJGJY0K;Картридж DS 44574906 для OKI B431, MB461dn, MB471dnw черный;37;2;2258;0;0;20.1;2017;
323168029;3070IJANSHZL;Картридж DS T9461 BK для Epson WorkForce Pro C5290DW черный;24;1;1737;0;0;18.3;1744;
873442659;53514PZS4XMY;Картридж для Canon i-SENSYS LBP6020B 1600 страниц;47;1;1712;0;0;31.7;2655;
323115910;0974V2Q36096;Картриджи DS 88XL для HP OfficeJet Pro K5400;29;1;1687;0;0;33.1;2913;
323165644;3067Y5M5FQGU;Картридж DS T9453 M для Epson пурпурный;47;1;1574;0;0;36.5;2183;
873444604;53517TAVK8EA;Картридж для Canon i-SENSYS MF3010 1600 страниц;47;1;1208;0;0;31.7;2655;
313189723;5221P74B751P;Картридж DS TL-5126H для BM5106ADN, BM5106ADW черный;47;1;1199;0;0;23.8;2111;
877457709;032814G3FRU3;Картридж для HP PhotoSmart C5383 550 страниц;1;1;929;0;0;35.8;1000;
323122948;4424U6KMXG2E;Картридж DS LC3617C для Brother MFC-J2730DW голубой;47;1;754;0;0;30.3;847;
865055426;22033YG82BX9;Картридж для Epson ERC-38 2250000 знаков;47;1;651;0;0;31.8;777;
