nm_id;vendor_code;title;subject_id;revenue_since_0106;margin_pct;live_stock;from_sumrak
324993492;5378VCCJI4SC;Картриджи DS 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;1820;95889;53.9;50;0
323349463;4650BFKOYRSE;Картриджи DS TK-8545 для Kyocera TASKalfa 4054ci;1820;72461;44.7;20;0
313191771;5443Y4IE7QTX;Картриджи DS LC-472XLBK - LC-472XLY для Brother MFC-J3540DW;1820;53448;55.7;15;0
323362717;5511J49W1NGF;Блок проявки DS DV-512 для Konica Minolta Bizhub C554;1820;52337;32.1;18;0
313184995;5364MC4EHYNL;Картриджи DS 729 для Canon LBP7010C, LBP7018C;1820;47281;51.0;50;0
323347536;4124NA2YLOVD;Картриджи DS PFI-320;1820;45114;51.2;28;0
323345399;3807HLL8P3JW;Картриджи DS W2120X-W2123X для HP LJ M554 dn, LJ M555 dn;1820;36345;46.6;26;0
313213776;0335ZJVZ0A3N;Картриджи DS 45-78 для HP DeskJet 935, DeskJet 940;1820;30106;48.0;1;0
507053831;4821EJJ5L5DQ;Картридж DS TL-420Е для M6700D, M6700DW, M6800FDW черный;1820;27116;35.9;1;0
313188526;5521EITOE2S6;Картридж DS 071H для Canon LBP120, LBP122dw, MF270 черный;1820;21732;44.1;2;0
324994944;5634F20OMUL2;Картриджи DS TK-5440;1820;21308;50.9;3;0
807406548;5484DAPXH1ZP;Картриджи DS 069 для Canon LBP673Cdw, MF752Cdw, MF754Cdw;1820;20658;48.6;50;0
323146085;3075AUSU2S08;Картриджи DS 728XL для HP DJ T730, DJ T830;1820;18339;28.2;50;0
313214154;0333G77KUSRX;Картриджи DS 21XL-22XL для HP DeskJet F4188, DeskJet F4190;1820;14815;34.5;8;0
313185121;4640PLAHGL93;Картриджи DS 652XL для HP DJ 4675, DJ 5075, DJ 3835;1820;13696;41.7;50;0
416649265;6102I7Z1I3AU;Фотобарабан + картридж DS TN-1075+DR-1075 для Brother черный;1820;13640;39.6;50;0
912873177;39464BM4MGPF;Картридж для HP PageWide-Pro P57750 21000 страниц;1820;12421;21.3;50;0
324989793;3821T4HLQ5EP;Картриджи DS SPC250H для Ricoh MC250FW, PC301W;1820;12365;25.2;4;0
323340047;5344P9F2Q1HX;Картридж DS SCX-4100 для Samsung SCX-4100 черный;1820;12064;26.9;2;0
313190399;0006YXQCZJWS;Картриджи DS 731;1820;11714;36.7;50;0
324995312;5723M8LPHJEP;Картриджи DS 006R04368-006R04371 для Xerox C310, C315;1820;10634;35.6;50;0
313190388;0979HTWPSCKR;Картриджи DS №970XL-971XL для HP Officejet Pro X451dw;1820;9936;52.3;23;0
324994866;5617LV50P9UZ;Картриджи DS 653 для HP OfficeJet 3831, OfficeJet 3832;1820;9614;47.1;50;0
313084412;0328RGEUTSOV;Картридж DS 178XL для HP DeskJet 3524 черный;1820;9542;40.6;2;0
324990560;4230FLLT1GAS;Картридж DS 006R01646 XL для Xerox Versant 180 черный;1820;9352;37.1;48;0
886543848;45429JUZIUVZ;Картридж для HP Laser 137FNW MFP 5000 страниц;1820;8967;28.0;1;0
323206825;3208NASQ3U31;Картриджи DS CF360A-CF363A для HP M552, M553 dn, LJ M577;1820;8959;35.1;4;0
313183453;0310USIWY3CE;Картридж DS 134 для HP PhotoSmart 2573 цветной;1820;8800;27.2;1;0
871067592;53395FPDPNX6;Картридж для HP LaserJet P2015D 3500 страниц;1820;7729;16.8;50;0
917769916;6640HYVUIPND;Фотобарабан + картридж DS KX-FAD93A DU+KX-FAT92A для Panasonic;1820;7724;49.0;1;0
324980173;1283L34WCEW2;Картриджи DS CF410A-CF413A;1820;7304;29.8;3;0
559712174;6238V27TYS2S;Картриджи DS PGI-425/CLI-426 для Canon Pixma MG8140;1820;7288;34.3;7;0
323349285;4479P2JRFPYD;Картриджи DS TK-8365 для Kyocera TASKalfa 2554;1820;6611;32.5;50;0
324979439;1078JM0J3U1K;Картридж DS 006R01517 для Xerox WC 7530, WC 7525 черный;1820;6464;36.0;50;0
324987683;3441T94GH7NU;Картридж DS T9651 для Epson WF Pro M5298 черный;1820;6380;41.7;2;0
324994079;5500JGHH6BAI;Картриджи DS 842451 - 842454 для Ricoh IM C2500, IM-C2000;1820;6317;31.5;50;0
323360846;5430YB1DVVAI;Картриджи DS 305XL для HP ENVY Pro 6422, ENVY Pro 6430;1820;6108;23.7;48;0
1140776615;45428YEDT8RO;Картридж для HP Laser 135WR MFP 5000 страниц;1820;6087;28.5;1;0
323092362;0098P06FJK2O;Картриджи DS T0551-T0554 для Epson Stylus Photo X420;1820;5305;51.5;1;0
313190488;5230WUZ0YK68;Картридж DS 067H для Canon LBP633Cdw, MF651 голубой;1820;5291;19.4;49;0
324985559;2635KUML5WNR;Картридж DS TN-221M для Konica Minolta пурпурный;1820;5206;34.6;12;0
915980027;65423S3EFP00;Картридж для HP MFP 1188NW 1500 страниц;1820;5052;25.4;8;0
323195677;3570BA204MLV;Картридж DS CF289Y для HP LJ M507, LJ M528 черный;1820;4899;35.9;50;0
323269464;2729SO85KJ46;Картриджи DS 46508733-46508736 для OKI C332dn, MC363dn;1820;4852;26.8;50;0
471272624;5945A7S91BWI;Картридж DS C-EXV65 M для Canon iR C3326 пурпурный;1820;4751;40.0;7;0
324990221;3971VOVQ6KN6;Картридж DS 47095707 для OKI Data C824, Data C834 голубой;1820;4732;38.1;50;0
323313280;0631ESQ4H7F6;Картридж DS 106R00682 для Xerox Phaser 6100 желтый;1820;4637;22.1;11;0
313193395;3069WUMHWDOW;Картриджи DS T9451-T9454 для Epson WF Pro C5790;1820;4580;52.2;7;0
323363340;5614FECL6SD8;Картридж DS 917XL для HP Officejet Pro 8020 черный;1820;4506;32.0;23;0
313184345;0343FOCLSVBR;Картриджи DS 178XL для HP PhotoSmart Plus B210b;1820;4466;53.4;50;0
323242621;3710L5N91EUE;Фотобарабан DS DK-1200 DU для Kyocera M2235, M2735dn черный;1820;4358;35.6;24;0
324990267;3972L6KG7QZW;Картридж DS 47095706 для OKI Data C844 пурпурный;1820;4185;26.3;50;0
323359850;5398JZG2MP8R;Картридж DS ML-2010 для Samsung ML-1610, ML-1615 черный;1820;4117;40.1;50;0
692745969;6785C0XNUQX0;Картридж DS 071H для Canon LBP120, LBP122dw, MF270 черный;1820;4051;29.6;50;0
323108300;0193N8BTZ8AK;Картридж DS 121XL для HP DeskJet F4213 цветной;1820;3973;18.4;50;0
858266749;6858HSIK9JR0;Картридж DS TK-1200L для Kyocera M2235, M2235dn черный;1820;3901;33.2;50;0
323243753;1415PPLVZFO7;Картридж DS TK-8305Y для Kyocera TASKalfa 3551i желтый;1820;3747;36.2;12;0
323297374;2982V8WG3R6I;Картридж DS 106R03748 C для Xerox VersaLink C7020 голубой;1820;3730;35.7;50;0
323359603;5374QK0DW3CT;Картридж DS 069H для Canon LBP673Cdw, MF752Cdw черный;1820;3717;37.8;50;0
313195451;2357X43G2ZY5;Картридж DS CF256A для HP LJ M433, LJ M436n черный;1820;3711;19.2;6;0
323231306;4311TNESECKQ;Картридж DS TN-328Y для Konica Minolta C250i, C300i желтый;1820;3497;16.1;1;0
323359981;5421ICA2YRC5;Картридж DS 067H Y желтый;1820;3485;39.3;2;0
323298877;0735PYAMUFY7;Картридж DS 106R01531 для Xerox WC 3550 черный;1820;3461;34.8;4;0
313185208;0101JPGZ5YC9;Картриджи DS 27-28 для HP OfficeJet 5616, OfficeJet 6110;1820;3429;47.2;11;0
323191352;5276C16N4U0Q;Картридж DS 378XL для Epson XP 15000, XP 8500 черный;1820;3409;33.1;38;0
313191032;2290GFTN06ZW;Картридж DS CF533A для HP LJ Pro M180n пурпурный;1820;3407;34.6;1;0
323339858;5355Z7510O6T;Картридж DS 728 для Canon FAX-L150, FAX-L170, MF4410 черный;1820;3307;34.5;50;0
504285138;6545ZWMLX7WK;Картридж DS 064H M для Canon LBP722Cdw, MF832Cdw пурпурный;1820;3261;24.8;50;0
504281664;6544P7X8HR7P;Картридж DS 064H C для Canon LBP722Cdw, MF832Cdw голубой;1820;3227;27.2;50;0
313194565;1151VES8GO7J;Картридж DS CF360A для HP LJ M552dn, LJ M553dn черный;1820;3200;29.0;4;0
880350699;099211CPCJYR;Картридж для OKI MC562dn 3500 страниц;1820;3132;22.3;1;0
323168389;0927X13JJGYZ;Картридж DS T2621XL черный;1820;3084;36.0;1;0
915921844;08525Y0MQG4N;Фотобарабан для Brother HL-L2365 12000 страниц;1820;2944;26.6;2;0
323340088;5345R0N824Q2;Картридж DS SCX-4216 для Samsung SCX-4016, SCX-4100 черный;1820;2817;36.3;2;0
323237953;2030KNGO0FEP;Картридж DS TN-321 C голубой;1820;2758;27.1;50;0
324996027;5769NOWKXHWN;Картридж DS W2302X желтый;1820;2513;37.6;5;0
323240908;1700CYTLCOEN;Картридж DS TK-8325M для Kyocera TASKalfa 2551ci пурпурный;1820;2492;34.6;50;0
