nm_id;vendor_code;buyer_price_0709;buyer_price_live;margin_0709;margin_live;stock_live;cpc
923432807;6615XE9E0BF8;2019;2019;-29.4;-29.4;2;
323259143;1019BOLSN0E1;2270;2270;-6.2;-6.2;11;
323108126;0173IZFXMN1I;2452;2452;-4.1;-4.1;2;
914658469;6743SVFYE7CR;2582;2582;-3.3;-3.3;22;
323212763;4183ITX4Z5JZ;1534;1534;-2.4;-2.4;36;
313214867;2174ZZCC15WU;750;750;-0.6;-0.6;32;
323244535;3061L5OD6U6X;750;750;-0.6;-0.6;9;
323244607;3062TYFX9IML;750;750;-0.6;-0.6;8;
323244656;3063G28E9T4J;750;750;-0.6;-0.6;8;
324981343;2173TL6KRZWU;750;750;-0.6;-0.6;23;
324981351;2175DSYBZ461;750;750;-0.6;-0.6;20;
