nm_id;артикул;товар;ключ;запросов_нед;позиция;переходов;заказов;ставка_₽;источник_ставки;остаток_шт;в_работу
216360541;5247;Фотобарабан DR-321CL для Brother HL-L8250, HL-L9200;321;44;19;1;0;8.83;api_set;6;да
215239464;0922;Картридж T1301XL для Epson B42WD, BX525WD, BX535WD черный;картридж для принтера epson;22;78;1;0;9.71;api_set;49;да
199570149;00481;Картридж для Xerox Phaser 3250;xerox;17;55;1;0;11.75;api_set;2;да
263821935;3842;Чернила BT5000M для Brother DCP-T700w, DCP-T710 пурпурный;чернила для принтера brother;15;13;1;0;9.71;api_set;2;да
216361966;52372;Картридж для Canon i-SENSYS MF752Cdw;mf752cdw;13;20;1;0;9.71;api_set;2;да
181116704;3897;Картридж W1360X для HP LJ M211 D, LJ M236D черный;картридж 136а;9;15;1;0;9.71;api_set;49;да
199574175;34484;Картридж для Canon i-SENSYS MF443dw;445 446 картридж canon;9;19;0;0;11.75;api_set;49;да
209749601;4929;Картридж 74C5SCE для Lexmark CS720de, CS720de голубой;принтер lexmark;9;79;1;0;9.71;api_set;40;да
199333641;1732;Картридж 70C8HM0 для Lexmark CS310, CS410, CS510 пурпурный;принтер lexmark;9;114;1;0;9.71;api_set;20;да
200166638;13671;Картридж для Xerox Phaser 3020;картридж 3020 xerox;8;19;1;0;9.71;api_set;1;да
200166028;08519;Картридж для Brother DCP-L2560DWR;картридж для принтера brother dcp-l2500dr;7;11;2;0;9.71;api_set;1;да
200164319;020029;Картридж для HP DeskJet F2180;картридж hp 21 черный;7;20;1;0;11.75;api_set;14;да
200166638;13671;Картридж для Xerox Phaser 3020;картридж для принтера phaser 3020;6;15;1;0;9.71;api_set;1;да
683621878;3840;Чернила BT6000BK для Brother DCP-T300, DCP-T310 черный;чернила для принтера brother dcp-t310;6;16;1;0;9.71;api_set;2;да
192628490;0375;Картриджи 716 для Canon MF-8050CN, MF-8050CN, MF-8050CN;комплект картриджей для canon;6;242;1;0;9.71;api_set;1;да
393838438;6078;Чернила №110 для Epson EcoTank M1100, EcoTank M1120 черный;epson 110 чернила;5;11;1;0;9.71;api_set;49;да
216454486;4751;Картриджи PG-460XL-CL-461XL для Canon Pixma TS7440;катридж для принтера 460;5;18;1;0;9.71;api_set;42;да
199565568;13773;Картридж для HP LaserJet Pro M132a;картридж для принтера hp laserjet m132a;4;12;2;0;9.71;api_set;2;да
199574332;41463;Картридж для HP OfficeJet Pro 9023;картридж для принтера hp 9010;4;22;1;0;9.71;api_set;2;да
200166327;028010;Картридж для Samsung ML-1867;картридж для принтера samsung ml 1860;4;23;1;0;9.71;api_set;3;да
264243757;4441;Картридж T2670 для Epson WF-100W цветной;картридж для цветного принтера epson;4;39;1;0;9.71;api_set;2;да
506713398;53531;Картридж для HP LaserJet P1005;картридж для принтера hp 1005;4;41;1;0;9.71;api_set;1;да
262192304;3755;Чернила GI-490PGBK для Canon Pixma G1400 черный;чернила к принтеру canon мфу мg3640s;3;11;1;0;9.71;api_set;1;да
181104916;0781;Картридж TK-1110 для Kyocera FS-1020MFP, FS-1040 черный;картридж для принтера kyocera fs-1020 mfp;3;22;1;0;9.71;api_set;1;да
263821899;3740;Чернила GT52 для HP InkTank 415, InkTank 419 желтый;краска желтая для принтера hp;3;22;2;0;8.83;api_set;2;да
511077811;6576;Картриджи 131-135 для HP PhotoSmart 2713, PhotoSmart 8153;hp 135;3;25;1;0;9.71;api_set;1;да
326847910;0817;Картриджи №177XL для HP PhotoSmart C6283 набор cmyk lclm;hp 177;3;41;1;0;9.71;api_set;17;да
