nm_id;артикул;товар;предмет;ключ;запросов_в_неделю;позиция_сейчас;задача
199574175;34484;Картридж для Canon i-SENSYS MF443dw;Картриджи для принтеров;картридж для принтера canon 445 и 446;146;;НЕ находимся по ключу — внести в название/характеристики карточки
216360541;5247;Фотобарабан DR-321CL для Brother HL-L8250, HL-L9200;Картриджи для принтеров;321;44;19;позиция 19 — ключ есть, но слабый: поднять в название/описание
181115937;1218;Картридж LC529XLBK для Brother DCP-J100, DCP-J105 черный;Картриджи для принтеров;картридж для принтера brother;25;;НЕ находимся по ключу — внести в название/характеристики карточки
181116158;1222;Картриджи LC529XL-LC525XL для Brother DCP-J100, DCP-J105;Картриджи для принтеров;картридж для принтера brother;25;;НЕ находимся по ключу — внести в название/характеристики карточки
215239464;0922;Картридж T1301XL для Epson B42WD, BX525WD, BX535WD черный;Картриджи для принтеров;картридж для принтера epson;22;78;позиция 78 — ключ есть, но слабый: поднять в название/описание
199570149;00481;Картридж для Xerox Phaser 3250;Картриджи для принтеров;xerox;17;55;позиция 55 — ключ есть, но слабый: поднять в название/описание
263821935;3842;Чернила BT5000M для Brother DCP-T700w, DCP-T710 пурпурный;Чернила для принтера;чернила для принтера brother;15;13;позиция 13 — ключ есть, но слабый: поднять в название/описание
216361966;52372;Картридж для Canon i-SENSYS MF752Cdw;Картриджи для принтеров;mf752cdw;13;20;позиция 20 — ключ есть, но слабый: поднять в название/описание
267893036;5301;Лента S0721660 для Dymo LT 100H черный;Картриджи для принтеров;dymo;13;;НЕ находимся по ключу — внести в название/характеристики карточки
200166638;13671;Картридж для Xerox Phaser 3020;Картриджи для принтеров;xerox phaser 3020;11;;НЕ находимся по ключу — внести в название/характеристики карточки
181116704;3897;Картридж W1360X для HP LJ M211 D, LJ M236D черный;Картриджи для принтеров;картридж 136а;9;15;позиция 15 — ключ есть, но слабый: поднять в название/описание
199333641;1732;Картридж 70C8HM0 для Lexmark CS310, CS410, CS510 пурпурный;Картриджи для принтеров;принтер lexmark;9;114;позиция 114 — ключ есть, но слабый: поднять в название/описание
199570149;00481;Картридж для Xerox Phaser 3250;Картриджи для принтеров;3250;9;;НЕ находимся по ключу — внести в название/характеристики карточки
199574175;34484;Картридж для Canon i-SENSYS MF443dw;Картриджи для принтеров;445 446 картридж canon;9;19;позиция 19 — ключ есть, но слабый: поднять в название/описание
199574175;34484;Картридж для Canon i-SENSYS MF443dw;Картриджи для принтеров;картридж 445 446 canon;9;;НЕ находимся по ключу — внести в название/характеристики карточки
209749601;4929;Картридж 74C5SCE для Lexmark CS720de, CS720de голубой;Картриджи для принтеров;принтер lexmark;9;79;позиция 79 — ключ есть, но слабый: поднять в название/описание
326848543;0035;Картридж SCX-4200 для Samsung SCX-4200, SCX-4220 черный;Картриджи для принтеров;картридж для принтера samsung scx-4220;9;;НЕ находимся по ключу — внести в название/характеристики карточки
200166638;13671;Картридж для Xerox Phaser 3020;Картриджи для принтеров;картридж 3020 xerox;8;19;позиция 19 — ключ есть, но слабый: поднять в название/описание
326848543;0035;Картридж SCX-4200 для Samsung SCX-4200, SCX-4220 черный;Картриджи для принтеров;картридж 4200 samsung;8;;НЕ находимся по ключу — внести в название/характеристики карточки
200164319;020029;Картридж для HP DeskJet F2180;Картриджи для принтеров;картридж hp 21 черный;7;20;позиция 20 — ключ есть, но слабый: поднять в название/описание
200166028;08519;Картридж для Brother DCP-L2560DWR;Картриджи для принтеров;картридж для принтера brother dcp-l2500dr;7;11;позиция 11 — ключ есть, но слабый: поднять в название/описание
216454486;4751;Картриджи PG-460XL-CL-461XL для Canon Pixma TS7440;Картриджи для принтеров;картридж canon 460 461;7;;НЕ находимся по ключу — внести в название/характеристики карточки
292614708;5617;Картриджи 653 для HP OfficeJet 3831, OfficeJet 3832;Картриджи для принтеров;картридж для принтера hp 653;7;;НЕ находимся по ключу — внести в название/характеристики карточки
192628490;0375;Картриджи 716 для Canon MF-8050CN, MF-8050CN, MF-8050CN;Картриджи для принтеров;комплект картриджей для canon;6;242;позиция 242 — ключ есть, но слабый: поднять в название/описание
200166638;13671;Картридж для Xerox Phaser 3020;Картриджи для принтеров;картридж для принтера phaser 3020;6;15;позиция 15 — ключ есть, но слабый: поднять в название/описание
200167236;10421;Картридж для Samsung Xpress M2020;Картриджи для принтеров;картридж samsung m2070w;6;;НЕ находимся по ключу — внести в название/характеристики карточки
216401177;13252;Картридж для Ricoh Aficio SP150SU;Картриджи для принтеров;картридж для принтера ricoh sp150;6;;НЕ находимся по ключу — внести в название/характеристики карточки
683621878;3840;Чернила BT6000BK для Brother DCP-T300, DCP-T310 черный;Чернила для принтера;чернила для принтера brother dcp-t310;6;16;позиция 16 — ключ есть, но слабый: поднять в название/описание
