nm_id;маржа_live_%;штук_фев_июнь;чистая_₽;чистая_на_штуку;ставка_₽;видим_в_поиске;орг_открытий;орг_корзина;орг_заказы;рекл_заказы;расход_нед_₽;выручка_нед_₽;допустимый_ДРР_%
181104934;46.1;1;6723;6723;;да;3;1;1;0;0;0;21.1
257945576;51.8;3;19406;6469;13.19;да;5;1;0;0;26;0;26.8
253913048;49.3;40;184185;4605;13.19;да;6;1;0;0;68;0;24.3
268379700;45.4;2;7220;3610;12.93;да;3;1;0;0;22;0;20.4
268379620;51.3;6;16324;2721;12.93;да;5;1;0;0;11;0;26.3
192567642;38.1;2;4784;2392;13.19;да;7;2;0;0;12;0;13.1
440332162;52.2;9;21104;2345;12.93;да;1;0;1;0;12;0;27.2
192228659;46.2;14;31611;2258;12.93;да;7;3;1;0;46;0;21.2
192569225;50.8;3;6510;2170;12.93;да;3;1;0;0;11;0;25.8
322983083;42.2;1;2075;2075;12.93;да;4;1;0;0;31;0;17.2
216454486;48.4;8;14362;1795;12.93;да;9;2;0;0;75;0;23.4
267856815;33.5;4;7159;1790;13.19;да;8;1;0;0;18;0;8.5
192569274;46.4;26;33082;1272;15.64;да;4;1;2;0;16;0;21.4
967516852;37.1;1;1243;1243;12.93;да;0;1;0;0;11;0;12.1
964953109;40.6;17;20861;1227;17.16;да;10;6;2;2;162;3684;15.6
181105073;43.5;3;3485;1162;13.19;да;6;1;0;0;19;0;18.5
859952878;33.3;2;2317;1159;13.19;да;1;1;0;0;24;0;8.3
437221762;43.5;1;1091;1091;;да;4;1;0;0;0;0;18.5
209731215;39.1;3;3229;1076;;да;2;1;0;0;0;0;14.1
964952647;38.5;3;3146;1049;13.19;да;2;0;1;1;18;1842;13.5
192569068;48.1;6;6036;1006;12.93;да;3;1;0;0;0;0;23.1
804817300;37.4;6;6027;1005;13.19;да;4;1;1;0;0;0;12.4
192567677;46.7;4;3938;984;15.64;да;5;5;1;0;14;0;21.7
216448628;39.9;38;37318;982;7.30;да;4;1;0;0;33;0;14.9
247994781;38.7;50;47943;959;13.19;да;6;1;0;0;11;0;13.7
216341512;51.5;9;8626;958;12.93;да;3;1;0;0;11;0;26.5
216448553;38.4;134;121771;909;13.19;да;19;4;1;1;277;5254;13.4
200165092;36.5;3;2669;890;13.19;да;3;1;0;0;23;0;11.5
192227760;36.2;1;855;855;12.93;да;7;3;0;0;0;0;11.2
200167530;37.0;18;14534;807;12.93;да;4;1;0;0;21;0;12.0
