nm_id;артикул;название;ключей;макс_частота;топ-3 запроса;шт_3мес;выручка_3мес
192567282;4296;Картриджи W2030X-W2033X для HP M454dn, LJ Pro M454dw;1;6;2033;6.0;62212
192228430;0171;Картриджи CLP-300 для Samsung CLP-300N, CLX-2160, CLX-3160N;2;2;катридж samsung clx-2160 | clp-300 картридж;8.0;21134
964953034;45426;Картридж для HP Laser 135R MFP;3;4;hp laser mfp 135r | картридж hp laser mfp 135r | hp laser 135w катридж;7.0;20589
257352462;3826;Картриджи SJIC22P для Epson Works C3500, TM-C3500;1;1;epson sjic22p;3.0;18576
192567564;0369;Картриджи CE270A-CE273A для HP LJ CP5520;1;1;картридж gd th 270;1.0;18180
215239840;4893;Картридж W1500A для HP LJ M111, LJ M141 черный;1;1;1500a для hp laserjet m109;6.0;12201
262192027;5398;Картридж ML-2010 для Samsung ML-1610, ML-1615 черный;2;7;картридж samsung 1610 | катридж 1610/pe220/119s uni;7.0;12070
256206881;55972;Картридж для HP LJ Pro MFP 4103dw;2;1;картриджы для hp 4103 | эконом лазер;4.0;11992
216422212;00026;Картридж для HP LaserJet 1022;1;1;картоидж принтер hp laser jet 1022;9.0;11595
216354472;3024;Фотобарабан C-EXV49 DU для Canon iR C3325, iR C3330;1;1;c-exv 49;2.0;11360
200164943;02025;Картридж для HP DeskJet 2050A;1;2;картридж на hp deskjet 2050 мфу;4.0;10851
467725369;6058;Картридж C-EXV65 C для Canon iR C3326, iR C3326i голубой;1;12;3326;3.0;10723
192227968;0310;Картридж 134 для HP PhotoSmart D5155 цветной;2;1;c9363h | картриджи hp photosmart d5063;5.0;10409
209665330;3770;Картриджи W2070X-W2073X для HP Laser 150a, Laser 150a;1;7;картриджи для лазерного принтера;2.0;9708
888371013;6880;Картридж 006R04388 для Xerox C230, C235 голубой;1;1;xerox 006r0388 картридж;1.0;9274
199572251;10711;Картридж для Sharp AR-5625;1;93;sharp;2.0;8640
200166032;08518;Картридж для Brother DCP-L2540DNR;1;3;картридж для принтера brother dcp-l2540dnr;10.0;8596
964915510;53691;Картридж для Kyocera EcoSys M2040dn;1;7;картридж для kyocera ecosys m2040dn;4.0;8242
416660077;6120;Фотобарабан DR-2405 для Brother DCP-L2535DW черный;1;1;dr 2405;3.0;7760
199574658;53517;Картридж для Canon i-SENSYS MF3010;1;3;картридж на принтер canon i-sensys mf3010;4.0;7705
439974378;3083;Картридж 903XL для HP OfficeJet 6950, OfficeJet 6950 черный;1;1;hp 6950 картридж;5.0;7627
262192073;4830;Фотобарабан W1104A для HP 1200 a, 1000a черный;2;1;w1178704 | картридж neverstop laser 104a;1.0;7325
199572984;21091;Картридж для Sharp AR-5420;1;1;. sharp ar - 5420;2.0;7301
200166118;23151;Картридж для Brother DCP-1602;1;1;картридж brother 1602r;9.0;7062
745493984;239328;Комплект картриджей для Canon SELPHY CP1200;2;5;картридж для фотопринтера canon selphy cp1500 | canon selphy cp1200;1.0;6678
437224954;42643;Картридж для Xerox AltaLink C8035;1;1;картридж altalink c8055;2.0;6324
216429076;03066;Картридж для HP DeskJet 1280;1;1;картридж для принтера hp deskjet 1280;1.0;5804
964672390;43695;Картридж для HP DeskJet 2630;1;1;картридж hp deskjet 2630 на принтер;1.0;5724
209713600;2860;Картридж №727 для HP DJ T1500, DJ T1500 фото-черный;1;1;чип картриджа hp 727;1.0;5595
216459979;239324;Комплект картриджей для Canon SELPHY CP820;1;1;canon selphy cp1200;1.0;5454
472911780;5589;Картридж TN-2480 для Brother DCP-L2550DW, HL-L2370DN черный;1;1;dr 2405;4.0;5358
199574754;53481;Картридж для Xerox Phaser 3116;1;2;картридж на принтер xerox phaser 3116;3.0;5104
200166009;08511;Картридж для Brother HL-L2300DR;1;3;картридж для принтера brother hl-l2300dr;5.0;5073
1003224475;30544;Картридж для HP LaserJet M15 M28w Pro MFP;1;1;картридж go laser jet pro mfp m28w;2.0;5024
180939063;0195;Картридж 57 для HP DeskJet 9680gp цветной;1;2;картридж для принтера hp 57;2.0;4948
199569936;00182;Картридж для Canon FC-128;1;1;картридж для ксерокса canon fc 128;1.0;4913
199334609;2987;Картридж MLT-D203U для Samsung SL-M4020, SL-M4070 черный;1;1;colortek картридж hq-mlt d203u;2.0;4767
192626856;3087;Картриджи 903XL для HP OfficeJet Pro 6960;2;1;hp 6950 картридж | набор картриджей 903 xl;1.0;4763
676785479;4145;Картридж №963XL для HP OfficeJet Pro 9019 желтый;1;1;картридж для принтера hp 963;3.0;4746
886747618;6923;Картридж TK240A для Катюша M140, M240, P140 черный;1;5;картридж для принтера катюша;1.0;4705
199570101;006013;Картридж для Canon i-SENSYS LBP-251dw;1;1;картридж для принтера canon 253;3.0;4702
200166330;02742;Картридж для Samsung ML-2165;2;2;ml2165 | принтер самсунг ml 2165;3.0;4606
199331789;0269;Картридж CLT-K407S для Samsung CLP-320, CLP-320 черный;2;1;картриджи для clp-325 | самсунг сlp 320 картридж цветной;2.0;4423
199569941;00183;Картридж для Canon FC-108;1;1;картридж canon fc 108;1.0;4200
209664310;2395;Картридж PG-440XL для Canon Pixma GM4040 черный;3;8;картридж 440 canon | картридж canon pg-440xl черный | картридж цветной canon 3640;1.0;4152
192568115;2245;Картриджи CF350A-CF353A для HP LJ Pro M176n, LJ Pro M177fw;1;1;картриджи в принтер hp 176;1.0;4114
199569532;07105;Картридж для Sharp MB OfficeCenter 316;1;1;. sharp ar - 5420;1.0;4098
262192152;4658;Картридж M21-500595WT для Brady BMP 21-LAB, BMP 21-PLUS;2;4;brady | картридж brady bmp21;3.0;3903
209663681;11451;Картридж для Xerox Phaser 3610;1;1;картридж 106r02723 для xerox phaser 3610;2.0;3766
199569491;326411;Картридж для P3010D;1;1;картридж 3010d;2.0;3483
1001406882;001914;Картридж для Canon i-SENSYS MF3200;1;2;картридж для принтера canon mf3200;1.0;3404
