nm_id;vendor_code;price_was;price_now;margin_was;margin_now;cpc
192569011;3064;16232.52;2759.58;31.02;-103.47;
199330898;2403;4327.87;995.42;36.64;-36.8;7.3
546318860;6615;5214.84;3337.55;9.12;-18.75;
1208520885;7071;7761.78;4501.9;13.95;-18.42;
199333635;1713;23602.31;7552.84;34.38;-17.04;
209666070;0405;13400.6;4422.26;34.86;-13.31;
209714835;0635;16654.5;5496.07;35.46;-11.49;
423181615;6195;9526.71;2953.32;36.98;-11.08;
199335536;4731;15233.54;5027.14;36.22;-9.18;
1003483222;47301;13560.6;4610.67;36.01;-7.8;
209712795;0404;13400.6;4824.28;34.86;-7.33;
199334801;3189;4121.88;1483.89;34.98;-7.0;
878640681;2176;4487.87;2737.64;18.91;-6.51;
552867820;6743;5289.84;3597.14;14.66;-6.06;
216429119;1987;16563.52;6459.87;33.79;-5.0;
261996658;2000;3945.7;1806.5;29.67;-4.61;
192626365;4734;43729.7;18366.74;32.1;-4.51;
199335537;4730;13560.6;4746.27;36.61;-4.2;7.3
199573333;23197;4282.87;1456.19;37.44;-3.61;
199573309;23194;4282.87;1456.19;37.44;-3.61;
199573232;23196;4282.87;1456.19;37.44;-3.61;7.3
270394627;5734;14210.57;4973.77;36.83;-3.56;
199572750;17262;10553.68;4221.53;34.03;-2.82;
199572745;17261;10553.68;4221.53;34.03;-2.82;
199333643;1726;10553.68;4221.53;34.03;-2.82;
209712923;0869;2799.91;1231.98;31.67;-2.61;
257807790;5062;22933.32;9173.46;34.35;-2.01;
862931960;23195;4282.87;1499.03;37.44;-1.84;
209713694;3401;3504.9;1437.02;33.85;-1.76;
199334838;3403;3504.9;1437.02;33.85;-1.76;
199570746;06863;4202.87;1639.14;35.17;-1.47;
199570748;06861;4202.87;1639.14;35.17;-1.47;
199332170;0686;4202.87;1639.14;35.17;-1.47;
265276054;4647;20079.4;7831.09;35.21;-1.38;
209713184;1737;4166.88;1708.45;34.03;-1.32;
216360388;3700;3805.89;1332.08;37.68;-1.14;7.3
257807710;0784;2504.92;1202.38;29.94;-1.12;
236322550;0785;2504.92;1202.38;29.94;-1.12;
551374050;6712;24440.27;11975.91;29.49;-0.82;
199331186;2634;5542.84;2272.59;34.29;-0.69;7.3
209714827;0634;13822.6;5529.12;34.95;-0.51;
1003236850;31891;4121.88;1648.77;34.98;-0.45;
1003236866;31892;4121.88;1648.77;34.98;-0.45;
1003236946;31893;4121.88;1648.77;34.98;-0.45;
209727742;3061;1047.98;890.78;8.58;-0.31;
199334645;3063;1047.98;890.78;8.58;-0.31;
181116465;2173;1047.98;890.78;8.58;-0.31;7.3
199334748;3062;1047.98;890.78;8.58;-0.31;
216429621;0259;14103.59;5641.52;35.05;-0.28;
267857314;5713;7068.8;2474.11;38.03;-0.13;
267857316;5712;7068.8;2474.11;38.03;-0.13;
267857339;5711;7068.8;2474.11;38.03;-0.13;
