account;nm_id;vendor_code;subject;our_price;buyer_price;margin;net;discount_pct;q;rub;loss;cpc
wb_acc2;323362444;5508GXDRQY7R;Картриджи для принтеров;2794.44;2353.0;-124.3;-3473;87;1;5910;-3473;
wb_acc2;488744138;6382YVCHBZ8W;Картриджи для принтеров;1805.11;1556.0;-67.1;-1211;82;2;4683;-2422;
wb_acc2;323242748;1304L4DF4L21;Картриджи для принтеров;1858.77;1602.0;-119.4;-2218;84;1;2616;-2218;
wb_acc2;313185072;0345YZSBFN57;Картриджи для принтеров;4256.09;3583.0;-25.1;-1070;67;2;17174;-2140;
wb_acc2;869293673;57541PO2V8LY;Картриджи для принтеров;2947.59;2482.0;-44.3;-1305;79;1;2948;-1305;
wb_acc2;324994725;5596LC17ALWG;Картриджи для принтеров;1056.15;931.0;-47.1;-497;78;1;1039;-497;
wb_acc2;874752486;02322YMBN3YY;Картриджи для принтеров;536.97;473.0;-11.9;-64;0;3;1645;-191;
wb_acc2;313184483;0245RPEJ6OCL;Картриджи для принтеров;1001.54;883.0;-9.3;-93;60;2;2204;-187;
wb_acc2;313184721;1293UHQ7UFU1;Картриджи для принтеров;760.27;670.0;-23.7;-180;73;1;1190;-180;10.9
wb_acc2;313184465;0825TVETLVA0;Картриджи для принтеров;744.07;656.0;-22.3;-166;73;1;721;-166;
wb_acc2;313183771;0035SE8J970L;Картриджи для принтеров;1301.32;1147.0;-9.5;-123;70;1;2048;-123;7.3
wb_acc2;883514392;23651PCB013G;Картриджи для принтеров;1016.21;896.0;-11.8;-120;39;1;1677;-120;
wb_acc2;880571786;11442KMPTQQA;Картриджи для принтеров;1207.98;1065.0;-9.3;-113;63;1;1618;-113;
wb_acc2;874764217;02329L9P5XEG;Картриджи для принтеров;536.97;473.0;-11.9;-64;0;1;1216;-64;
wb_acc2;862504599;11573DHSGD79;Картриджи для принтеров;1535.32;1323.0;-3.7;-57;55;1;2072;-57;
wb_acc1;199573309;23194;Картриджи для принтеров;1456.19;1284.0;-3.6;-53;66;1;1499;-53;
wb_acc2;885302865;32323E8VYE8W;Картриджи для принтеров;1495.95;1319.0;-2.6;-39;61;1;1335;-39;
