nm_id;вендор_код;товар;причина;остаток_МС;поставщик;заказов_с_01.06;выручка_с_01.06_₽;заказов_август;выручка_август_₽;последний_месяц
216352823;5139;Фотобарабан 45395704 для OKI MC760, MC770, MC780 черный;нет у поставщика;0;;1;14329;0;0;2026-06-01
500316642;6490;Картриджи 44059105-44059108 для OKI C810, C830;нет у поставщика;0;;1;13415;0;0;2026-06-01
216352805;3383;Фотобарабан C-EXV42 DU для Canon iR-2202, iR-2204 черный;остаток есть, купить нельзя;1;"ООО ""КОМПАНИЯ БЛОССОМ""";3;11672;0;0;2026-07-01
322542985;5512;Блок проявки DV-214K для Konica Minolta Bizhub 227 черный;нет у поставщика;0;;1;11601;0;0;2026-06-01
199574579;53392;Картридж для HP LaserJet P2015;остаток есть, купить нельзя;363;"ООО ""КОЛОРТЕК РУС"", ООО ""ОДИССЕЙ"" WB, ООО ""ПОЗИТИВ"", ТОНЕРОП";6;11222;0;0;2026-07-01
322512652;5806;Картридж TN-3600XXL для Brother 5210, 5710 черный;остаток есть, купить нельзя;36;"ООО ""КПД""(ВТТ)";3;11128;0;0;2026-06-01
200166638;13671;Картридж для Xerox Phaser 3020;остаток есть, купить нельзя;18567;ИП Капшук Наталья Сергеевна, ИП Яхин Рустам Ильфирович (Спри;3;9065;1;2700;2026-08-01
192567999;2265;Картриджи TK-580 для Kyocera FS-C5150DN, ECOSYS P6021CDN;нет у поставщика;0;;1;8509;0;0;2026-06-01
460303938;6263;Картриджи №62XL для HP OfficeJet 252, Officejet 5740;нет у поставщика;0;;1;8207;0;0;2026-06-01
209733985;4828;Картриджи №651XL для HP OfficeJet 252, OfficeJet 252c;нет у поставщика;0;;1;7894;0;0;2026-06-01
200166518;07822;Картридж для Kyocera FS-1125MFP;остаток есть, купить нельзя;3742;ИП Капшук Наталья Сергеевна, ИП Яхин Рустам Ильфирович (Спри;8;7584;1;1494;2026-08-01
209729131;3890;Картриджи LC-3237 для Brother HL-J6000DW, MFC-J5945DW;нет у поставщика;0;;2;7424;0;0;2026-06-01
1003731369;68605;Тонер-картридж для Brother MFC-L2805DW;остаток есть, купить нельзя;203;"ООО ""КПД""(ВТТ)";1;7063;0;0;2026-06-01
192569031;3053;Картриджи CLI-481XXL для Canon Pixma TS8240, Pixma TS8240;остаток есть, купить нельзя;3;ТОНЕРОПТТОРГ (Изипринт) T2;2;6902;0;0;2026-07-01
1003232943;31543;Картридж для HP LaserJet 4M+;нет у поставщика;0;;1;6593;0;0;2026-06-01
903687693;6941;Бункер отработанного тонера 008R13061 для Xerox черный;остаток есть, купить нельзя;5;"ООО ""КАРТРИДЖ ТРЕЙД"" (Блоссом)";1;5980;1;5980;2026-08-01
199333528;1615;Картридж TN-3230 для Brother DCP-8070, DCP-8085DN черный;остаток есть, купить нельзя;18;"ООО ""КОМПАНИЯ ФЕРРЕТ"", ООО ""КПД""(ВТТ)";2;5704;0;0;2026-07-01
209752089;5210;Картриджи 106R01271 - 106R01274 для Xerox Phaser 6110;нет у поставщика;0;;1;5400;0;0;2026-06-01
199574581;53393;Картридж для HP LaserJet P2015D;остаток есть, купить нельзя;363;"ООО ""КОЛОРТЕК РУС"", ООО ""ОДИССЕЙ"" WB, ООО ""ПОЗИТИВ"", ТОНЕРОП";2;5397;0;0;2026-07-01
275794904;4667;Картридж CTL-1100HK для CM1100ADN, CM1100ADN черный;остаток есть, купить нельзя;2;"ООО ""ПОЗИТИВ""";2;5006;0;0;2026-06-01
1003731358;68601;Тонер-картридж для Brother HL-L2400D;остаток есть, купить нельзя;203;"ООО ""КПД""(ВТТ)";1;4939;0;0;2026-06-01
200166683;13672;Картридж для Xerox WorkCentre 3025;остаток есть, купить нельзя;18567;ИП Капшук Наталья Сергеевна, ИП Яхин Рустам Ильфирович (Спри;2;4844;1;2215;2026-08-01
215240223;1308;Картридж 50F5X00 для Lexmark MS410d, MS410dn черный;остаток есть, купить нельзя;273;"ООО ""КВК ТРЕЙД"", ООО ""КОМПАНИЯ БЛОССОМ"", ООО ""КОМПАНИЯ РМ"", ";2;4810;1;2046;2026-08-01
552347271;6723;Фотобарабан + картридж 049DU+047X для Canon LBP-112w черный;нет у поставщика;0;;1;4468;0;0;2026-07-01
209727661;2955;Картридж 006R01271 для Xerox WC-7132, WC-7232 желтый;нет у поставщика;0;;1;4403;0;0;2026-06-01
199573842;33504;Картридж для P3105DN;нет у поставщика;0;;1;3380;0;0;2026-06-01
1001406655;53396;Картридж для HP LaserJet P2015N;остаток есть, купить нельзя;363;"ООО ""КОЛОРТЕК РУС"", ООО ""ОДИССЕЙ"" WB, ООО ""ПОЗИТИВ"", ТОНЕРОП";1;3253;0;0;2026-06-01
209752248;5248;Картридж TK-1170XL для Kyocera M2040, M2540, M2540dw черный;остаток есть, купить нельзя;291;"ИП Капшук Наталья Сергеевна, ООО ""КВК ТРЕЙД"", ООО ""КОМПАНИЯ ";2;2998;0;0;2026-07-01
261208093;5625;Картридж TK-5380C для Kyocera MA4000cifx, MA4000cix голубой;остаток есть, купить нельзя;449;"ИП Капшук Наталья Сергеевна, ООО ""КОМПАНИЯ РМ"", ООО ""КОМПАНИ";1;2992;0;0;2026-07-01
216422292;00272;Картридж для HP LaserJet P2055;остаток есть, купить нельзя;6428;"ИП Капшук Наталья Сергеевна, ООО ""КОЛОРТЕК РУС"", ООО ""КОМПАН";2;2931;0;0;2026-06-01
199335593;5339;Картридж Q7553A для HP LJ M2727nf, LJ P2010 черный;остаток есть, купить нельзя;363;"ООО ""КОЛОРТЕК РУС"", ООО ""ОДИССЕЙ"" WB, ООО ""ПОЗИТИВ"", ТОНЕРОП";2;2925;0;0;2026-06-01
209732908;4736;Картридж T9641 для Epson WF Pro M5298, WF Pro M5299 черный;нет у поставщика;0;;1;2447;0;0;2026-06-01
215240565;13081;Картридж для Lexmark MS410d;остаток есть, купить нельзя;273;"ООО ""КВК ТРЕЙД"", ООО ""КОМПАНИЯ БЛОССОМ"", ООО ""КОМПАНИЯ РМ"", ";1;2265;0;0;2026-06-01
199565729;35714;Картридж для HP LaserJet M443nda;нет у поставщика;0;;1;2238;0;0;2026-07-01
209732081;4532;Картридж C-EXV60 для Canon iR 2425 черный;остаток есть, купить нельзя;684;"ИП Капшук Наталья Сергеевна, ООО ""КОМПАНИЯ РМ"", ООО ""КОМПАНИ";1;1749;0;0;2026-06-01
199330726;3900;Картридж №912XL M для HP OfficeJet Pro 8022 пурпурный;остаток есть, купить нельзя;235;"ИП Яхин Рустам Ильфирович (Спринт), ООО ""КВК ТРЕЙД"" OEM, ООО";1;1649;0;0;2026-07-01
215240107;13082;Картридж для Lexmark MS410dn;остаток есть, купить нельзя;273;"ООО ""КВК ТРЕЙД"", ООО ""КОМПАНИЯ БЛОССОМ"", ООО ""КОМПАНИЯ РМ"", ";1;1620;0;0;2026-06-01
964798705;20533;Картридж для Ricoh Aficio MP2500SP;нет у поставщика;0;;1;1551;0;0;2026-07-01
215240851;30833;Картридж для HP OfficeJet Pro 6970;остаток есть, купить нельзя;192;ИП Капшук Наталья Сергеевна, ИП Яхин Рустам Ильфирович (Спри;1;1526;0;0;2026-06-01
262192238;4563;Картридж LK4TBN для Epson LW 1000P, LW 300, LW 400, LW 600P;нет у поставщика;0;;1;1474;0;0;2026-06-01
199565712;35711;Картридж для HP LaserJet M438n;нет у поставщика;0;;1;1466;0;0;2026-06-01
216429383;00121;Картридж для HP LaserJet 1160;остаток есть, купить нельзя;2183;"ИП Капшук Наталья Сергеевна, ООО ""КВК ТРЕЙД"", ООО ""КОЛОРТЕК ";1;1346;0;0;2026-06-01
199330774;3901;Картридж №912XL Y для HP OfficeJet Pro 8024 желтый;остаток есть, купить нельзя;207;"ИП Яхин Рустам Ильфирович (Спринт), ООО ""КВК ТРЕЙД"" OEM, ООО";1;1328;0;0;2026-07-01
439986868;3464;Картридж W2410A для HP Color LaserJet Pro M155a черный;остаток есть, купить нельзя;73;"ООО ""КПД""(ВТТ)";1;1208;0;0;2026-06-01
967350866;09272;Картридж для Epson Expression XP-600;остаток есть, купить нельзя;133;"ООО ""КВК ТРЕЙД"" OEM, ООО ""КОМПАНИЯ БЛОССОМ"", ООО ""ОДИССЕЙ"" W";1;836;0;0;2026-06-01
263820385;0493;Картридж T0461 для Epson Stylus C63, Stylus C65 черный;нет у поставщика;0;;1;800;0;0;2026-06-01
199335620;5357;Картридж TK-100 для Kyocera KM 1500 черный;остаток есть, купить нельзя;88;"ООО ""КОЛОРТЕК РУС"", ООО ""КОМПАНИЯ БЛОССОМ"", ООО ""КОМПАНИЯ ФЕ";1;722;0;0;2026-06-01
