запрос;nm_id;название;наша_цена;медиана_топ10;множитель;наших_отзывов;отзывов_медиана_соседей;позиция
картридж canon 325;199334869;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;15291;1171;13.06;0;8;42
картридж для принтера canon 325;199334869;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;15291;1171;13.06;0;8;57
brother mfc-j3520;192567911;Картриджи LC569XL-LC565XL для Brother MFC-J3520, MFC-J3720;2978;239;12.46;8;1;7
mf752cdw;257945576;Картриджи 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;16898;2300;7.35;1;0;19
картридж hp 135;261175836;Картридж W1350A для HP LJ M209, LJ M209dw черный;7234;1032;7.01;1;6;49
tk-5380;400980140;Картриджи TK-5380 для Kyocera MA4000cifx, MA4000cix;12327;1878;6.57;2;0;16
canon maxify mb2140 картриджи;181104959;Картриджи PGI-1400XL для Canon MB2350, MB2350, MB2350;2885;447;6.45;6;20;11
cf530a;192228659;Картриджи CF530A-CF533A для HP LJ Pro M154 a, LJ Pro M154 a;6880;1092;6.3;21;4;11
069 картридж;257945576;Картриджи 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;12005;1920;6.25;1;0;26
069 картридж;437228191;Картриджи 069 для Canon LBP673Cdw, MF752Cdw, MF754Cdw;11839;1920;6.17;0;0;32
hp 135;261175836;Картридж W1350A для HP LJ M209, LJ M209dw черный;7234;1198;6.04;1;3;48
ctl-1100xk;440332162;Картриджи CTL-1100XK - CTL-1100XY для CP1100, CP1100;10772;1806;5.96;13;4;6
картридж для принтера brother;1003684432;Фотобарабан для Brother MFC-L2960DW;4235;745;5.68;0;4;52
hp 177;192568115;Картриджи CF350A-CF353A для HP LJ Pro M176n, LJ Pro M177fw;4543;824;5.51;1;1;50
комплект катриджей для принтера kyocera m6526cdn;192568649;Картриджи TK-590 для Kyocera FS-C2626, FS-C5250, FS-C2626;8745;1586;5.51;2;1;1
картридж hp 135;511077811;Картриджи 131-135 для HP PhotoSmart 2713, PhotoSmart 8153;5670;1032;5.49;3;6;76
069 картридж;216453663;Картриджи 069H для Canon LBP673Cdw, MF752Cdw, MF754Cdw;10150;1920;5.29;34;0;78
картридж ecosys m2135dn;216354658;Фотобарабан DK-1150 DU для Kyocera M2040dn, M2135 черный;4382;836;5.24;8;22;100
комплект картриджей для canon;209664104;Картриджи PFI-107 для Canon iPF785, iPF785, iPF785;20136;3860;5.22;3;23;50
блок проявки kyocera;322511036;Блок проявки DV-7125 для Kyocera TASKalfa 3212i черный;33482;6536;5.12;0;2;65
картридж для принтера lexmark;216429516;Фотобарабан 50F0Z00 для Lexmark MS510dn, MS511 черный;7454;1474;5.06;7;3;72
блок проявки kyocera;1003627388;Блок проявки для Kyocera ECOSYS M2635dw;31523;6536;4.82;0;2;52
картридж на hp 5l;209752517;Картридж для HP LaserJet 6 LSE;2919;606;4.82;1;1;27
картридж canon 325;257945607;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;5622;1171;4.8;0;8;22
картридж для принтера canon 325;257945607;Картридж 056H для Canon MF542x, MF543x, LBP-325 черный;5622;1171;4.8;0;8;29
hp 135;511077811;Картриджи 131-135 для HP PhotoSmart 2713, PhotoSmart 8153;5670;1198;4.73;3;3;51
картридж для принтера hp laserjet 1150;261175836;Картридж W1350A для HP LJ M209, LJ M209dw черный;4485;974;4.61;1;8;32
картридж для принтера kyocera fs-1020 mfp;199572610;Картридж для Kyocera FS-C1020MFP;6141;1378;4.46;0;32;28
картридж для принтера hp 653;199573773;Картридж для HP Color LJ M653;9579;2168;4.42;0;45;100
картридж для принтера lexmark;997760378;Картридж 12036SE для Lexmark E120, E120n черный;6480;1474;4.4;1;3;10
картридж для принтера lexmark;327898981;Картридж для Lexmark E120;6480;1474;4.4;0;3;60
ecosys ma2100cwfx картриджи;850448432;Картриджи TK-5430 для Kyocera MA2100cwfx, MA2100cwx;6259;1441;4.34;0;0;37
картридж на hp 5l;209664593;Картридж для HP LaserJet 5L;2550;606;4.21;1;1;1
картридж  hp q 6000a;192567491;Картриджи Q6000A-Q6003A для HP LJ 2605dtn, LJ 2605dtn;14318;3459;4.14;7;1;11
картридж для принтера lexmark;216355243;Картридж 12026XW DU для Lexmark E120, E120n черный;5852;1474;3.97;1;3;97
чернила для принтера epson 105;216452043;Чернила №774BK для Epson EcoTank M-200, L 655, L-605 черный;733;185;3.96;10;30;71
brother mfc-j3520;216422439;Картридж LC569XLBK для Brother MFC-J3520, MFC-J3720 черный;940;239;3.93;8;1;8
картридж для принтера hp 653 черный;199573773;Картридж для HP Color LJ M653;9579;2474;3.87;0;86;72
brother mfc-j3520;200166151;Картридж для Brother MFC-J3520;906;239;3.79;2;1;27
brother mfc-j3520;200166129;Картридж для Brother MFC-J3720;906;239;3.79;1;1;34
чернила для принтера epson 105;216448532;Чернила для Epson M 105;695;185;3.76;4;30;64
чернила для принтера epson 105;216430441;Чернила для Epson L-1455;695;185;3.76;3;30;100
ce505x картридж;199335367;Картридж CE505XXL для HP LJ P2050, LJ P2055 черный;3823;1030;3.71;1;2;99
картридж ce505x;199335367;Картридж CE505XXL для HP LJ P2050, LJ P2055 черный;3823;1030;3.71;1;2;99
картриджи для принтера brother dcp j125;192567875;Картриджи LC985 для Brother DCP-J125, DCP-J140W, DCP-J125;1647;447;3.68;4;0;2
картридж canon 325;199565268;Картридж для Canon PC-325;4301;1171;3.67;0;8;29
картридж для принтера canon 325;199565268;Картридж для Canon PC-325;4301;1171;3.67;0;8;26
картридж для самсуунг clx 2160;1001410821;Картридж для Samsung CLX-2160;3018;827;3.65;0;1;13
картридж для самсуунг clx 2160;200166863;Картридж для Samsung CLP-300N;3018;827;3.65;0;1;23
картридж для самсуунг clx 2160;181104981;Картридж CLP-K300A для Samsung CLP-300N, CLP-300N черный;3018;827;3.65;25;1;28
картридж для самсуунг clx 2160;216424969;Картридж для Samsung CLX-3160FN;3018;827;3.65;1;1;50
картридж для самсуунг clx 2160;216424802;Картридж для Samsung CLX-3160N;3018;827;3.65;0;1;55
pg-460xl;216454486;Картриджи PG-460XL-CL-461XL для Canon Pixma TS7440;9957;2748;3.62;44;10;28
brother mfc-j3520;216429484;Картридж LC563BK для Brother MFC-J2310, MFC-J2310 черный;855;239;3.58;3;1;11
brother mfc-j3520;200167242;Картридж LC563Y для Brother MFC-J3720, MFC-J3720 желтый;852;239;3.56;3;1;39
brother mfc-j3520;200167252;Картридж LC563M для Brother MFC-J3520, MFC-J3520 пурпурный;843;239;3.53;3;1;5
brother mfc-j3520;216429650;Картридж LC563C для Brother MFC-J2510, MFC-J2510 голубой;843;239;3.53;3;1;9
brother mfc-j3520;192228130;Картридж LC565XLY для Brother MFC-J2310, MFC-J2510 желтый;841;239;3.52;11;1;2
картридж на hp 5l;1001414434;Картридж для HP LaserJet 5L Extra;2113;606;3.49;0;1;4
