nm_id;маржа_live_%;ДРР_потолок_%;заказы_неделя;заказы_прошлая;выручка_₽;бюджет_до_потолка_₽_нед;в_корзину;открытия;орг_позиция
181104934;49.1;24.1;1;0;6675;1608;1;4;7
922338153;31.0;6.0;1;0;19394;1171;0;9;3
209664075;38.8;13.8;1;0;4499;620;1;1;2
211434265;45.2;20.2;1;0;2965;599;1;1;4
850428329;31.5;6.5;1;0;8720;565;2;2;7
209655436;33.4;8.4;1;0;5997;503;0;0;
200166303;34.2;9.2;2;0;4654;427;3;14;2
216429080;35.7;10.7;1;0;3344;359;1;2;5
199331160;35.3;10.3;1;0;2814;289;0;0;
199331154;33.3;8.3;1;0;2751;228;1;9;7
200166518;36.9;11.9;1;0;1494;177;1;3;2
1284271625;39.9;14.9;1;0;1150;171;1;2;11
215243926;42.2;17.2;1;0;917;157;1;3;2
209779465;42.2;17.2;1;0;917;157;1;2;6
216421567;34.7;9.7;1;1;1513;147;17;26;13
181115802;27.1;2.1;1;0;6227;133;1;7;5
199333413;30.3;5.3;1;0;2383;125;3;4;7
964431688;38.9;13.9;1;0;779;108;1;2;3
200164027;30.7;5.7;1;0;1884;108;1;0;
200166011;30.4;5.4;1;0;2002;108;0;2;7
209713624;26.2;1.2;1;0;6189;77;1;5;5
263820513;32.8;7.8;1;0;769;60;1;1;5
199566477;28.6;3.6;1;1;1401;51;2;6;2
199574756;28.1;3.1;1;0;1429;45;2;2;
967496417;26.6;1.6;1;0;2194;35;1;3;24
964792524;26.1;1.1;1;0;2728;31;1;4;
199335608;26.0;1.0;1;0;2039;21;0;10;4
199565754;27.8;2.8;1;0;639;18;0;1;2
