nm_id;месяцев_с_продажами;штук_3мес;выручка_3мес_₽;маржа_live_%;бюджет_₽_нед
200166303;3;46;65322;35.1;507
200166274;2;23;30128;34.9;229
199565917;3;6;22021;34.6;162
192567652;3;5;21976;51.3;445
199566477;3;19;21924;29.3;72
199573317;3;12;18752;30.8;83
493592815;3;4;18313;33.7;123
209731248;3;4;17125;36.9;157
209779249;3;6;15571;37.0;144
262192027;2;7;12070;37.1;113
199335608;2;7;11988;26.4;13
200166518;2;14;11102;36.7;100
262191959;2;9;10570;38.9;113
216354469;3;7;10452;25.9;7
199331154;3;4;10366;33.8;70
209663303;3;6;10138;35.0;78
199566476;3;9;9714;31.1;45
262192104;2;5;9170;55.0;212
1002610265;2;3;9017;28.1;22
216360999;2;7;8636;38.1;87
416649238;2;3;8584;36.7;77
200166560;3;8;8565;30.9;39
199574658;2;4;7705;25.5;3
439974378;2;5;7627;41.5;97
199570371;3;3;7188;27.7;15
216429080;2;4;6988;36.2;60
199572665;2;4;6531;34.5;48
349940282;2;3;6089;25.4;2
209752248;3;4;5802;32.2;32
181116389;2;3;4788;25.5;2
216354204;2;3;4229;26.5;5
200167538;2;3;4149;35.5;33
181120378;2;6;3853;44.5;58
199566489;2;3;3356;31.8;18
181097446;3;4;2483;40.8;30
200163032;2;3;1902;43.1;27
