nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_профиля_%;ДРР_потолок_%;расход_₽;выручка_ВСЯ_₽;выручка_органика_₽;заказы_всего;заказы_реклама;заказы_органика;заказы_прошлая_неделя;в_корзину;показы_рекл;клики_рекл;открытия_всего;орг_позиция
327898986;35697812;🟢 зелёный;+10%;ДРР профиля 0.6% при потолке 1.3%;13.19;26.3;0.6;1.3;158.81;26620;26620;5;0;5;0;7;114;15;29;2
216448553;35697812;🟢 зелёный;+10%;ДРР профиля 1.3% при потолке 13.2%;14.51;38.2;1.3;13.2;260.62;20218;20218;3;0;3;4;12;347;22;61;2
192228659;35281617;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 21.2%;14.22;46.2;0.3;21.2;46.14;14892;14892;2;0;2;0;4;13;4;10;3
192569274;35698453;🟢 зелёный;+10%;ДРР профиля 0.1% при потолке 21.6%;17.20;46.6;0.1;21.6;15.64;14852;14852;2;0;2;1;2;28;1;16;6
216453663;35698453;🟢 зелёный;+10%;ДРР профиля 0.1% при потолке 26.1%;8.03;51.1;0.1;26.1;12.93;13136;13136;1;0;1;0;0;42;1;19;8
181105237;35698510;🟢 зелёный;+10%;ДРР профиля 0.2% при потолке 28.9%;14.22;53.9;0.2;28.9;23.50;11956;0;5;5;0;0;5;38;2;2;14
192567280;35698453;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 28.2%;8.03;53.2;0.0;28.2;0.00;10626;10626;1;0;1;0;1;16;0;2;31
440332162;35698292;🟢 зелёный;+10%;ДРР профиля 0.1% при потолке 26.7%;14.22;51.7;0.1;26.7;11.75;8879;8879;1;0;1;0;1;19;1;2;9
268379700;35698419;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 20.1%;14.22;45.1;0.3;20.1;22.43;8810;8810;1;0;1;1;1;28;2;9;20
397270294;35699209;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 12.3%;14.51;37.3;0.0;12.3;0.00;8104;8104;2;0;2;0;3;20;0;0;
263819801;35281617;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 23.2%;14.18;48.2;0.0;23.2;0.00;7875;7875;1;0;1;0;1;7;0;1;
181116150;35697812;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 16.5%;14.22;41.5;0.3;16.5;24.68;7538;7538;1;0;1;0;2;31;2;7;3
