nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_профиля_%;ДРР_потолок_%;расход_₽;выручка_ВСЯ_₽;выручка_органика_₽;заказы_всего;заказы_реклама;заказы_органика;заказы_прошлая_неделя;в_корзину;показы_рекл;клики_рекл;открытия_всего;орг_позиция
323345021;35495292;🟢 зелёный;+10%;ДРР профиля 0.1% при потолке 26.4%;7.30;51.4;0.1;26.4;21.90;19932;19932;4;0;4;3;7;40;3;46;
887025642;35501683;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 2.4%;7.30;27.4;0.0;2.4;0.00;11326;11326;2;0;2;0;5;3;0;1;
313214936;35495292;🟢 зелёный;+10%;ДРР профиля 0.1% при потолке 26.9%;8.00;51.9;0.1;26.9;16.00;11069;11069;2;0;2;1;2;94;2;52;
313188500;35497479;🟢 зелёный;+10%;ДРР профиля 0.1% при потолке 26.5%;7.30;51.5;0.1;26.5;7.30;7929;7929;1;0;1;0;3;23;1;5;
323363554;35495292;🟢 зелёный;+10%;ДРР профиля 0.4% при потолке 23.0%;7.30;48.0;0.4;23.0;29.20;7724;7724;1;0;1;0;3;7;4;17;
323108005;36463324;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 24.9%;7.30;49.9;0.3;24.9;21.90;7374;7374;4;0;4;1;5;10;3;13;
862500790;35509256;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 11.0%;7.30;36.0;0.0;11.0;0.00;6598;6598;1;0;1;0;1;1;0;1;
434795487;35495292;🟢 зелёный;+10%;ДРР профиля 0.1% при потолке 20.4%;7.30;45.4;0.1;20.4;7.30;6308;6308;2;0;2;0;2;12;1;1;
497215569;35508987;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 25.9%;7.30;50.9;0.0;25.9;0.00;4845;4845;1;0;1;0;1;5;0;3;
323141910;36458948;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 2.5%;7.30;27.5;0.0;2.5;0.00;3809;3809;1;0;1;0;1;7;0;1;
313212520;36462624;🟢 зелёный;+10%;ДРР профиля 0.4% при потолке 14.8%;7.30;39.8;0.4;14.8;14.60;3681;3681;1;0;1;0;2;24;2;8;
886671642;35497916;🟢 зелёный;+10%;ДРР профиля 0.4% при потолке 1.8%;7.30;26.8;0.4;1.8;14.60;3566;0;1;1;0;0;1;24;2;4;
323089932;36460596;🟢 зелёный;+10%;ДРР профиля 0.2% при потолке 0.5%;7.30;25.5;0.2;0.5;7.30;3377;3377;1;0;1;0;1;1;1;1;
507053831;36462624;🟢 зелёный;+10%;ДРР профиля 0.5% при потолке 2.2%;8.80;27.2;0.5;2.2;17.60;3326;1663;2;1;1;0;2;26;2;7;
886543848;36462624;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 4.2%;7.30;29.2;0.0;4.2;0.00;2580;2580;1;0;1;1;1;56;0;4;
871030057;35507605;🟢 зелёный;+10%;ДРР профиля 0.6% при потолке 0.8%;8.00;25.8;0.6;0.8;16.00;2538;2538;1;0;1;0;1;9;2;2;
323359850;35512317;🟢 зелёный;+10%;ДРР профиля 0.4% при потолке 0.4%;8.80;25.4;0.4;0.4;8.80;2441;0;1;1;0;0;1;45;1;3;
872386273;35505900;🟢 зелёный;+10%;ДРР профиля 0.3% при потолке 15.0%;7.30;40.0;0.3;15.0;7.30;2238;0;1;1;0;0;1;8;1;1;
416649265;36462624;🟢 зелёный;+10%;ДРР профиля 0.4% при потолке 4.1%;8.00;29.1;0.4;4.1;8.00;2235;2235;1;0;1;0;2;80;1;4;
313184382;36463324;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 25.3%;7.30;50.3;0.0;25.3;0.00;2217;2217;1;0;1;0;0;2;0;1;
313183453;35510132;🟢 зелёный;+10%;ДРР профиля 0.8% при потолке 7.5%;8.80;32.5;0.8;7.5;17.60;2143;2143;1;0;1;0;2;16;2;2;
313188526;35512317;🟢 зелёный;+10%;ДРР профиля 0.7% при потолке 3.6%;7.30;28.6;0.7;3.6;14.60;2050;2050;1;0;1;0;1;40;2;16;
313193668;35495292;🟢 зелёный;+10%;ДРР профиля 0.7% при потолке 27.7%;12.80;52.7;0.7;27.7;12.80;1908;0;1;1;0;0;3;38;1;11;
313190488;36462624;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 2.6%;7.30;27.6;0.0;2.6;0.00;1838;1838;1;0;1;0;0;29;0;5;
497146391;35510132;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 8.8%;7.30;33.8;0.0;8.8;0.00;1663;1663;1;0;1;0;2;8;0;4;
313191023;36463324;🟢 зелёный;+10%;ДРР профиля 0.5% при потолке 4.4%;7.30;29.4;0.5;4.4;7.30;1593;1593;1;0;1;0;0;26;1;10;
313183285;35514220;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 9.3%;7.30;34.3;0.0;9.3;0.00;1459;1459;1;0;1;0;1;3;0;2;
880196706;35504156;🟢 зелёный;+10%;ДРР профиля 1.0% при потолке 3.7%;7.30;28.7;1.0;3.7;14.60;1430;0;1;1;0;0;1;8;2;2;
867076866;35508061;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 2.4%;7.30;27.4;0.0;2.4;0.00;1291;1291;1;0;1;0;0;19;0;6;
313190637;36459468;🟢 зелёный;+10%;ДРР профиля 5.0% при потолке 5.0%;9.70;30.0;5.0;5.0;58.20;1164;1164;1;0;1;0;2;63;6;9;
323155388;36459075;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 19.5%;7.30;44.5;0.0;19.5;0.00;850;850;1;0;1;0;1;4;0;1;
437416579;36460888;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 19.5%;7.30;44.5;0.0;19.5;0.00;850;850;1;0;1;0;1;3;0;1;
807385889;35508987;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 17.2%;7.30;42.2;0.0;17.2;0.00;780;780;1;0;1;0;1;27;0;1;
497231985;35508987;🟢 зелёный;+10%;ДРР профиля 0.0% при потолке 19.8%;7.30;44.8;0.0;19.8;0.00;716;716;1;0;1;0;1;10;0;3;
323092572;36460596;🟢 зелёный;+10%;ДРР профиля 1.3% при потолке 12.3%;8.80;37.3;1.3;12.3;8.80;672;672;1;0;1;1;0;19;1;4;
862504599;35509256;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;15.9;0.0;0.0;0.00;4572;4572;2;0;2;1;2;8;0;5;
324979651;35500249;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;18.3;0.0;0.0;0.00;3408;3408;1;0;1;0;1;3;0;1;
323215017;35513491;🟡 жёлтый;держим;ставка не тратится: показы есть, кликов нет;7.30;24.1;0.0;0.0;0.00;3332;3332;1;0;1;0;1;5;0;1;
