nm_id;arm;advert_id;cpc_now;clicks14;views14;orders14;margin;stock
312727072;seed;35514220;7.3;1;420;0;36.6;1
313084412;control;36462624;9.7;2;171;0;36.1;2
313084429;seed;35497479;7.3;1;62;0;32.0;45
313183106;control;35497479;7.3;2;176;0;29.4;1
313183111;control;36460596;7.3;1;127;0;31.7;3
313183321;seed;36459468;7.3;1;33;0;32.7;1
313183450;seed;35510132;7.3;1;16;0;37.1;2
313183451;seed;35513180;7.3;1;51;0;37.2;45
313183453;seed;35510132;8.8;2;33;0;26.0;2
313183684;control;35512936;7.3;2;281;0;40.2;45
313183708;seed;35501262;7.3;1;325;0;26.8;45
313183710;seed;36463324;8.0;1;1;0;35.5;1
313183818;seed;36460596;8.0;1;200;0;25.6;1
313183825;control;35505545;7.3;1;10;0;42.3;9
313183868;seed;36459301;7.3;1;37;0;25.2;1
313184237;control;36463324;7.3;1;31;0;31.3;2
313184345;control;35510132;8.0;2;66;0;48.9;45
313184465;seed;36459468;8.0;3;178;0;30.3;1
313184599;control;36459301;8.0;1;37;0;38.6;45
313184631;seed;35512936;7.3;1;88;0;29.1;3
313184636;control;35514220;8.8;4;4;3;52.2;34
313184995;control;36462624;7.3;5;34;0;45.8;45
313185208;control;35510132;7.3;3;22;0;47.9;8
313185369;control;36463324;8.0;2;14;0;37.7;2
313188500;seed;35497479;8.0;2;105;0;48.0;4
313188526;control;35512317;7.3;4;49;0;39.6;1
313189468;control;35512317;8.0;2;76;0;27.9;8
313189535;control;35495292;7.3;11;728;0;28.9;2
313189723;seed;35512642;7.3;1;1;0;35.6;32
313189780;control;36463324;8.0;1;70;0;39.9;45
313189782;control;36459468;8.0;1;52;0;38.4;2
313189965;seed;35514926;7.3;1;6;0;29.4;8
313190459;seed;36459468;8.8;8;120;0;48.8;3
313190482;control;35510132;7.3;1;48;0;31.4;2
313190637;seed;36459468;8.8;6;210;0;25.2;18
313191133;control;36459301;7.3;1;9;0;35.1;45
313191300;control;35495292;9.69;3;90;0;41.9;6
313191552;seed;36459894;7.3;2;57;0;48.1;45
313191771;control;36462624;7.3;1;6;0;51.0;1
313191772;seed;35510132;7.3;1;40;0;34.3;45
313192025;control;35512317;7.3;1;48;0;26.7;1
313193622;seed;36460596;7.3;2;4;0;32.8;2
313193668;seed;35495292;12.8;3;78;0;54.6;2
313193937;seed;36460596;7.3;2;30;0;34.3;1
313195451;seed;35514926;7.3;1;157;0;34.4;10
313195477;seed;36460596;7.3;1;5;0;39.6;12
313196153;control;36460596;8.0;1;62;0;36.8;5
313196167;seed;35514511;7.3;1;7;0;42.4;45
313197569;seed;35495292;10.6;2;24;0;41.9;4
313212398;seed;35510132;7.3;2;51;0;42.8;2
313212413;seed;36463324;7.3;2;5;0;39.2;1
313212520;control;36462624;7.3;10;74;3;53.0;45
313213776;seed;35510132;7.3;1;27;0;48.6;2
313213881;seed;36463324;7.3;4;122;0;30.9;24
313214154;seed;35510132;7.3;1;76;0;44.9;8
313214537;control;35510132;7.3;2;51;0;36.5;45
313214936;control;35495292;8.0;6;220;0;45.6;45
313215012;seed;36462624;8.0;4;33;0;38.5;11
313215096;control;36460596;7.3;1;2;0;30.3;1
313216047;seed;36463324;7.3;1;40;0;30.4;25
313216138;control;36459468;7.3;1;2;0;34.6;14
313216464;control;35513872;7.3;3;373;0;30.2;2
323089875;control;36462624;7.3;1;24;1;34.9;25
323089953;control;35495292;7.3;1;79;0;31.3;1
323090264;seed;36463324;7.3;1;10;0;35.1;2
323092362;seed;35512317;8.0;1;5;0;45.0;16
323092698;control;36460596;7.3;1;17;1;37.2;45
323107555;seed;36460596;7.3;1;21;2;35.9;33
323107909;seed;36463324;7.3;1;2;0;52.7;22
323108005;control;36463324;7.3;4;10;0;49.0;1
323108273;control;36460596;7.3;2;12;0;31.8;45
323108300;seed;35510132;7.3;5;213;0;33.0;45
323108860;seed;36460596;7.3;2;21;0;35.9;45
323108899;seed;36460596;7.3;1;38;0;36.6;23
323108902;seed;36462624;7.3;1;3;0;35.5;4
323109138;seed;35510132;7.3;2;224;0;34.6;45
323109153;seed;35510132;7.3;5;137;0;31.4;45
