nm_id;advert_id;цвет;действие;причина;ставка_₽;маржа_live_%;ДРР_факт_%;ДРР_потолок_%;показы;клики;расход_₽;выручка_₽;закз_реклама;закз_органика;орг_корзина;орг_открытий;орг_позиция
216448553;35697812;🟢 зелёный;+10%;заказы есть, расхода нет — потолок 13.2% свободен;13.19;38.2;;13.2;347;22;260.62;0.00;0;1;5;21;2
200166364;35697812;🟢 зелёный;+10%;заказы есть, ДРР 5.9% при потолке 12.5%;13.19;37.5;5.9;12.5;123;13;179.55;3034.00;1;1;2;14;10
964953109;36879576;🟢 зелёный;+10%;заказы есть, ДРР 4.5% при потолке 15.6%;17.16;40.6;4.5;15.6;132;11;166.34;3684.00;2;2;6;10;13
216422241;35697812;🟢 зелёный;+10%;заказы есть, ДРР 2.6% при потолке 4.7%;13.19;29.7;2.6;4.7;64;11;126.33;4842.00;2;3;2;10;5
497233585;35698099;🟢 зелёный;+10%;заказы есть, расхода нет — потолок 9.4% свободен;13.19;34.4;;9.4;68;8;94.07;0.00;0;1;2;10;5
180944674;36877586;🟢 зелёный;+10%;заказы есть, ДРР 2.2% при потолке 3.4%;13.19;28.4;2.2;3.4;95;6;79.14;3602.00;1;1;2;6;5
263821899;35698099;🟢 зелёный;+10%;заказы есть, ДРР 8.6% при потолке 15.0%;11.75;40.0;8.6;15.0;125;5;55.64;648.00;1;1;4;4;14
216422201;35697812;🟢 зелёный;+10%;заказы есть, ДРР 1.9% при потолке 6.0%;13.19;31.0;1.9;6.0;106;4;50.36;2643.00;1;1;1;4;10
270394778;35282981;🟢 зелёный;+10%;заказы есть, ДРР 3.8% при потолке 12.7%;12.93;37.7;3.8;12.7;45;4;49.36;1287.00;1;0;1;6;2
192228659;35281617;🟢 зелёный;+10%;заказы есть, расхода нет — потолок 21.2% свободен;12.93;46.2;;21.2;13;4;46.14;0.00;0;1;3;7;3
326848543;35277369;🟢 зелёный;+10%;заказы есть, ДРР 1.3% при потолке 13.0%;12.93;38.0;1.3;13.0;84;4;45.93;3439.00;1;0;2;4;11
326847167;35699129;🟢 зелёный;+10%;заказы есть, ДРР 2.9% при потолке 7.1%;13.19;32.1;2.9;7.1;47;4;45.67;1587.00;1;1;3;19;7
257945613;35699026;🟢 зелёный;+10%;заказы есть, ДРР 1.2% при потолке 11.6%;13.19;36.6;1.2;11.6;58;4;42.29;3654.00;2;2;2;3;8
437221664;35697812;🟢 зелёный;+10%;заказы есть, расхода нет — потолок 9.3% свободен;13.19;34.3;;9.3;58;3;39.99;0.00;0;1;1;4;2
209663659;35697951;🟢 зелёный;+10%;заказы есть, ДРР 5.7% при потолке 6.4%;13.19;31.4;5.7;6.4;93;3;37.17;647.00;1;1;1;3;6
200166276;35697812;🟢 зелёный;+10%;заказы есть, ДРР 1.4% при потолке 7.7%;12.93;32.7;1.4;7.7;85;3;36.54;2645.00;1;2;2;5;5
