nm_id;advert_id;ставка_₽;новая_₽;показы;клики;расход_₽;орг_открытий;орг_позиция
850435847;35697894;14.22;7.30;44;4;50.54;6;18
327898992;35697812;11.99;7.30;30;4;42.70;4;4
216458920;35277369;11.75;7.30;62;4;38.84;4;4
209712743;35704140;14.22;7.30;62;3;37.61;3;9
265276096;35282981;11.75;7.30;79;3;35.25;3;2
370067477;35278992;11.99;7.30;42;3;34.88;3;36
199565836;35706004;11.99;7.30;15;3;33.79;4;19
181118884;35698882;11.99;7.30;65;3;33.79;4;16
192228705;35697894;11.99;7.30;72;3;33.79;5;17
192228701;35706311;11.99;7.30;30;4;32.80;7;8
199330892;35700300;17.16;7.30;33;2;32.76;2;3
215240223;35704644;11.99;7.30;21;3;32.70;5;19
257807831;35408957;11.99;7.30;43;3;32.10;6;3
400980499;35700300;11.75;7.30;30;3;32.04;3;6
216361042;35697894;11.99;7.30;20;3;31.28;3;13
199566539;35282981;15.60;7.30;108;2;31.20;3;20
267893036;35282447;11.75;7.30;45;3;31.07;12;6
209664992;35703066;11.99;7.30;115;3;30.19;3;5
967319399;36877686;11.99;7.30;29;3;30.19;4;7
439260714;35282079;11.99;7.30;50;4;29.20;7;3
498770580;35700057;11.99;7.30;39;3;29.10;6;4
209665087;35703851;11.99;7.30;31;3;29.10;3;2
199574175;35277054;14.22;7.30;77;2;25.86;3;1
967324489;36877433;11.99;7.30;7;3;25.50;3;46
216422130;35697812;11.99;7.30;92;2;24.90;9;13
181105106;35698510;12.89;7.30;22;2;24.61;4;3
199569449;35278992;11.75;7.30;3;2;23.50;2;4
263821935;35408957;11.75;7.30;55;2;23.50;4;5
964263356;36879425;11.75;7.30;19;2;23.50;2;2
192255559;35698510;12.89;7.30;20;2;23.44;3;8
199569593;35705677;11.99;7.30;49;2;22.89;3;17
1035979026;36873563;11.99;7.30;7;3;21.90;4;189
200164778;35278992;11.99;7.30;36;2;21.80;6;2
209728963;35704140;11.99;7.30;16;2;21.80;2;11
199334036;35698882;11.99;7.30;7;2;21.80;3;26
964647367;36873596;11.99;7.30;8;2;21.80;2;5
