nm_id;advert_id;цвет;ставка_₽;новая_₽;маржа_live_%;ДРР_факт_%;ДРР_допустимый_%;показы;клики;расход_₽;выручка_₽;рекл_заказы;орг_заказы;орг_корзина;орг_открытий;орг_позиция
216401177;35408957;🔴 красный (ДРР выше своего порога);20.79;18.71;23.7;6.4;0.0;90;12;209.93;3272.00;1;1;1;13;3
199573234;35701146;🔴 красный (ДРР выше своего порога);13.19;11.87;21.8;2.7;0.0;50;8;98.54;3696.00;2;2;2;8;3
215240041;35282447;🟤 бордовый;12.93;7.30;47.4;;22.4;109;6;71.90;0.00;0;0;0;3;18
888188198;35697951;🟤 бордовый;15.64;7.30;26.9;;1.9;92;5;71.10;0.00;0;0;0;6;2
200164816;35703066;🟤 бордовый;12.93;7.30;36.1;;11.1;39;5;64.65;0.00;0;0;0;4;1
200166683;39087266;🔴 красный (ДРР выше своего порога);13.19;11.87;21.4;2.7;0.0;189;5;58.97;2215.00;1;1;2;8;5
850428410;35697951;🟤 бордовый;13.19;7.30;24.6;;0.0;43;4;52.76;0.00;0;0;0;4;3
850505172;35698159;🟤 бордовый;13.19;7.30;31.4;;6.4;86;4;51.56;0.00;0;0;0;2;29
181105105;39087266;🟤 бордовый;13.19;7.30;54.5;;29.5;57;4;50.47;0.00;0;0;0;5;5
199334503;35705358;🔴 красный (маржа < пола 15%);10.90;9.81;12.5;;0.0;46;5;47.30;0.00;0;0;1;4;3
216459877;35698882;🟤 бордовый;13.19;7.30;25.6;;0.6;135;3;39.57;0.00;0;0;0;1;4
209663375;39087266;🟤 бордовый;13.19;7.30;40.6;;15.6;135;3;37.17;0.00;0;0;0;3;10
964953034;36879576;🟤 бордовый;17.16;7.30;39.9;;14.9;84;2;34.32;0.00;0;0;0;0;
967516933;36877586;🟤 бордовый;17.16;7.30;37.1;;12.1;98;2;34.32;0.00;0;0;0;3;9
216341419;35697812;🟤 бордовый;12.93;7.30;43.0;;18.0;20;3;33.32;0.00;0;0;0;4;4
964953201;36879576;🟤 бордовый;17.16;7.30;41.0;;16.0;104;2;31.34;0.00;0;0;0;2;77
192228203;35282981;🟤 бордовый;15.60;7.30;38.5;;13.5;8;2;31.20;0.00;0;0;0;3;4
199566628;35698419;🔴 красный (маржа < пола 15%);8.83;7.95;4.7;2.3;0.0;21;3;26.49;1137.00;1;1;2;1;6
199573287;35282981;🟤 бордовый;13.19;7.30;27.0;;2.0;37;2;26.38;0.00;0;0;0;1;4
322412759;35698187;🟤 бордовый;13.19;7.30;24.8;;0.0;23;2;26.38;0.00;0;0;0;4;2
181115212;35698366;🟤 бордовый;13.19;7.30;24.3;;0.0;19;2;26.38;0.00;0;0;0;0;
216460971;35698927;🟤 бордовый;13.19;7.30;35.9;;10.9;77;2;26.38;0.00;0;0;0;0;
181123617;39087266;🔴 красный (ДРР выше своего порога);13.19;11.87;18.0;1.4;0.0;60;2;26.38;1821.00;1;1;1;2;15
745493984;35700551;🟤 бордовый;12.93;7.30;36.4;;11.4;52;2;25.86;0.00;0;0;0;2;16
