кампания;ID кампании;артикул;nm_id;название;ставка ₽;маржа %;расход ₽/нед;выручка ₽/нед;заказы;что делать
;35408957;13252;216401177;Картридж для Ricoh Aficio SP150SU;20.79;23.8;194.31;3272.0;1;удалить из кампании
;35697812;10421;200167236;Картридж для Samsung Xpress M2020;24.79;22.3;173.53;3910.0;2;удалить из кампании
;35701146;23193;199573234;Картридж для Lexmark MX417de;13.19;21.7;98.54;3696.0;2;удалить из кампании
;39087266;13672;200166683;Картридж для Xerox WorkCentre 3025;13.19;20.4;58.97;2215.0;1;удалить из кампании
;35700930;11684;199572465;Картридж для Canon i-SENSYS MF217w;9.71;22.6;58.26;1952.0;1;удалить из кампании
;35277369;001818;199565298;Картридж для Canon FC-226;13.19;24.7;55.59;0.0;0;удалить из кампании
;35697951;6858;850428410;Картридж TK-1200L для Kyocera M2235, M2235dn, M2835 черный;13.19;24.4;52.76;0.0;0;удалить из кампании
;39087266;00871;216422142;Картридж для HP LaserJet Pro P1102;7.3;23.4;41.19;1699.0;1;удалить из кампании
;35697812;13671;200166638;Картридж для Xerox Phaser 3020;7.3;21.5;40.95;0.0;0;удалить из кампании
;35705358;2954;199334503;Картридж CF218X для HP LJ Pro M103, LJ Pro M104a черный;10.9;12.4;40.0;0.0;0;удалить из кампании
;35706004;02451;199565836;Картридж для Brother HL-2130R;7.3;23.2;33.79;0.0;0;удалить из кампании
;35700300;2970;199330892;Картридж 047 для Canon LBP110, LBP113, MF110, MF112 черный;7.3;14.6;32.76;0.0;0;удалить из кампании
;35704644;1308;215240223;Картридж 50F5X00 для Lexmark MS410d, MS410dn черный;7.3;18.8;32.7;0.0;0;удалить из кампании
;35282981;02551;199566539;Картридж для Xerox WorkCentre 3210;7.3;20.7;31.2;0.0;0;удалить из кампании
;39087266;5351;199331222;Картридж 725 для Canon F-158200, LBP6000, LBP6020 черный;7.3;21.3;30.19;0.0;0;удалить из кампании
;35698419;02324;199566628;Картридж для Panasonic KX-MB283;8.83;4.3;26.49;1137.0;1;удалить из кампании
;39087266;1171;181123617;Фотобарабан DR-1075 DU для Brother DCP-1510, HL-1110 черный;13.19;17.9;26.38;1821.0;1;удалить из кампании
;35408957;0239;199330539;Картридж TK-160 для Kyocera FS-1120, FS-1120D черный;13.19;20.1;26.38;1257.0;1;удалить из кампании
;35698187;5791;322412759;Блок проявки DV-1140 для Kyocera FS-1035, FS-1135MFP черный;13.19;24.9;26.38;0.0;0;удалить из кампании
;35698366;1044;181115212;Картридж MLT-D203E для Samsung SL-M3820, SL-M3870 черный;13.19;24.1;26.38;0.0;0;удалить из кампании
;35700300;1285;181114718;Картридж TN-3480 для Brother DCP-L5500dn, DCP-L5600 черный;13.19;23.0;23.98;0.0;0;удалить из кампании
;36877167;6949;967526991;Картридж TL-C2318H для BM1800, BM1800W, BP1800 черный;13.19;23.2;23.98;0.0;0;удалить из кампании
;39087266;02743;200166377;Картридж для Samsung SCX-3400;13.19;22.5;23.98;0.0;0;удалить из кампании
;35278992;13241;199569449;Картридж для Ricoh Aficio SP111;7.3;19.2;23.5;0.0;0;удалить из кампании
;36879425;02494;964263356;Картридж для Brother DCP-7060DR;7.3;18.3;23.5;0.0;0;удалить из кампании
;35698882;2226;199334036;Картридж 51F5H00 для Lexmark MS312, MS312dn, MS415 черный;7.3;17.2;21.8;0.0;0;удалить из кампании
;35697812;53531;506713398;Картридж для HP LaserJet P1005;12.93;24.0;21.36;0.0;0;удалить из кампании
;39087266;2316;216352768;Фотобарабан DR-1095 DU для Brother DCP-1602, HL-1202 черный;13.19;22.0;20.49;1632.0;1;удалить из кампании
;35698419;6133;416667713;Картриджи PGI-5BK/CLI-8 для Canon Pixma iP6600D;7.3;22.1;19.42;1730.0;1;удалить из кампании
;35408957;5773;292489053;Картридж 070 для Canon LBP243dw, LBP246dw, MF461dw черный;7.3;19.9;18.2;4942.0;2;удалить из кампании
;35699026;5369;261996690;Картридж TK-1170 для Kyocera M2040dn, M2540dn черный;10.9;15.2;18.2;1637.0;1;удалить из кампании
;35706311;0280;181097531;Картридж MLT-D104S для Samsung ML-1660, ML-1665 черный;7.3;15.7;18.2;0.0;0;удалить из кампании
;35698593;0252;199331771;Картридж 106R01379 для Xerox Phaser 3100 черный;7.3;23.1;17.98;0.0;0;удалить из кампании
;35281617;5290;261153436;Картридж T31A для Deli M3100, P3100 черный;13.19;23.2;13.19;3786.0;1;удалить из кампании
;35408957;4206;216360986;Картридж W2072A для HP Laser 179fnw, Laser 179fnw желтый;13.19;21.6;13.19;0.0;0;удалить из кампании
;35278992;0081;181097414;Картридж TN-2175 для Brother DCP-7030R, DCP-7032R черный;13.19;24.5;13.19;0.0;0;удалить из кампании
;35699129;3448;199334841;Картридж 057H для Canon LBP 223 dw, LBP-225, MF 446x черный;13.19;18.1;13.19;0.0;0;удалить из кампании
;35698453;5255;260810197;Фотобарабаны 108R01485 - 108R01488;13.19;16.4;13.19;0.0;0;удалить из кампании
;36873660;7002;1004338488;Фотобарабан + картридж DK-1270+TK-1270 для Kyocera черный;13.19;23.8;13.19;0.0;0;удалить из кампании
;36873966;005610;1001414622;Картридж для Samsung ML-1210;13.19;24.0;13.19;0.0;0;удалить из кампании
;35700718;07641;199571846;Картридж для HP Color LaserJet Pro 300 M351a;13.19;24.7;13.19;0.0;0;удалить из кампании
;35704140;4267;199335397;Картридж 006R01704 для Xerox C8030, C8035, C8045 желтый;13.19;24.9;13.19;0.0;0;удалить из кампании
;35698159;53356;859072573;Картридж для Canon i-SENSYS MF4330;13.19;19.8;13.19;0.0;0;удалить из кампании
;36878081;00524;964492292;Картридж для HP Color LaserJet CP1215;13.19;24.4;13.19;0.0;0;удалить из кампании
;35703066;16664;200165658;Картридж для HP LaserJet Pro M227sdn;12.93;23.0;12.93;2236.0;1;удалить из кампании
;35282447;2295;199331387;Картридж 045H C для Canon LBP613, LBP613, LBP613 голубой;12.93;18.4;12.93;0.0;0;удалить из кампании
