nm_id;заказы_июн_авг;выручка_июн_авг_₽;показов_за_неделю;маржа_%;проходит_KPI
324996043;9;94178;6;;
323363554;13;85186;7;;
323149841;14;83587;4;;
497150824;10;80836;1;;
495477126;5;71739;1;;
563132941;6;58916;1;;
323349463;3;56303;1;;
313195199;6;48404;2;;
313183592;7;46360;4;;
323347536;1;45114;0;;
817143249;1;44916;0;;
313190617;8;44280;1;;
496139830;7;43311;3;;
323348325;1;41070;1;;
323345399;4;40194;0;;
313190889;5;38554;4;;
313188204;8;35833;8;;
313189712;7;33858;0;;
489542847;2;31774;0;;
313183571;8;31304;5;;
313213776;4;30106;6;;
381004977;3;29172;6;;
323249143;1;28144;0;;
313191771;4;27936;4;;
323299309;5;27722;3;;
323349519;4;27591;0;;
323182587;5;25842;2;;
324994656;13;25818;2;;
323202973;3;25712;0;;
313183413;5;25405;3;;
313184636;10;23918;0;;
497215569;7;21710;5;;
313216421;2;21683;0;;
324985662;2;21644;1;;
868910596;2;21548;4;;
324983979;3;21378;0;;
324994944;5;21363;3;;
501629624;2;21347;0;;
437416649;1;21260;0;;
807406548;2;20658;2;;
313190572;5;20032;0;;
465012356;1;19520;0;;
323206624;1;19446;0;;
521529213;3;19367;6;;
496139482;5;19008;8;;
313194770;5;18898;0;;
343261039;14;18452;7;;
323089979;7;18029;0;;
313195834;4;17912;0;;
323316832;5;17907;0;;
323193340;2;17066;0;;
471500988;1;17039;2;;
313190563;1;16365;2;;
832161927;2;16354;2;;
323312020;1;16218;0;;
496767867;1;15676;0;;
801169491;6;15633;6;;
323251116;3;15614;8;;
323108082;4;15545;3;;
313194938;9;15514;8;;
437416726;2;15170;0;;
313195493;3;15161;1;;
324992940;1;15115;1;;
324983893;2;15036;0;;
313185214;2;14914;0;;
511078084;5;14881;6;;
323231306;3;14563;4;;
323215017;4;13695;5;;
313184985;4;13630;7;;
323141550;1;13548;0;;
766607320;2;13212;4;;
913061114;2;12724;3;;
323113377;2;12708;1;;
797543105;2;12708;6;;
313184264;4;12503;6;;
912873177;1;12421;0;;
497003036;4;12348;1;;
380944497;4;12198;9;;
323207800;2;11816;5;;
807380528;3;11805;4;;
323118634;6;11716;5;;
313190399;2;11714;0;;
313183132;8;11639;6;;
887025642;2;11326;3;;
324990625;1;11228;0;;
313188548;3;11188;5;;
313190857;4;11053;1;;
477957626;1;11040;0;;
324994318;1;11026;3;;
323237382;3;11026;2;;
343239878;2;10923;4;;
313191773;3;10917;0;;
324993876;1;10865;0;;
313084203;2;10863;6;;
865537261;3;10793;0;;
313194845;2;10736;0;;
323146512;1;10603;0;;
323115205;4;10443;1;;
313183860;2;10130;0;;
323216780;1;10109;1;;
497146391;6;10089;8;;
880572076;5;10001;7;;
323304381;1;9957;0;;
324987851;3;9838;4;;
381014937;1;9802;8;;
313215430;2;9798;4;;
313191924;1;9754;0;;
874807922;4;9440;3;;
323240276;2;9154;2;;
323341109;1;9024;0;;
869332917;1;8921;1;;
709634881;1;8824;1;;
313195458;2;8795;1;;
878750299;3;8766;0;;
313188639;1;8678;8;;
323357007;3;8622;2;;
381022999;2;8467;1;;
866661379;4;8445;9;;
323235565;2;8326;3;;
313214639;5;8295;4;;
313194773;3;8294;1;;
324993081;8;8267;3;;
313186226;2;8228;5;;
323149330;1;8164;0;;
859983202;2;8156;4;;
488744138;2;8156;0;;
887217563;2;7953;8;;
871067592;3;7695;0;;
323250644;4;7620;0;;
324986169;1;7587;0;;
874865755;2;7510;0;;
324987651;2;7426;2;;
313189575;2;7330;4;;
323293111;1;7326;1;;
559712174;4;7288;0;;
870469414;1;7233;0;;
313214955;3;7219;0;;
434801186;1;7166;0;;
860379100;2;7156;6;;
883574596;1;7154;5;;
313189833;1;7016;1;;
862504599;3;6842;8;;
862454940;2;6713;4;;
313185204;1;6623;3;;
801178799;2;6596;1;;
886594824;3;6539;5;;
324987258;2;6537;3;;
323177253;2;6458;0;;
324995979;2;6408;0;;
878774808;1;6345;0;;
324994079;1;6317;3;;
390789805;2;6314;3;;
323346573;1;6288;0;;
871068580;2;6154;6;;
323360846;1;6108;0;;
313191024;3;6063;2;;
859995852;2;5992;0;;
323344672;1;5829;1;;
313183597;2;5736;5;;
913064583;1;5508;4;;
871030057;2;5474;9;;
323327599;2;5473;2;;
323329510;2;5433;7;;
323349950;1;5424;4;;
323228085;3;5347;5;;
323237993;2;5344;3;;
313185768;3;5292;3;;
885314243;2;5217;5;;
324985559;2;5206;0;;
885505794;1;5204;4;;
323122503;3;5112;4;;
887716663;1;5034;5;;
416660120;2;5026;8;;
867136775;2;4913;0;;
323195677;2;4899;0;;
871079519;1;4868;4;;
323313745;1;4845;0;;
865742290;1;4800;2;;
324992851;2;4798;3;;
323177848;1;4745;0;;
324990221;1;4732;0;;
881321449;1;4717;1;;
323199335;1;4668;0;;
323184683;3;4644;1;;
323360964;2;4635;5;;
887698478;2;4613;4;;
887398287;1;4611;8;;
323361120;2;4606;2;;
324986753;1;4597;2;;
381031084;1;4561;0;;
887717265;1;4560;9;;
698444680;2;4510;2;;
313190386;2;4508;5;;
323364030;2;4494;0;;
313183822;2;4487;3;;
504299748;1;4463;6;;
323250924;1;4422;0;;
323144314;2;4396;6;;
313195846;2;4382;1;;
323296579;3;4335;0;;
313184833;2;4266;9;;
867094929;2;4222;7;;
380989628;1;4222;1;;
324994570;2;4207;9;;
324990267;1;4185;0;;
497146997;1;4177;0;;
313190134;1;4176;0;;
862420964;2;4149;6;;
881895902;1;4048;9;;
873449009;2;4022;2;;
871057717;2;4022;5;;
862570130;1;3989;8;;
323108862;1;3978;9;;
874780805;2;3919;6;;
313189918;2;3896;0;;
878740648;1;3848;0;;
323141910;1;3809;7;;
923491188;1;3782;2;;
323297374;1;3730;2;;
859955498;1;3724;1;;
867077977;3;3715;9;;
881932338;1;3708;9;;
324986566;1;3694;4;;
323113144;2;3679;2;;
313184382;2;3675;2;;
323120052;1;3669;0;;
915966799;1;3665;2;;
323231264;1;3618;2;;
380926126;1;3607;5;;
872436442;1;3586;0;;
435045433;1;3580;0;;
323241906;2;3562;1;;
323329544;1;3556;5;;
313187770;2;3554;0;;
313183137;3;3552;5;;
313184150;1;3516;3;;
874390258;1;3494;2;;
880236916;1;3487;1;;
323085939;2;3480;7;;
874834070;1;3477;1;;
860864406;1;3474;2;;
416657439;1;3421;4;;
881945900;2;3410;6;;
323191352;2;3409;0;;
324979651;1;3408;3;;
313191032;2;3407;1;;
323316561;1;3398;1;;
313191316;5;3397;5;;
497150558;1;3395;2;;
323089932;1;3377;1;;
887204330;1;3350;8;;
324979712;1;3312;2;;
324980368;1;3307;9;;
313190558;1;3295;0;;
880574905;2;3291;8;;
880239925;1;3286;0;;
324980967;1;3236;1;;
313190528;1;3232;0;;
313190409;2;3214;4;;
313193232;1;3201;0;;
313194565;1;3200;0;;
912871134;1;3198;0;;
324980034;2;3159;7;;
871591456;1;3144;6;;
874849412;1;3138;5;;
880350699;1;3132;0;;
323113155;1;3111;3;;
323329590;1;3090;2;;
324991360;1;3013;0;;
865037569;1;2993;6;;
323311050;1;2992;1;;
1140776615;1;2980;0;;
886304638;1;2945;2;;
886316840;1;2943;1;;
323297450;1;2925;1;;
859919649;1;2917;2;;
865237915;1;2872;0;;
915925258;2;2866;9;;
323119266;1;2866;1;;
879611416;1;2851;0;;
313184641;1;2842;4;;
434791307;2;2840;3;;
323284243;1;2802;0;;
323205777;2;2761;7;;
865249536;1;2747;3;;
313194958;2;2744;3;;
885308538;1;2707;6;;
859994152;1;2707;1;;
865521481;1;2705;0;;
380914086;4;2700;4;;
313189766;2;2698;0;;
860841620;1;2684;0;;
323348782;1;2664;1;;
324994660;1;2653;0;;
496139814;1;2640;2;;
323113543;2;2635;1;;
323362787;1;2626;7;;
313188559;1;2615;0;;
380712741;1;2612;2;;
323108126;1;2538;4;;
435043166;1;2537;0;;
323359612;1;2520;8;;
313184553;1;2519;0;;
313190722;1;2513;0;;
323168237;1;2509;0;;
323237676;1;2507;0;;
506575963;1;2502;9;;
323297413;1;2492;1;;
323195239;1;2480;0;;
324983921;1;2476;0;;
859916602;1;2473;2;;
313185309;1;2464;9;;
323364337;1;2454;1;;
871029323;1;2450;7;;
323362496;1;2399;2;;
313184808;1;2383;2;;
313183285;2;2376;3;;
878718579;3;2369;4;;
865047655;1;2364;1;;
862507649;1;2347;2;;
323133611;1;2321;5;;
323165764;1;2311;1;;
881423271;1;2298;0;;
313192419;1;2260;1;;
323361211;1;2240;2;;
313183903;2;2236;0;;
873458575;1;2234;6;;
313213919;1;2209;7;;
323329466;1;2207;0;;
716763840;1;2206;4;;
324992882;1;2205;6;;
865675559;1;2190;0;;
324979782;1;2179;0;;
323362967;1;2176;7;;
324992826;1;2172;0;;
324987401;1;2155;3;;
323092362;1;2147;2;;
324987683;1;2142;0;;
887255949;1;2141;2;;
874380960;1;2138;7;;
323291556;1;2135;0;;
313189540;1;2126;6;;
313190391;1;2101;0;;
923490825;1;2100;4;;
323145721;1;2080;6;;
323107550;1;2072;6;;
313184721;2;2071;0;;
323193143;1;2043;3;;
323270490;1;2024;5;;
850245485;1;2020;1;;
323280889;1;2013;0;;
883525810;1;2013;7;;
361753577;1;2012;6;;
882850440;1;2005;3;;
323363928;1;1998;3;;
926537394;1;1995;4;;
869300042;1;1967;6;;
324989296;1;1947;2;;
323156979;1;1917;9;;
323302719;1;1901;1;;
324995723;3;1891;5;;
912861438;1;1883;0;;
552846106;1;1880;0;;
313196177;1;1866;2;;
880194255;1;1855;9;;
874800055;1;1827;8;;
313189476;1;1804;1;;
555521276;1;1798;0;;
880213945;1;1793;5;;
313214790;1;1790;7;;
871054892;1;1767;6;;
860393272;1;1755;0;;
880571786;1;1749;5;;
323245060;1;1742;3;;
874772714;1;1738;1;;
871752922;3;1737;2;;
873442659;1;1712;0;;
313214545;1;1706;1;;
871621754;1;1687;1;;
323330980;1;1650;0;;
313193746;1;1627;4;;
313212377;1;1612;7;;
496139892;1;1600;7;;
323167392;1;1589;1;;
323226478;1;1586;1;;
323165644;1;1574;0;;
313183157;1;1560;1;;
323283996;1;1558;0;;
313188527;1;1534;6;;
313196085;1;1532;9;;
883257456;1;1524;6;;
313184650;1;1507;6;;
324989333;1;1501;5;;
323114739;1;1500;5;;
313195713;1;1494;0;;
313183314;1;1492;9;;
323113553;1;1489;0;;
323224616;2;1488;9;;
434791995;1;1452;8;;
488736940;1;1432;0;;
880196706;1;1430;8;;
883260217;1;1420;4;;
912819554;1;1405;1;;
882863289;1;1391;9;;
323122285;1;1381;3;;
323118563;1;1370;8;;
323107552;3;1355;2;;
879574884;1;1318;7;;
323338179;1;1314;2;;
323123088;1;1276;1;;
880635739;1;1241;9;;
323149993;2;1216;2;;
323113571;1;1216;8;;
313189723;1;1199;0;;
313190103;1;1197;1;;
313190890;1;1164;0;;
323297275;1;1121;0;;
313188684;1;1109;6;;
923639963;1;1100;2;;
323168752;2;1095;0;;
313184700;1;1039;9;;
324981407;1;1038;9;;
434720611;1;1038;0;;
313195589;3;1027;6;;
877775994;1;937;1;;
323215762;1;911;3;;
323108383;1;886;9;;
323360248;1;884;1;;
871689285;1;878;6;;
872295772;1;874;0;;
323302662;1;858;3;;
323155388;1;850;4;;
437416579;1;850;3;;
324981256;1;826;1;;
872332367;1;811;5;;
323108308;1;780;4;;
323122948;1;754;0;;
313183891;1;744;7;;
323167898;1;705;1;;
323115720;1;670;0;;
323122243;1;647;0;;
323123004;1;638;2;;
323122194;1;619;1;;
323155568;1;597;6;;
370068000;1;579;6;;
324995764;1;576;2;;
323222958;1;562;3;;
313183376;1;505;3;;
313214557;1;484;0;;
323107548;1;460;2;;
323168389;1;453;0;;
323107543;1;451;4;;
323107518;1;444;5;;
313188583;1;434;7;;
323152451;1;421;3;;
313184158;1;396;6;;
879766230;1;387;0;;
