кампания;товаров;мёртвых;в_коре;доля_мёртвых_%;показы;показы_мёртвых;доля_показов_мёртвых_%;показы_кора;клики_мёртвых;клики_кора;заказы;расход_мёртвых_₽
36873966;145;132;12;91;1737;1512;87;224;0;8;0;0
35698099;147;100;44;68;2607;1028;39;1573;0;43;1;0
36873622;92;82;9;89;1052;915;87;136;0;6;1;0
35698882;106;68;30;64;1355;656;48;674;0;19;7;0
36877433;125;110;14;88;803;542;67;181;0;6;1;0
35701344;142;104;37;73;1148;540;47;589;0;17;2;0
35701146;121;99;20;82;749;523;70;219;0;10;0;0
36873922;99;90;6;91;575;512;89;55;1;4;0;7
35704644;104;79;13;76;828;509;61;287;0;7;0;0
36877586;79;69;8;87;967;504;52;460;0;7;0;0
35699026;106;70;28;66;1138;497;44;572;0;10;0;0
35704972;113;79;19;70;863;496;57;309;0;6;0;0
35698366;103;71;29;69;730;478;65;241;0;6;0;0
35698159;138;116;17;84;657;467;71;184;0;12;0;0
36879025;43;32;7;74;820;454;55;361;0;7;0;0
35698927;110;83;24;75;694;449;65;239;0;6;0;0
35706004;130;95;33;73;814;447;55;326;0;5;0;0
36873788;96;75;9;78;586;433;74;132;0;1;0;0
35697951;93;62;27;67;839;430;51;375;0;14;0;0
36873660;87;77;8;89;509;427;84;80;1;6;0;7
35697894;89;60;26;67;1502;406;27;1003;0;14;0;0
35698223;89;61;19;69;657;405;62;216;1;4;0;7
35706311;99;61;35;62;907;393;43;488;0;11;0;0
35705358;126;96;27;76;586;390;67;191;0;9;1;0
35700718;123;90;28;73;1007;383;38;493;0;17;1;0
35705677;125;89;34;71;937;373;40;549;0;14;0;0
35698187;99;69;22;70;651;373;57;234;0;6;0;0
36874000;68;62;4;91;533;371;70;47;0;2;0;0
35698292;88;58;24;66;668;370;55;271;0;5;0;0
35703066;115;80;33;70;869;369;42;498;0;6;0;0
35700300;87;57;26;66;815;354;43;454;0;13;0;0
36879110;64;59;5;92;388;351;90;37;0;4;0;0
36877686;68;61;7;90;403;350;87;53;0;5;0;0
35703547;109;74;25;68;954;348;36;535;0;9;0;0
36874066;80;66;3;82;421;337;80;42;0;1;0;0
35699064;102;67;25;66;495;337;68;128;0;4;0;0
36873563;89;79;9;89;705;330;47;375;0;13;0;0
36873716;68;58;5;85;392;327;83;49;0;3;0;0
35700930;106;86;20;81;498;324;65;174;0;5;2;0
35698968;71;54;16;76;471;306;65;165;0;9;4;0
35699209;82;52;27;63;753;299;40;427;0;12;0;0
36873861;75;67;4;89;317;284;90;23;0;1;0;0
35704140;79;63;10;80;462;279;60;166;0;3;0;0
35698011;127;97;28;76;501;279;56;207;0;5;2;0
36879425;63;61;2;97;302;274;91;28;0;0;0;0
35699129;89;46;40;52;833;274;33;534;0;26;0;0
35700551;70;49;15;70;651;254;39;316;0;3;0;0
36879299;60;45;3;75;373;250;67;82;0;1;0;0
35698593;68;51;14;75;380;244;64;120;0;3;0;0
35703851;79;52;11;66;375;235;63;106;0;7;0;0
36877262;50;48;2;96;232;223;96;9;0;1;0;0
35698419;89;51;25;57;687;222;32;442;0;12;0;0
36878081;43;41;2;95;221;208;94;13;0;1;0;0
36878400;27;26;1;96;199;198;99;1;0;0;0;0
35698510;87;52;33;60;532;192;36;338;0;14;2;0
36879576;55;41;14;75;557;191;34;366;0;13;1;0
35697852;73;43;25;59;450;186;41;236;0;9;0;0
36874952;37;30;0;81;199;176;88;0;0;0;0;0
36877167;53;46;7;87;364;175;48;189;0;5;1;0
35698453;87;44;36;51;910;165;18;737;0;21;3;0
36877021;53;49;3;92;190;163;86;26;0;2;0;0
35697812;114;37;63;32;4410;162;4;3809;0;135;8;0
35700057;71;46;12;65;345;145;42;140;0;9;0;0
36878508;56;50;6;89;174;145;83;29;0;3;0;0
36879211;37;34;2;92;145;139;96;5;0;2;0;0
36876806;43;32;0;74;140;122;87;0;0;0;0;0
36874254;56;54;2;96;122;119;98;3;0;1;0;0
36877936;31;29;2;94;124;117;94;7;0;0;0;0
36879647;14;11;3;79;176;107;61;69;1;1;0;7
36873596;45;39;3;87;218;104;48;19;0;1;0;0
36877106;41;38;1;93;120;101;84;13;0;1;0;0
36874998;15;14;1;93;112;100;89;12;0;1;0;0
35700392;31;22;9;71;161;83;52;78;0;3;0;0
36876977;24;21;0;88;85;80;94;0;0;0;0;0
36874914;36;35;1;97;124;70;56;54;0;3;0;0
36875125;26;16;4;62;107;65;61;36;0;1;0;0
36878836;16;14;1;88;50;47;94;1;0;0;0;0
36874308;13;11;1;85;77;44;57;32;0;4;0;0
36875094;19;18;0;95;43;39;91;0;0;0;0;0
36874215;11;2;4;18;83;32;39;40;0;3;0;0
36876897;10;8;0;80;32;30;94;0;0;0;0;0
36875051;13;9;1;69;22;16;73;1;0;0;0;0
35277054;76;0;43;0;1489;0;0;1045;0;16;3;0
35277369;71;0;37;0;1501;0;0;1126;0;40;7;0
35281617;68;0;42;0;1027;0;0;860;0;25;0;0
35282981;111;0;70;0;1967;0;0;1482;0;37;4;0
35278992;83;0;54;0;1848;0;0;1424;0;36;1;0
39087266;45;0;28;0;458;0;0;333;0;10;1;0
35282447;73;0;43;0;1211;0;0;1055;0;24;2;0
35282079;71;0;48;0;1347;0;0;1202;0;35;1;0
35408957;62;0;39;0;1206;0;0;898;0;32;2;0
36880441;4;0;4;0;121;0;0;121;0;6;0;0
