тип;nm_id;ссылка;артикул;продаж_с_0106;на_ВБ;эталон;источник_эталона;примечание;название
кодировка: испорченный текст;270394627;https://www.wildberries.ru/catalog/270394627/detail.aspx;5734;1;РЎ20,, РЎ20EU, РЎ25;;карточка ВБ;;Картридж BPGT20CA для Sharp BP10C20EU, BP20C20EU голубой
кодировка: испорченный текст;270394609;https://www.wildberries.ru/catalog/270394609/detail.aspx;5735;0;РЎ20,, РЎ20EU, РЎ25;;карточка ВБ;;Картридж BPGT20MA для Sharp BP10C20EU, BP20C20EU пурпурный
кодировка: испорченный текст;967513047;https://www.wildberries.ru/catalog/967513047/detail.aspx;55131;0;РЎ227;;карточка ВБ;;Картридж для Konica Minolta Bizhub РЎ227
кодировка: испорченный текст;967513106;https://www.wildberries.ru/catalog/967513106/detail.aspx;55132;0;РЎ287;;карточка ВБ;;Картридж для Konica Minolta Bizhub РЎ287
количество: название ≠ характеристика;199331019;https://www.wildberries.ru/catalog/199331019/detail.aspx;3532;0;2 шт в названии;1 в характеристике;карточка ВБ;;Картриджи 106R04349 (2 шт.) для Xerox B-205, B-210 черный
количество: название ≠ характеристика;264243748;https://www.wildberries.ru/catalog/264243748/detail.aspx;4392;0;2 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 2 шт для HP DJ T120, DJ T125 черный
количество: название ≠ характеристика;400980380;https://www.wildberries.ru/catalog/400980380/detail.aspx;4391;0;3 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 3 шт для HP DJ T120, DJ T125 желтый
количество: название ≠ характеристика;400980382;https://www.wildberries.ru/catalog/400980382/detail.aspx;4390;0;3 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 3 шт для HP DJ T120, DJ T125 пурпурный
количество: название ≠ характеристика;400980384;https://www.wildberries.ru/catalog/400980384/detail.aspx;4389;0;3 шт в названии;1 в характеристике;карточка ВБ;;Картриджи №711 х 3 шт для HP DJ T120, DJ T125 голубой
количество: название ≠ характеристика;850494283;https://www.wildberries.ru/catalog/850494283/detail.aspx;6405;0;2 шт в названии;1 в характеристике;карточка ВБ;;Картридж TN-116/TN-118 (2шт.) для Konica Minolta черный
количество: название ≠ характеристика;1480343590;https://www.wildberries.ru/catalog/1480343590/detail.aspx;2318X10;0;2 шт в названии;10 в характеристике;карточка ВБ;;Комплект картриджей 106R03048 (2 штуки) (10 шт.) для Xerox
модель: поле «Модель» ≠ TheCartridge;200166883;https://www.wildberries.ru/catalog/200166883/detail.aspx;027714;1;Картридж SCX-4729FW;MLT-D103L;TheCartridge;доп. название ТК: ;Картридж EasyPrint LS-103L для Samsung ML-2950, ML-2950NDR, SCX-4727FD
модель: поле «Модель» ≠ TheCartridge;199332803;https://www.wildberries.ru/catalog/199332803/detail.aspx;0989;0;44973534;44973542;TheCartridge;доп. название ТК: 44973542;Картридж 44973534 для OKI C301dn, C321dn, MC332 пурпурный
модель: поле «Модель» ≠ TheCartridge;207539789;https://www.wildberries.ru/catalog/207539789/detail.aspx;17193;0;M2640idw DS;TK-1170;TheCartridge;доп. название ТК: ;Картридж DS EcoSys M2640idw с чипом
модель: поле «Модель» ≠ TheCartridge;207589492;https://www.wildberries.ru/catalog/207589492/detail.aspx;17191;0;M2040dn DS;TK-1170;TheCartridge;доп. название ТК: ;Картридж DS EcoSys M2040dn с чипом
модель: поле «Модель» ≠ TheCartridge;207590988;https://www.wildberries.ru/catalog/207590988/detail.aspx;17192;0;M2540dn DS;TK-1170;TheCartridge;доп. название ТК: ;Картридж DS EcoSys M2540dn с чипом
модель: поле «Модель» ≠ TheCartridge;209664661;https://www.wildberries.ru/catalog/209664661/detail.aspx;2853;0;T5633;T6033;TheCartridge;доп. название ТК: C13T603300;Картридж T5633 для Epson Stylus Pro 7800 пурпурный
модель: поле «Модель» ≠ TheCartridge;209664670;https://www.wildberries.ru/catalog/209664670/detail.aspx;2858;0;T5639;T6039;TheCartridge;доп. название ТК: C13T603900;Картридж T5639 для Epson Stylus Pro 7800 светло-серый
модель: поле «Модель» ≠ TheCartridge;216429114;https://www.wildberries.ru/catalog/216429114/detail.aspx;00181;0;Canon DS E16;E30;TheCartridge;доп. название ТК: 1491A003;Картридж DS E16 (1492A003)
модель: поле «Модель» ≠ TheCartridge;238899334;https://www.wildberries.ru/catalog/238899334/detail.aspx;0022;0;0022;Q2613X;TheCartridge;доп. название ТК: 13X;Картридж DS Q2613X для HP 4000 страниц
модель: поле «Модель» ≠ TheCartridge;439266130;https://www.wildberries.ru/catalog/439266130/detail.aspx;6254;0;222A;006R04403;TheCartridge;доп. название ТК: ;Картридж 222A для HP LJ Pro 3203, LJ Pro 3303 пурпурный
модель: поле «Модель» ≠ TheCartridge;1003254583;https://www.wildberries.ru/catalog/1003254583/detail.aspx;32571;0;Картридж M6602NW;PC-211RB;TheCartridge;доп. название ТК: ;Заправочный комплект для M6602NW
модель: поле «Модель» ≠ TheCartridge;1003254683;https://www.wildberries.ru/catalog/1003254683/detail.aspx;32572;0;Картридж M6552NW;PC-211RB;TheCartridge;доп. название ТК: ;Заправочный комплект для M6552NW
модель: поле «Модель» ≠ TheCartridge;1003254720;https://www.wildberries.ru/catalog/1003254720/detail.aspx;32573;0;Картридж P2502W;PC-211RB;TheCartridge;доп. название ТК: ;Заправочный комплект для P2502W
модель: поле «Модель» ≠ TheCartridge;1003608354;https://www.wildberries.ru/catalog/1003608354/detail.aspx;53121;0;Картридж M6230;MK-3140;TheCartridge;доп. название ТК: 1702P60UN0;Сервисный комплект для Kyocera EcoSys M6230
модель: поле «Модель» ≠ TheCartridge;1003608399;https://www.wildberries.ru/catalog/1003608399/detail.aspx;53122;0;Картридж M6630;MK-3140;TheCartridge;доп. название ТК: 1702P60UN0;Сервисный комплект для Kyocera EcoSys M6630
модель: поле «Модель» ≠ TheCartridge;1003611151;https://www.wildberries.ru/catalog/1003611151/detail.aspx;53141;0;Картридж M5000;PX-110;TheCartridge;доп. название ТК: ;Заправочный комплект для M5000
модель: поле «Модель» ≠ TheCartridge;1003627388;https://www.wildberries.ru/catalog/1003627388/detail.aspx;56001;0;Картридж M2635dw;DV-1150;TheCartridge;доп. название ТК: ;Блок проявки для Kyocera ECOSYS M2635dw
модель: поле «Модель» ≠ TheCartridge;1003629533;https://www.wildberries.ru/catalog/1003629533/detail.aspx;56671;0;Картридж Pixma Pro9000;CLI-8;TheCartridge;доп. название ТК: ;Заправочный комплект для Canon Pixma Pro9000
модель: поле «Модель» ≠ TheCartridge;1003630110;https://www.wildberries.ru/catalog/1003630110/detail.aspx;56752;0;Картридж PhotoSmart D5100ser;HP-129/ 130;TheCartridge;доп. название ТК: ;Заправочный комплект для HP PhotoSmart D5100ser
модель: поле «Модель» ≠ TheCartridge;1003630131;https://www.wildberries.ru/catalog/1003630131/detail.aspx;56851;0;Картридж Advantage Ultra 4729;HP-46 Bk;TheCartridge;доп. название ТК: CZ637AE;Заправочный комплект для HP DeskJet Ink Advantage Ultra 4729
модель: поле «Модель» ≠ TheCartridge;1003630132;https://www.wildberries.ru/catalog/1003630132/detail.aspx;56751;0;Картридж PhotoSmart C4100;HP-129/ 130;TheCartridge;доп. название ТК: ;Заправочный комплект для HP PhotoSmart C4100
модель: поле «Модель» ≠ TheCartridge;1003658121;https://www.wildberries.ru/catalog/1003658121/detail.aspx;56694;0;Картридж MG2900;PG-37/ PG-40/ PG-50(Bk);TheCartridge;доп. название ТК: ;Заправочный комплект для Canon PIXMA MG2900
модель: поле «Модель» ≠ TheCartridge;1003706343;https://www.wildberries.ru/catalog/1003706343/detail.aspx;64381;0;Картридж TASKalfa 3552;DV-8550;TheCartridge;доп. название ТК: ;Блок проявки для Kyocera TASKalfa 3552
модель: поле «Модель» ≠ TheCartridge;1003706365;https://www.wildberries.ru/catalog/1003706365/detail.aspx;64391;0;Картридж TASKalfa 4003;TR-6500;TheCartridge;доп. название ТК: 302NK93034;Блок проявки для Kyocera TASKalfa 4003
модель: поле «Модель» ≠ TheCartridge;1003706381;https://www.wildberries.ru/catalog/1003706381/detail.aspx;64392;0;Картридж TASKalfa 5003;TR-6500;TheCartridge;доп. название ТК: 302NK93034;Блок проявки для Kyocera TASKalfa 5003
модель: поле «Модель» ≠ TheCartridge;1003716815;https://www.wildberries.ru/catalog/1003716815/detail.aspx;67325;0;Картридж DeskJet 3638;123;TheCartridge;доп. название ТК: F6V17AE;Заправочный комплект для HP DeskJet 3638
принтеры: ни один не совпал с TheCartridge;209727661;https://www.wildberries.ru/catalog/209727661/detail.aspx;2955;1;"Xerox WorkCentre WC-7132; Xerox WorkCentre WC-WC-7232; Xerox WorkCentre WC-WC-7242";"Xerox WorkCentre 7132; Xerox WorkCentre 7232; Xerox WorkCentre 7242";TheCartridge;;Картридж 006R01271 для Xerox WC-7132, WC-7232 желтый
принтеры: ни один не совпал с TheCartridge;209727662;https://www.wildberries.ru/catalog/209727662/detail.aspx;2956;0;"Xerox WorkCentre WC-7132; Xerox WorkCentre WC-WC-7232; Xerox WorkCentre WC-WC-7242";"Xerox WorkCentre 7132; Xerox WorkCentre 7232; Xerox WorkCentre 7242";TheCartridge;;Картридж 006R01272M для Xerox WC-7132, WC-7232 пурпурный
принтеры: ни один не совпал с TheCartridge;262078936;https://www.wildberries.ru/catalog/262078936/detail.aspx;5471;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";Canon BJC-8200;TheCartridge;;Картридж BCI-5EC для Canon BJ-F300, BJ-F600, BJ F360 голубой
принтеры: ни один не совпал с TheCartridge;262191961;https://www.wildberries.ru/catalog/262191961/detail.aspx;5475;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";Canon BJC-8200;TheCartridge;;Картридж BCI-5EY для Canon BJ-F300, BJ-F600, BJC-6500 желтый
принтеры: ни один не совпал с TheCartridge;262191971;https://www.wildberries.ru/catalog/262191971/detail.aspx;5473;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";Canon BJC-8200;TheCartridge;;Картридж BCI-5EM для Canon BJ-F300, BJ-F600 пурпурный
принтеры: ни один не совпал с TheCartridge;272510237;https://www.wildberries.ru/catalog/272510237/detail.aspx;5476;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";"Canon BJ-F850; Canon BJ-F860; Canon BJ-F870; Canon BJ-F870PD";TheCartridge;;Картридж BCI-6EY для Canon BJ-F300, BJ-F600 желтый
принтеры: ни один не совпал с TheCartridge;439266130;https://www.wildberries.ru/catalog/439266130/detail.aspx;6254;0;"HP Color LaserJet Pro 3203; HP Color LaserJet Pro 3303";"Xerox B225; Xerox B230; Xerox B235";TheCartridge;;Картридж 222A для HP LJ Pro 3203, LJ Pro 3303 пурпурный
принтеры: ни один не совпал с TheCartridge;459440092;https://www.wildberries.ru/catalog/459440092/detail.aspx;5474;0;"Canon BJ-F300; Canon BJ-F600; Canon BJC-3000; Canon BJC-3010";"Canon BJ-F850; Canon BJ-F860; Canon BJ-F870; Canon BJ-F870PD";TheCartridge;;Картридж BCI-6EM для Canon BJ-F300, BJ-F600 пурпурный
принтеры: ни один не совпал с TheCartridge;850431488;https://www.wildberries.ru/catalog/850431488/detail.aspx;6820;0;"Lexmark MS331; Lexmark MS431; Lexmark MX331; Lexmark MX431";"F+ Imaging M40adn; F+ Imaging P40dn";TheCartridge;;Фотобарабан 40IU40R для Lexmark MS331, MS431, MX331 черный
принтеры: ни один не совпал с TheCartridge;850432413;https://www.wildberries.ru/catalog/850432413/detail.aspx;6813;0;"HP Color LaserJet M454dn; HP Color LaserJet M454dw; HP Color LaserJet M455dn; HP Color LaserJet MFP M480f";"Canon i-SENSYS LBP-662; Canon i-SENSYS LBP-663; Canon i-SENSYS LBP-663cdw; Canon i-SENSYS LBP-664";TheCartridge;;Картриджи 055H для HP MF 745, i-SENSYS MF746, MF746Cx
принтеры: ни один не совпал с TheCartridge;850432579;https://www.wildberries.ru/catalog/850432579/detail.aspx;6812;0;"HP Color LaserJet M454dn; HP Color LaserJet M454dw; HP Color LaserJet M455dn; HP Color LaserJet MFP M480f";"Canon i-SENSYS LBP-662; Canon i-SENSYS LBP-663; Canon i-SENSYS LBP-663cdw; Canon i-SENSYS LBP-664";TheCartridge;;Картридж 055H Y для HP i-SENSYSLBP-664, MF 745 желтый
принтеры: ни один не совпал с TheCartridge;850432690;https://www.wildberries.ru/catalog/850432690/detail.aspx;6811;0;"HP Color LaserJet M454dn; HP Color LaserJet M454dw; HP Color LaserJet M455dn; HP Color LaserJet MFP M480f";"Canon i-SENSYS LBP-662; Canon i-SENSYS LBP-663; Canon i-SENSYS LBP-663cdw; Canon i-SENSYS LBP-664";TheCartridge;;Картридж 055H M для HP i-SENSYSLBP-664, LBP-664 пурпурный
