nm_id;код;запрос;рекл_показы;клики;товаров_в_выдаче;наша_позиция
209664957;123XL;картридж 123XL;181;0;100;38
209664995;CL-446XL;картридж CL-446XL;164;0;100;60
181115492;W1103A;картридж W1103A;159;0;100;9
209732189;652XL;картридж 652XL;157;0;100;12
181115998;3020;картридж 3020;156;0;100;
967423134;iR-50;картридж iR-50;134;0;100;5
209663949;CL-511;картридж CL-511;130;0;100;33
257807209;PG-510BK;картридж PG-510BK;129;0;0;
1003335129;P3060;картридж P3060;127;0;0;
181081324;Q2612A;картридж Q2612A;123;0;100;
1003697785;C9070;картридж C9070;121;0;100;8
547250791;DR-3400;картридж DR-3400;118;0;100;8
292510233;L18050;картридж L18050;111;0;100;
209664310;PG-440XL;картридж PG-440XL;100;0;100;20
1003699596;MX-4060N;картридж MX-4060N;97;0;31;2
216460271;CP600;картридж CP600;96;0;100;1
486414834;PG-440;картридж PG-440;95;0;100;70
967423247;CX120;картридж CX120;95;0;14;4
209732142;1110;картридж 1110;95;0;100;
257807865;PC-211EV;картридж PC-211EV;92;0;100;
967526928;W9048MC;картридж W9048MC;89;0;1;
400980510;1110;картридж 1110;87;0;100;
261184197;W1510A;картридж W1510A;87;2;100;86
964543494;1110;картридж 1110;85;0;100;
199334861;W2411A;картридж W2411A;85;0;100;6
181116726;PG-440;картридж PG-440;85;0;100;60
209759739;2132;картридж 2132;82;0;100;72
209663704;PG-445XL;картридж PG-445XL;82;0;100;44
967423204;CX123;картридж CX123;82;0;16;4
262038558;6000;картридж 6000;78;0;0;
291112398;108;картридж 108;77;0;100;
199574589;LBP-2900;картридж LBP-2900;76;1;100;74
200162935;MP230;картридж MP230;76;0;100;35
437229552;GI-43;картридж GI-43;76;1;100;
216458243;CP300;картридж CP300;75;0;72;1
209713769;C834;картридж C834;74;0;68;9
216422212;1022;картридж 1022;73;0;100;20
349936958;GI-43R;картридж GI-43R;70;0;15;
964851803;MX-5050;картридж MX-5050;69;0;83;6
264401330;GI-43BK;картридж GI-43BK;69;0;14;
967526991;BM1800W;картридж BM1800W;68;1;80;23
745493984;CP1200;картридж CP1200;68;0;100;3
964953034;135R;картридж 135R;67;0;100;39
216354658;DK-1150;картридж DK-1150;67;0;100;5
895900481;123XXL;картридж 123XXL;67;0;5;1
216341342;1012;картридж 1012;66;0;100;18
264243768;G5040;картридж G5040;65;2;100;
964543525;2134;картридж 2134;65;0;100;6
199332640;FAT400A;картридж FAT400A;64;0;100;
256206881;4103dw;картридж 4103dw;64;0;100;12
262870439;GI-41Bk;картридж GI-41Bk;63;0;15;
209761065;B605;картридж B605;62;0;96;1
850491724;L8160;картридж L8160;61;0;100;
199566622;MB1507;картридж MB1507;61;1;57;2
199574756;53511;картридж 53511;61;0;100;
192227748;121XL;картридж 121XL;61;1;100;30
200164958;1050;картридж 1050;60;0;100;10
199572402;5050;картридж 5050;59;0;100;32
200166191;ML-1865;картридж ML-1865;58;1;100;10
