nm_id;запрос;частотность;ср_позиция;медиана_позиции;открытий;заказов;видимость;рекл_показы
200163120;картридж для принтера hp;461;0;0;0;0;0;30
964273634;5050;382;0;0;0;0;0;35
263821895;краска для принтера hp;316;97;97;1;0;11;23
486414834;картридж 440 и 441 canon;18;0;0;0;0;0;95
209763005;dymo картридж;11;0;0;0;0;0;31
209763046;dymo картридж;11;2;2;1;0;100;35
200163120;hp photosmart c4683 картридж;10;2;2;1;0;100;30
209759753;картридж 123 hp черный;10;0;0;0;0;0;48
257807865;картридж рс-211ev;10;0;0;0;0;0;92
895900481;картридж 123 hp черный;10;0;0;0;0;0;67
1002554248;картридж для принтера samsung scx-3200 черный;10;0;0;0;0;0;22
199331085;phaser 3020 картридж;9;23;23;1;0;63;56
967526991;картридж tl-c2318h;7;7;7;1;0;89;68
1002610265;картридж для принтера hp laserjet 1536dnf mfp;7;0;0;0;0;0;25
181081324;картридж для принтера q2612a;6;0;0;0;0;0;123
199574756;картридж canon 725 универсальный;6;0;0;0;0;0;61
200166191;картридж для принтера samsung ml-1865;6;4;4;1;0;100;58
914823172;картридж 440 canon;5;66;66;1;0;22;48
181115998;картридж для принтера ксерокс 3025;4;0;0;0;0;0;156
181123616;картридж sp 150;4;11;11;1;0;79;50
216359925;краска для принтера epson l456;4;3;3;1;0;100;49
264243768;чернила для принтера канон;4;58;58;1;0;28;65
475352745;картридж canon 067;4;14;14;1;0;79;41
914275592;071h картридж;4;8;8;1;0;89;21
199566489;принтер kyocera fs-1040;3;6;6;1;0;89;36
200163120;картридж hp photosmart c4783;3;2;2;1;0;100;30
291112398;краска для принтера epson 108;3;61;61;1;0;25;77
291115019;краска для принтера epson 108;3;61;61;1;0;25;37
546394396;фотобарабан 2040 киосера;3;8;8;1;0;89;41
192227748;картридж hp 121xl;2;10;10;2;0;89;61
199333328;картридж на lexmark;2;0;0;0;0;0;45
199335369;hp 150a (w1500a);2;0;0;0;0;0;41
199335369;картридж для принтера hp lj m111;2;4;4;1;0;100;41
199566476;картридж для принтера kyocera ecosys;2;0;0;0;0;0;26
199574679;картридж для принтера canon mf737 starter l;2;27;27;1;0;56;36
257945613;картридж 151а;2;4;4;1;0;100;47
497146353;картридж для принтера канон ip3600;2;3;3;1;0;100;44
547250791;dr-3400;2;0;0;0;0;0;118
181096294;картридж epson stylus cx3900;1;14;14;1;0;79;31
181115827;для принтера canon 6840;1;1;1;1;0;100;40
181116710;картридж для принтера hp laizer 136;1;11;11;1;0;79;34
181123616;ricoh sp 150;1;0;0;0;0;0;50
199330543;картридж tk 1140;1;1;1;3;0;100;27
199335399;hp 117 а;1;15;15;1;0;79;36
200164958;картридж 122 для принтера hp черный;1;0;0;0;0;0;60
200166019;картридж на принтер brother dcp-2520dwr;1;1;1;1;0;100;35
200166520;картридж куосера ecosys m2135;1;1;1;1;0;100;48
209664600;картридж для принтера canon pixma мр 170;1;5;5;1;0;100;26
209665702;катриджи для плотера cannon tm 200;1;4;4;1;0;100;31
209779249;картридж на принтер hp ink 2520hc;1;1;1;1;0;100;23
216360248;картридж для принтера бротхер dr 2335;1;12;12;1;0;79;27
216422338;картридж на hp lazer jet 3052;1;55;55;1;0;32;54
216422341;lazerjet hp 3030;1;2;2;1;0;100;49
216448512;краска на принер epson l14150;1;4;4;1;0;100;30
216458243;cp1500 картридж;1;0;0;0;0;0;75
257807158;катридж для принтера dcp j125;1;14;14;1;0;79;23
257807865;m6506nw картридж;1;0;0;0;0;0;92
257945606;картридж 057h с чипом;1;4;4;1;0;100;24
261184197;картридж для принтера hp w1510a;1;2;2;1;0;100;87
261184197;картридж лазерный hp 151a;1;4;4;1;0;100;87
263473432;чернила для принтера canon gi-41 pgtup;1;11;11;1;0;79;30
263822016;чернила желтые epson 103;1;26;26;1;0;56;24
264243768;краска для принтера canon 40 pgbk;1;3;3;1;0;100;65
437229552;краска на принтер canon pixma g640;1;30;30;1;0;56;76
471272618;canon c-exv 65м;1;3;3;1;0;100;34
475059300;краска для принтера brother mfc-l27000nr;1;14;14;1;0;79;27
497146353;картриджи для сканера кэнон мп 520;1;12;12;2;0;79;44
497146353;катриджы для принтера canon 3600;1;3;3;1;0;100;44
546074023;tl-420h;1;10;10;1;0;89;33
546263035;tn2375 фотобарабан;1;0;0;0;0;0;46
546263035;картридж для принтера бротхер dr 2335;1;12;12;1;0;79;46
850428410;картридж 1200 киосера;1;9;9;1;0;89;25
888368555;картридж для,ксерокса;1;24;24;1;0;63;23
888430706;картридж canon 540;1;3;3;1;0;100;24
914597928;краска 305 для принтера без черного;1;24;24;1;0;63;47
181115813;картридж для canon pixma ts5000 черный 471;0;0;0;0;0;0;31
192569099;w2211a207h;0;0;0;0;0;0;25
199332640;панасоник для принтера;0;0;0;0;0;0;64
199565777;принтер епсон sx430w;0;0;0;0;0;0;22
199565890;brother hl-l5000d;0;0;0;0;0;0;34
199566489;картридж к принтеру fs-1040;0;0;0;0;0;0;36
199566510;картридж для принтера kyocera ecosys р2235dw;0;0;0;0;0;0;39
199570317;картрижд для принтера панасоник;0;0;0;0;0;0;28
199574589;canon i sensys lbp2900;0;4;4;1;0;100;76
200163032;маленький принтер canon;0;0;0;0;0;0;31
200164958;1050 картридж;0;0;0;0;0;0;60
200164958;картридж на принтер hp deskjet 1050а;0;0;0;0;0;0;60
200164976;deskjet 2050 картридж черный;0;0;0;0;0;0;31
200164978;hp deskjet 2050 print scan copy картридж;0;0;0;0;0;0;28
200166264;катридж samsung ml 1667;0;0;0;0;0;0;31
200166520;картридж на принтер kyocera m2135 dn;0;0;0;0;0;0;48
209664995;картриджи на принтер canon 2400;0;0;0;0;0;0;164
209665702;209665702;0;0;0;0;0;0;31
209665702;картридж csnon tm200;0;0;0;0;0;0;31
209714348;картридж hp deskjet 2515;0;0;0;0;0;0;27
209732189;струйный картридж 652xl(f6v25ae);0;0;0;0;0;0;157
211448877;epson  lw-400;0;0;0;0;0;0;29
211449319;epson  lw-400;0;0;0;0;0;0;21
216354658;фотобарабан с чипом к kyocera ecosys m2135dn;0;0;0;0;0;0;67
216422338;картридж для принтера hp laserjet 3052;0;0;0;0;0;0;54
216422439;картридж brother 3520;0;0;0;0;0;0;26
216429285;картридж 50 для принтера canon;0;0;0;0;0;0;26
216429376;картридж 50 для принтера canon;0;0;0;0;0;0;27
216448512;краска для принтера epson l14150;0;0;0;0;0;0;30
257945606;canon картридж для принтера 057h;0;0;0;0;0;0;24
262038558;купить картриджи для принтера hp potosmart c 5283 aii in one;0;0;0;0;0;0;78
262191959;картридж киосера ма 2001;0;0;0;0;0;0;37
263819882;canon 521 black;0;0;0;0;0;0;21
263819882;картридж на принтер canon ip3600;0;0;0;0;0;0;21
263820061;картриджи для принтера эпсонт0832;0;0;0;0;0;0;35
263821428;картриджи к цветному принтеру эпсон;0;0;0;0;0;0;26
263821879;краска для принтере hp smart tank 516;0;0;0;0;0;0;29
272510281;картридж на 8 фото принтере;0;0;0;0;0;0;21
272510396;canon 521 black;0;0;0;0;0;0;21
284701193;bpgt20ba;0;0;0;0;0;0;27
322511352;цифровой квадрат картридж с- exv65 bk;0;0;0;0;0;0;45
344071338;картридж p130 катюша;0;0;0;0;0;0;29
437229552;чернила для принтера canon pixma g540 g640;0;0;0;0;0;0;76
471272618;цифровой квадрат картридж с- exv65 bk;0;0;0;0;0;0;34
497146353;canon 521 black;0;0;0;0;0;0;44
497146353;pixma ip4700;0;0;0;0;0;0;44
497146353;картридж на принтер canon ip3600;0;0;0;0;0;0;44
546074023;картридж на пением 420 x;0;0;0;0;0;0;33
546263035;картридж с фотобарабаном на принтер brother dr 2335;0;0;0;0;0;0;46
549947933;картридж p130 катюша;0;0;0;0;0;0;21
549947933;фотобарабан катюша м 130;0;0;0;0;0;0;21
850451437;чернила для епсон l8180 цвет gy;0;0;0;0;0;0;32
850503168;чип для картриджа hp 650;0;0;0;0;0;0;38
888368555;картриджи для принтера xerox c235;0;0;0;0;0;0;23
914823172;заправочный комплект канон;0;0;0;0;0;0;48
967517066;картридж на hp laser mfp 137 fnw;0;0;0;0;0;0;45
967527067;картридж w1105;0;0;0;0;0;0;44
1001414552;картоидж кэнон 445;0;0;0;0;0;0;44
1002443903;картридж самсунг 1645;0;0;0;0;0;0;23
