nm_id;артикул;название;бренд;предмет;рекл_показы;клики;расход_₽;цена_покупателя;чистая_₽;маржа_%
209664957;2706;Картридж 123XL CMY для HP DeskJet 2630 цветной;Цифровой квадрат;Картриджи для принтеров;181;0;0.00;2981.0;1030.57;29.11
181115492;3201;Картридж W1103A для HP 1000a, 1000w, 1200a, 1200w черный;Цифровой квадрат;Картриджи для принтеров;159;0;0.00;1306.0;214.89;16.44
967423134;22081;Картридж для Citizen iR-50;Цифровой квадрат;Картриджи для принтеров;134;0;0.00;609.0;220.81;36.26
209663949;0287;Картридж CL-511 для Canon Pixma IP2700, Pixma MP230 цветной;Цифровой квадрат;Картриджи для принтеров;130;0;0.00;6567.0;3233.94;39.0
257807209;0285;Картридж PG-510BK для Canon Pixma IP2700, Pixma MP270 черный;Цифровой квадрат;Картриджи для принтеров;129;0;0.00;3576.0;1200.38;28.26
1003335129;37225;Фотобарабан для Kyocera EcoSys P3060;Цифровой квадрат;Картриджи для принтеров;127;0;0.00;25456.0;8705.27;26.06
1003697785;63562;Тонер-картридж для Xerox PrimeLink C9070;Цифровой квадрат;Картриджи для принтеров;121;0;0.00;9885.0;3719.73;30.18
292510233;5761;Чернила 108/008 Y для Epson EcoTank L18050, L6490 желтый;Цифровой квадрат;Чернила для принтера;111;0;0.00;819.0;350.35;42.78
209664310;2395;Картридж PG-440XL для Canon Pixma GM4040 черный;Цифровой квадрат;Картриджи для принтеров;100;0;0.00;3800.0;1422.95;31.53
1003699596;63615;Фотобарабан для Sharp MX-4060N;Цифровой квадрат;Картриджи для принтеров;97;0;0.00;23227.0;8101.07;26.58
216460271;239312;Комплект картриджей для Canon SELPHY CP600;Цифровой квадрат;Картриджи для принтеров;96;0;0.00;4931.0;1664.4;26.73
967423247;22083;Картридж для Citizen CX120;Цифровой квадрат;Картриджи для принтеров;95;0;0.00;609.0;220.81;36.26
209732142;4539;Картридж 123 для HP DeskJet 1110, DeskJet 2130 цветной;Цифровой квадрат;Картриджи для принтеров;95;0;0.00;4175.0;1986.23;40.06
967526928;6948;Бункер отработанного тонера W9048MC для HP E77822 черный;Цифровой квадрат;Картриджи для принтеров;89;0;0.00;2985.0;917.1;25.86
400980510;4369;Картридж 123 для HP DeskJet 1110, DeskJet 1111 черный;Цифровой квадрат;Картриджи для принтеров;87;0;0.00;3878.0;1523.26;33.07
964543494;27051;Картридж для HP DeskJet 1110;Цифровой квадрат;Картриджи для принтеров;85;0;0.00;3566.0;1312.31;30.99
199334861;3465;Картридж W2411A для HP Color LJ Pro M182 голубой;Цифровой квадрат;Картриджи для принтеров;85;0;0.00;1679.0;271.36;15.06
181116726;4394;Картридж PG-440 для Canon Pixma MG2140, Pixma MG2240 черный;Цифровой квадрат;Картриджи для принтеров;85;0;0.00;3168.0;1100.79;29.25
967423204;22082;Картридж для Citizen CX123;Цифровой квадрат;Картриджи для принтеров;82;0;0.00;609.0;220.81;36.26
209759739;27053;Картридж для HP DeskJet 2132;Цифровой квадрат;Картриджи для принтеров;82;0;0.00;3133.0;1002.1;26.93
209663704;3486;Картридж PG-445XL для Canon Pixma TR4540 черный;Цифровой квадрат;Картриджи для принтеров;82;0;0.00;4119.0;1991.23;40.7
200162935;02867;Картридж для Canon Pixma MP230;Цифровой квадрат;Картриджи для принтеров;76;0;0.00;3440.0;913.55;22.36
209713769;3754;Картриджи 46861324-46861321 для OKI C834, C844;Цифровой квадрат;Картриджи для принтеров;74;0;0.00;21727.0;8186.71;30.14
216422212;00026;Картридж для HP LaserJet 1022;Цифровой квадрат;Картриджи для принтеров;73;0;0.00;1847.0;541.76;24.7
964465156;153015;Картридж для Epson Stylus Color Photo EX2;Цифровой квадрат;Картриджи для принтеров;72;0;0.00;978.0;411.21;42.04
349936958;5886;Чернила GI-43R для Canon Pixma G540, Pixma G640 красный;Цифровой квадрат;Чернила для принтера;70;0;0.00;819.0;350.35;42.78
264401330;4413;Чернила GI-43BK для Canon Pixma G540, Pixma G640 черный;Цифровой квадрат;Чернила для принтера;69;0;0.00;819.0;350.35;42.78
964851803;452610;Картридж для Sharp MX-5050;Цифровой квадрат;Картриджи для принтеров;69;0;0.00;5162.0;2001.25;30.71
745493984;239328;Комплект картриджей для Canon SELPHY CP1200;Цифровой квадрат;Картриджи для принтеров;68;0;0.00;7165.0;3369.29;37.24
964953034;45426;Картридж для HP Laser 135R MFP;Цифровой квадрат;Картриджи для принтеров;67;0;0.00;2584.0;1242.84;40.49
216341342;00022;Картридж для HP LaserJet 1012;Цифровой квадрат;Картриджи для принтеров;66;0;0.00;1533.0;347.71;21.14
964543525;27054;Картридж для HP DeskJet 2134;Цифровой квадрат;Картриджи для принтеров;65;0;0.00;3566.0;1312.31;30.99
256206881;55972;Картридж для HP LJ Pro MFP 4103dw;Цифровой квадрат;Картриджи для принтеров;64;0;0.00;3776.0;1482.71;33.06
262870439;5413;Чернила GI-41Bk для Canon Pixma G1420, Pixma G2420 черный;Цифровой квадрат;Чернила для принтера;63;0;0.00;836.0;350.18;41.88
209761065;31692;Картридж для Xerox VersaLink B605;Цифровой квадрат;Картриджи для принтеров;62;0;0.00;3767.0;1418.97;31.71
199566622;10321;Картридж для Panasonic KX-MB1507;Цифровой квадрат;Картриджи для принтеров;61;1;7.30;6486.0;3053.19;37.28
850491724;6457;Чернила 115C для Epson EcoTank L8160, EcoTank L8180 голубой;Цифровой квадрат;Чернила для принтера;61;0;0.00;609.0;238.39;39.14
199572402;11492;Картридж для Xerox WorkCentre 5050;Цифровой квадрат;Картриджи для принтеров;59;0;0.00;4860.0;2137.82;34.83
1003699602;63617;Фотобарабан для Sharp MX-3060N;Цифровой квадрат;Картриджи для принтеров;57;0;0.00;23227.0;8101.07;26.58
199573747;30551;Картридж для HP Color LJ M652;Цифровой квадрат;Картриджи для принтеров;57;0;0.00;6233.0;1847.12;23.47
200166062;11703;Картридж для Brother DCP-1510;Цифровой квадрат;Картриджи для принтеров;57;0;0.00;1496.0;465.7;31.13
264449897;4414;Чернила GI-43M для Canon Pixma G540, Pixma G640 пурпурный;Цифровой квадрат;Чернила для принтера;56;0;0.00;819.0;350.35;42.78
