nm_id;артикул;название;остаток;наш_склад_ВБ;рекл_показы_9дн;чистая_₽_шт
1003719192;67831;Картридж для Canon i-SENSYS LBP-223;47;0;5;964.92
209758833;22102;Картридж для Epson LQ-1010;47;0;2;478.72
209665445;018224;Картридж для Canon Pixma MX 310;47;1;2;733.64
964780412;052511;Картридж для Panasonic KX-M553RU;47;0;4;197.33
199332750;0862;Картридж TK-685 для Kyocera TASKalfa 300i черный;47;0;3;1407.43
1002674315;14662;Картридж для Brother MFC-J6710;47;0;1;286.39
964670531;436942;Картридж для HP OfficeJet 5220;47;0;3;1629.72
964486946;11933;Картридж для HP LJ M527dn;47;0;2;950.7
199572129;09824;Картридж для OKI MB460;47;0;1;674.37
209762880;41812;Картридж для HP LaserJet E72525;47;0;3;5367.48
257807761;3073;Картридж 728XL для HP DJ T730, DJ T830 голубой;47;0;3;2985.45
1003656723;57151;Картридж для Kyocera TASKalfa MZ4000i;47;0;5;4346.44
437227415;21942;Фотобарабан для HP LaserJet Pro M230;47;0;6;256.71
967474991;46007;Лента для принтера для Epson LQ-106KF;47;0;15;529.78
1003719206;67832;Картридж для Canon i-SENSYS LBP-226;47;0;9;964.92
944939626;6403;Картридж W2303A для HP 4303dw, 4303dw, 4303dw пурпурный;47;0;3;765.54
964643981;03135;Картридж для HP DesignJet ColorPro CAD;47;0;3;492.84
209758837;22103;Картридж для Epson LQ-1050;47;0;2;478.72
1003061585;29542;Картридж для HP LaserJet Pro M133;47;0;5;280.91
964670939;436946;Картридж для HP OfficeJet 5255;47;0;3;1629.72
1003683058;58981;Тонер-картридж для Lexmark MS725dvn;47;0;1;13426.08
199570314;02431;Картридж для Kyocera FS-4020DN;47;0;1;1744.99
199570664;06401;Картридж для Xerox Phaser 6280;47;0;1;2044.87
964647865;43753;Картридж для HP OfficeJet 252;47;0;3;2133.61
964549586;030616;Картридж для HP PSC-950;47;0;1;1221.58
964673054;43699;Картридж для HP ENVY 4516;47;0;4;1629.72
964339426;49512;Картридж для Canon iR Advance C350;47;0;3;1123.26
199574698;53514;Картридж для Canon i-SENSYS LBP-6020B;47;0;28;309.29
964437333;01617;Картридж для Epson Stylus Photo RX615;47;0;4;304.43
264242096;1244;Картридж T0341 для Epson Stylus Photo 2100 черный;47;1;10;115.01
1003697277;62622;Картридж для Lexmark MX331adn;47;0;6;5938.37
964657626;436918;Картридж для HP ENVY 4527;47;0;3;1629.72
964465946;15305;Картридж для Epson Stylus Color 600;47;0;2;415.16
1003029398;264512;Картридж для Ricoh Aficio 320;47;0;4;2060.85
1003697554;63834;Картридж для BM2300AW;47;0;41;2159.97
1002607039;094810;Картридж для HP OfficeJet Pro 8640;47;0;1;456.66
199330602;0106;Картридж CC532A для HP LJ CP2025n, LJ CP2025n желтый;47;0;5;716.29
199335384;4245;Картридж 006R01531 для Xerox ColorDCP-560 пурпурный;47;1;4;1945.24
964817197;21025;Картридж для Ricoh Aficio 450;47;0;1;1128.84
216360053;1663;Фотобарабан CB385A для HP LJ CM6040MFP голубой;47;0;1;4488.5
216427502;4431;Чернила №106 для Epson EcoTank 7700, EcoTank 7750 желтый;47;0;4;392.83
264450145;5227;Чернила 112 для Epson M-15182, L-6570, L-6580 желтый;47;0;15;526.37
964432251;01614;Картридж для Epson Stylus Photo R390;47;0;7;304.43
289970295;5774;Заправочный комплект W1540X для HP LJ Tank 1502w черный;47;0;2;423.37
967512549;54945;Картридж для HP LaserJet Pro 4002DWE;47;0;1;1065.61
964245596;11912;Картридж для HP LaserJet Pro M402dn;47;0;2;415.94
964669998;436940;Картридж для HP OfficeJet 4657;47;0;7;1629.72
964875006;10781;Картридж для Xerox WorkCentre 7525;47;0;2;678.6
967476845;22121;Картридж для Epson LQ-200;47;0;2;562.62
967422923;22041;Картридж для Epson M-930;47;0;10;447.11
967512512;54943;Картридж для HP LaserJet Pro 4002DNE;47;0;1;1065.61
