nm_id;артикул;наша_цена_покупателя;цена_продающегося_родственника;отклонение_%;чистая_₽;маржа_%
964689648;23841;2800.0;1106.0;153;1468.64;44.16
209755861;15328;2140.0;1143.0;87;1334.34;52.48
964396202;348612;4188.0;2328.0;80;2251.38;42.57
964396336;348613;4188.0;2328.0;80;2251.38;42.57
964396519;34864;4188.0;2328.0;80;2251.38;42.57
967331080;348615;4188.0;2328.0;80;2251.38;42.57
967331154;34866;4188.0;2328.0;80;2251.38;42.57
199565709;35712;4679.0;2636.0;78;2153.14;36.44
199330772;3571;4679.0;2636.0;78;2153.14;36.44
209761526;34862;4140.0;2328.0;78;2026.21;41.2
209761562;34869;4140.0;2328.0;78;2026.21;41.2
209712572;12154;3871.0;2169.0;78;1582.79;34.42
215243848;348611;4140.0;2328.0;78;2026.21;41.2
209755246;12155;3871.0;2169.0;78;1582.79;34.42
209714647;34867;4140.0;2328.0;78;2026.21;41.2
199566065;00562;3953.0;2310.0;71;1588.09;33.82
199566119;00569;3953.0;2310.0;71;1588.09;33.82
216457905;239313;7088.0;4160.0;70;3346.47;37.39
216458370;23934;7088.0;4160.0;70;3346.47;37.39
216458517;23933;7088.0;4160.0;70;3346.47;37.39
216461235;239315;7088.0;4160.0;70;3346.47;37.39
327898199;239321;7088.0;4160.0;70;3346.47;37.39
216448724;239326;7088.0;4160.0;70;3346.47;37.39
858658268;53341;3132.0;1848.0;69;1437.02;38.63
858658430;53345;3132.0;1848.0;69;1437.02;38.63
216341532;53344;3132.0;1848.0;69;1437.02;38.63
199566691;33512;2430.0;1452.0;67;976.22;33.83
199569459;33511;2430.0;1452.0;67;976.22;33.83
200166878;027712;3002.0;1821.0;65;1211.52;33.98
200166892;02775;3002.0;1821.0;65;1211.52;33.98
200166910;027710;3002.0;1821.0;65;1211.52;33.98
200166925;02771;3002.0;1821.0;65;1211.52;33.98
199331160;3264;2369.0;1442.0;64;998.27;35.47
199566515;12103;4478.0;2761.0;62;2042.63;36.12
199331663;0012;2963.0;1834.0;62;1306.39;37.11
199571764;07451;3787.0;2346.0;61;1547.74;34.41
199572356;11522;6804.0;4219.0;61;3197.23;37.21
200165330;03083;3299.0;2068.0;60;1714.05;43.75
199570339;02423;3114.0;1957.0;59;1416.83;38.3
199333510;1430;6514.0;4103.0;59;3042.98;37.0
199572661;14302;6514.0;4103.0;59;3042.98;37.0
676792632;07774;7676.0;4916.0;56;2915.1;30.08
199571917;07773;7676.0;4916.0;56;2915.1;30.08
215241476;51902;2309.0;1484.0;56;1007.33;36.73
199571874;07458;3663.0;2346.0;56;1458.52;33.52
199565917;02792;3390.0;2182.0;55;1418.61;35.23
964246604;08661;2846.0;1846.0;54;1158.87;34.28
1002749362;18661;9628.0;6275.0;53;4337.0;36.12
1002749364;18662;9628.0;6275.0;53;4337.0;36.12
199569722;14381;2293.0;1512.0;52;855.85;31.42
199573228;22946;2804.0;1848.0;52;1038.8;31.19
967517066;45429;2584.0;1716.0;51;1169.7;38.11
216360999;4821;2358.0;1566.0;51;1092.15;38.98
199570276;02217;3980.0;2638.0;51;1911.53;40.43
199570277;022112;3980.0;2638.0;51;1911.53;40.43
199570284;022114;3980.0;2638.0;51;1911.53;40.43
199570297;02211;3980.0;2638.0;51;1911.53;40.43
209713490;2671;3198.0;2143.0;49;1361.61;35.84
256206130;55971;4123.0;2795.0;48;1752.43;35.78
964688172;14382;2216.0;1512.0;47;799.99;30.39
199566469;08662;2694.0;1846.0;46;1049.5;32.79
199566511;08664;2694.0;1846.0;46;1049.5;32.79
964246691;08663;2694.0;1846.0;46;1049.5;32.79
209714587;29493;3436.0;2367.0;45;1381.45;33.85
209664612;29491;3436.0;2367.0;45;1381.45;33.85
209714583;29492;3436.0;2367.0;45;1381.45;33.85
964707681;05612;3126.0;2203.0;42;1250.66;33.68
964707712;05614;3126.0;2203.0;42;1250.66;33.68
1002541530;05615;3126.0;2203.0;42;1250.66;33.68
1002541557;05616;3126.0;2203.0;42;1250.66;33.68
1002541568;05617;3126.0;2203.0;42;1250.66;33.68
216401425;12932;2024.0;1437.0;41;734.4;30.54
964332390;00881;2046.0;1450.0;41;799.31;32.88
964332601;008810;2046.0;1450.0;41;799.31;32.88
199331017;0255;3418.0;2419.0;41;1385.53;34.12
199564863;001831;4645.0;3310.0;40;2167.31;36.95
199565189;001832;4645.0;3310.0;40;2167.31;36.95
199565202;001822;4645.0;3310.0;40;2167.31;36.95
199565205;001813;4645.0;3310.0;40;2167.31;36.95
199565219;001830;4645.0;3310.0;40;2167.31;36.95
199565241;001847;4645.0;3310.0;40;2167.31;36.95
199565266;001849;4645.0;3310.0;40;2167.31;36.95
199565268;001833;4645.0;3310.0;40;2167.31;36.95
199565291;001855;4645.0;3310.0;40;2167.31;36.95
199565296;001839;4645.0;3310.0;40;2167.31;36.95
964871964;11052;2723.0;1956.0;39;862.94;26.68
199572520;13104;4343.0;3115.0;39;1773.49;32.34
964657443;436916;3967.0;2905.0;37;1629.72;34.59
964657572;436917;3967.0;2905.0;37;1629.72;34.59
964657626;436918;3967.0;2905.0;37;1629.72;34.59
964657719;436919;3967.0;2905.0;37;1629.72;34.59
964657947;43692;3967.0;2905.0;37;1629.72;34.59
964658056;436920;3967.0;2905.0;37;1629.72;34.59
964658294;436921;3967.0;2905.0;37;1629.72;34.59
964658438;436922;3967.0;2905.0;37;1629.72;34.59
964658546;436923;3967.0;2905.0;37;1629.72;34.59
964658727;436924;3967.0;2905.0;37;1629.72;34.59
964659373;436925;3967.0;2905.0;37;1629.72;34.59
964660135;436926;3967.0;2905.0;37;1629.72;34.59
964660641;436927;3967.0;2905.0;37;1629.72;34.59
964669321;436937;3967.0;2905.0;37;1629.72;34.59
964669437;436938;3967.0;2905.0;37;1629.72;34.59
964669555;436939;3967.0;2905.0;37;1629.72;34.59
964661454;436929;3967.0;2905.0;37;1629.72;34.59
964661687;43693;3967.0;2905.0;37;1629.72;34.59
964669895;43694;3967.0;2905.0;37;1629.72;34.59
964841953;21113;4400.0;3212.0;37;1880.86;33.85
964669998;436940;3967.0;2905.0;37;1629.72;34.59
964661892;436928;3967.0;2905.0;37;1629.72;34.59
964661893;436930;3967.0;2905.0;37;1629.72;34.59
964670216;436941;3967.0;2905.0;37;1629.72;34.59
964662082;436931;3967.0;2905.0;37;1629.72;34.59
964670495;436943;3967.0;2905.0;37;1629.72;34.59
964670531;436942;3967.0;2905.0;37;1629.72;34.59
964670682;436944;3967.0;2905.0;37;1629.72;34.59
964670755;436945;3967.0;2905.0;37;1629.72;34.59
964670939;436946;3967.0;2905.0;37;1629.72;34.59
964671042;436947;3967.0;2905.0;37;1629.72;34.59
964663178;436934;3967.0;2905.0;37;1629.72;34.59
