nm_id;артикул;название;открытий;корзин;заказов_орг;продано_май_июл;остаток;чистая_₽_шт;маржа
326847924;4824;Фотобарабан A7U40TD для Konica Minolta Bizhub 558 цветной;12;2;0;0;47;6568;36.04
216454998;4825;Фотобарабаны A7U40RD-A7U40TD для Konica Minolta Bizhub C368;5;0;0;0;22;12390;36.34
192567251;3621;Картриджи 731 для Canon LBP-7100cn, LBP-7100cn, LBP-7100cn;18;1;0;4.0;2;1969;33.68
964955295;239330;Комплект картриджей для Canon SELPHY CP1500;14;4;1;1.0;47;2459;32.82
199335451;4359;Картридж 006R01659 для Xerox DCP-C60, DCP-C70 черный;5;0;0;0.0;47;5930;37.25
181104985;0101;Картриджи 27-28 для HP OfficeJet 5605, OfficeJet 5610;6;0;0;0;15;3876;51.99
209734026;4838;Картриджи 712 для HP DJ Studio, DJ Studio Steel, DJ Studio;3;0;0;1.0;1;7488;51.59
192567956;2161;Картриджи CF540X-CF543X для HP LJ M280nw, LJ M280nw;6;2;1;0;47;3414;45.72
247994781;5418;Картридж 067H Bk для Canon LBP631CW, LBP631CW черный;12;1;0;5.0;4;1672;41.92
192567101;2181;Картриджи 040H для Canon LBP710CX, LBP712CX;5;0;0;0;6;4002;21.68
285287059;5766;Картриджи №901XL для HP Officejet J4624, Officejet J4660;3;0;0;0;47;6376;50.57
900520462;6840;Картриджи 064H для Canon LBP722Cdw, MF832Cdw;3;0;0;0;47;6341;25.82
209663375;2314;Картриджи 650 для HP DJ 4515, DJ 4615;9;2;1;0;47;2092;41.06
216429516;2451;Фотобарабан 50F0Z00 для Lexmark MS510dn, MS511 черный;5;2;2;1.0;47;3519;36.61
199335441;4361;Картридж 006R01661 для Xerox DCP-C60, DCP-C70 пурпурный;3;1;0;0;20;5825;34.37
326845871;0006;Картриджи 731 для Canon MF8230cn, MF8230cn, MF8230cn;15;0;0;0;1;1141;15.89
209664842;3895;Картриджи LC-3239XL для Brother HL-J6000DW, MFC-J5945DW;3;0;0;0;40;4870;36.52
199574579;53392;Картридж для HP LaserJet P2015;11;0;0;11.0;2;1323;40.17
209731875;4479;Картриджи TK-8365 для Kyocera TASKalfa 2554;3;0;0;0;5;4769;30.2
437221762;4368;Картриджи №46 для HP DJ Ultra 2529, Advantage Ultra 4729;5;2;1;1.0;47;2724;44.28
471271194;5946;Картридж C-EXV65 Y для Canon iR C3326, iR C3326i желтый;6;0;0;3.0;2;2136;35.7
209664180;19911;Картридж для Xerox WorkCentre 5845;4;0;0;0;47;2880;24.4
199334442;2886;Картридж C-EXV49Y для Canon iR Advance C3520 желтый;5;0;0;0.0;2;2264;36.73
200162876;028620;Картридж для Canon Pixma MP495;4;0;0;0;47;2732;38.82
199333215;1108;Картридж 106R02612 для Xerox Phaser 7100 черный;5;1;0;0.0;12;2146;33.57
192567843;1167;Картриджи CF400X-CF403X для HP LJ Pro M252dw, LJ Pro M252dw;6;2;1;3.0;47;1692;25.94
192567642;0728;Картриджи CF210X-CF213A для HP LJ Pro Color M276nw;5;1;0;0.0;1;1936;33.19
261178783;5587;Картридж W1520A для HP LJ 4004, LJ 4104fdw черный;3;0;0;0;47;3214;35.36
261207969;5627;Картридж TK-5380M для Kyocera MA4000cifx пурпурный;3;1;0;0;2;2964;38.93
199574646;53551;Картридж для Canon i-SENSYS MF4410;9;0;0;22.0;47;987;36.98
199335452;4360;Картридж 006R01660 для Xerox DCP-C60, DCP-C70 голубой;3;1;0;0;20;2943;24.1
200163020;02869;Картридж для Canon Pixma MP490;3;0;0;0.0;47;2923;39.76
966008368;6301;Фотобарабан DR133 для Катюша M133, P133 черный;10;1;1;0;7;869;26.81
209663523;2298;Картриджи PG40-CL41 для Canon Pixma MP150, Pixma MP160;6;1;0;2.0;47;1369;22.19
200162877;02865;Картридж для Canon Pixma MP252;3;0;0;0;47;2732;38.82
200165026;02023;Картридж для HP DeskJet 1510;3;1;0;4.0;8;2548;42.01
209665181;1456;Картридж PG-37BK для Canon Pixma MX300, Pixma MX310 черный;5;0;0;0;37;1487;17.35
261153436;5290;Картридж T31A для Deli M3100, P3100 черный;4;0;0;2.0;47;1843;34.57
261205028;5628;Картридж TK-5380Y для Kyocera MA4000cifx, MA4000cix желтый;4;1;0;0;2;1667;30.41
181115431;3065;Картридж T9451 BK для Epson WF Pro C5210 черный;4;0;0;0;12;1652;42.88
209761525;34861;Картридж для Canon Pixma iP2840;3;2;0;0.0;1;2026;41.2
181095480;0201;Картридж 22XL для HP DeskJet F2140, DeskJet F2149 цветной;6;0;0;1.0;11;1004;28.96
199333467;1381;Картридж 731C для Canon LBP-7100cn, LBP-7100cn голубой;5;0;0;0;1;1195;33.8
209726190;2758;Картридж TNP-35 для Konica Minolta 4000P черный;5;0;0;0;47;1164;22.85
200164778;02022;Картридж для HP DeskJet 1050A;7;2;0;0;9;818;25.45
