разрыв;артикул;nm_id;название;запрос;источник запроса;наша позиция;наша цена ₽;медиана топ-10 ₽;отзывов у нас;отзывов у соседей;соседей дешевле;остаток;вывод глазами
8.6;114932;199572345;Картридж для Xerox WorkCentre 5755;картридж NTRE 5755;из названия;нет в топ-100;4100;477;0;107;10;7;
4.93;3741;440329866;Чернила GT51-GT52 для HP SmartTank 615, DeskJet GT5810;чернила для струйного принтера hp;джем;нет в топ-100;1444;293;13;324;10;1;
4.2;4417;437229552;Чернила GI-43 для Canon Pixma G540, Pixma G640;краска на принтер canon pixma g640;джем;61;2526;602;0;432;10;36;
4.02;4209;215240041;Картриджи W2070A-W2073A для HP Laser 150a, Laser 150a;hp color laser 150nw;джем;66;6755;1680;15;16;10;36;
3.67;2299;211450189;Картриджи PG512-CL513 для Canon Pixma MX320, Pixma MX330;картридж cl513;джем;5;12012;3269;1;7;9;36;
3.31;5418;247994781;Картридж 067H Bk для Canon LBP631CW, LBP631CW черный;картридж canon 067;джем;31;3351;1013;103;58;7;1;
3.3;4751;216454486;Картриджи PG-460XL-CL-461XL для Canon Pixma TS7440;картридж для принтера canon 460 461;джем;36;9957;3015;44;56;10;34;
2.93;6367;850496190;Чернила GT53XL для HP Ink Tank 410, Ink Tank 415 черный;чернила черные для принтера hp;джем;нет в топ-100;1185;404;1;311;10;1;
2.86;00021;216422205;Картридж для HP LaserJet 1010;картридж для hp laserjet 1010;джем;20;1871;655;16;185;10;36;
2.83;10322;199566650;Картридж для Panasonic KX-MB1530;кх-мв 1500;джем;1;6572;2320;1;0;9;36;
2.62;1278;216422173;Картридж MLT-D111L для Samsung Xpress M2020, M2020W черный;картридж D111L;из названия;41;1831;699;5;137;10;36;
2.61;2705;209663306;Картридж 123XL BK для HP DeskJet 1110, DeskJet 2130 черный;картридж hp 123 черный;джем;77;4307;1650;4;61;10;32;
2.54;6078;393838438;Чернила №110 для Epson EcoTank M1100, EcoTank M1120 черный;чернила для принтера epson;джем;нет в топ-100;1442;568;18;234;9;36;
2.19;239320;216460611;Комплект картриджей для Canon SELPHY CP780;canon selphy cp1500;джем;51;7082;3236;7;24;7;36;
2.16;2298;209663523;Картриджи PG40-CL41 для Canon Pixma MP150, Pixma MP160;картридж для принтера canon ip2200;джем;нет в топ-100;7367;3418;6;37;8;1;
2.16;4433;262192245;Чернила №110 для Epson EcoTank M1100, EcoTank M1120 черный;чернила epson 110;джем;73;733;340;18;233;10;2;
2.08;3201;181115492;Картридж W1103A для HP 1000a, 1000w, 1200a, 1200w черный;картридж W1103A;из названия;11;1168;561;4;7;7;1;
1.94;6383;850495580;Картридж TL-C2310H для BM2300, BM2300A, BM2300AW черный;картерж tl c 2310 e;джем;46;5003;2580;0;30;9;1;
1.67;23931;216341412;Комплект картриджей для Canon SELPHY CP10;canon selphy cp1500;джем;нет в топ-100;5417;3236;2;24;7;36;
1.59;0202;192227943;Картридж 122XL для HP DeskJet 1000, DeskJet 1010 черный;картридж 122XL;из названия;71;3064;1929;0;49;10;7;
1.56;34865;964396617;Картридж для Canon Pixma MG2500;картриджи на canon mg2500;джем;6;2910;1870;0;90;8;1;
1.53;239311;216459877;Комплект картриджей для Canon SELPHY CP530;canon selphy cp1500;джем;нет в топ-100;4939;3236;2;24;7;36;
