article;ghost_ms_id;ghost_external_code;ghost_name;ghost_buy_price;ghost_created;ghost_barcode;keep_code;keep_name
013R00606;9bde6c1d-3530-11eb-0a80-065300159f03;jjFgbs2Rh8mrwwg2qvx4K2;013R00606 Принт к-ж XEROX WC PE 120  013R00606 5000 страниц, оригинал;48.0722;2020-12-03;20303426;0049;Картридж 013R00606
101R00432;9c1554e0-3530-11eb-0a80-065300159fdb;MoEl8qOHiyhifiUmDDLp93;101R00432 Копи к-ж XEROX WC 5016/5020B 22000 страниц  CNL;166.8631;2020-12-03;20303815;1086;Фотобарабан Xerox 101R00432
106R02778;9d057fda-3530-11eb-0a80-06530015a343;fufLrYxDgWJB9L-yfXZ9y2;106R02778 Картридж Xerox Phaser 3052/3260 WC3215/3225 3000стр. CNL;134.6414;2020-12-03;20304720;1144xr;Картридж 106R02778 Xerox
108R00647;9dd57c52-3530-11eb-0a80-06530015a65b;sEKetBnUhPRX9XhMoWy8e2;Фотобарабан XEROX Phaser 7400 (108R00647) синий оригинал;457.2742;2020-12-03;20306106;1135;Барабан 108R00647, голубой
12S0400;9f6f22c8-3530-11eb-0a80-06530015abd4;yNjZqMmqg6gbr8xcDhHmG0;12S0400 К-ж Lexmark Optra E220/321/323/323n 12S0400 (ресурс 3000 страниц) оригин;0.0;2020-12-03;20296100;0509;Картридж 12S0400
42918105;9f3b1cbf-3530-11eb-0a80-06530015ab19;faMWNi3Ag6s-AJdJUR4Ma2;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) желтый;135.0;2020-12-03;20297923;1826op;Фотобарабан 42918105 Y OP
42918106;9f3c1bec-3530-11eb-0a80-06530015ab1d;L0pqDmMAjuhpoCkQsnyOY2;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) пурпурный;135.0;2020-12-03;20297930;1825op;Фотобарабан 42918106 M OP
42918107;9f3d1117-3530-11eb-0a80-06530015ab21;U4oKPWyQhaAfsi2lAzugu2;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) голубой;135.0;2020-12-03;20297947;1824op;Фотобарабан 42918107 C OP
42918108;9f3e31cf-3530-11eb-0a80-06530015ab25;uxwXssBzgrZmhrfkJEIIh0;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) черный;135.0;2020-12-03;20297954;1823op;Фотобарабан 42918108 Bk OP
44064010;9f4d6c2b-3530-11eb-0a80-06530015ab5d;0IhqJ2gOgUTllzKIVbeYD2;Фотобарабан для OKI C810/830/MC860 20k малиновый;80.0;2020-12-03;20298098;1795;Драм-картридж 44064010 для OKI C801, C810, C821, C830, MC860, совместимый, пурпу
