article;class;code;external_code;ec_kind;name;buy_price;qty_all;docs;qty_12m;barcodes;in_ms_product;created
013R00606;B;0049;0049;num;Картридж 013R00606;48.3841;0.0;0;0.0;1;True;2043-06-17
013R00606;B;;jjFgbs2Rh8mrwwg2qvx4K2;auto;013R00606 Принт к-ж XEROX WC PE 120  013R00606 5000 страниц, оригинал;48.0722;0.0;0;0.0;1;True;2020-12-03
101R00432;B;1086;1086;num;Фотобарабан Xerox 101R00432;165.7877;0.0;0;0.0;1;True;2018-01-16
101R00432;B;;MoEl8qOHiyhifiUmDDLp93;auto;101R00432 Копи к-ж XEROX WC 5016/5020B 22000 страниц  CNL;166.8631;0.0;0;0.0;1;True;2020-12-03
106R02778;B;1144xr;1144;num;Картридж 106R02778 Xerox;130.8228;0.0;0;0.0;1;True;2018-03-27
106R02778;B;;fufLrYxDgWJB9L-yfXZ9y2;auto;106R02778 Картридж Xerox Phaser 3052/3260 WC3215/3225 3000стр. CNL;134.6414;0.0;0;0.0;1;True;2020-12-03
108R00647;B;1135;1135;num;Барабан 108R00647, голубой;444.3052;0.0;0;0.0;2;True;2020-04-10
108R00647;B;;sEKetBnUhPRX9XhMoWy8e2;auto;Фотобарабан XEROX Phaser 7400 (108R00647) синий оригинал;457.2742;0.0;0;0.0;1;True;2020-12-03
12S0400;B;0509;0509;num;Картридж 12S0400;0.0;0.0;0;0.0;1;True;2016-01-13
12S0400;B;;yNjZqMmqg6gbr8xcDhHmG0;auto;12S0400 К-ж Lexmark Optra E220/321/323/323n 12S0400 (ресурс 3000 страниц) оригин;0.0;0.0;0;0.0;1;True;2020-12-03
183484;C;5290ct;5290;num;Картридж Colortek Deli T31 (3.5k);7.4275;0.0;0;0.0;1;True;2025-07-28
183484;C;7086ct;7086;num;Картридж Colortek Deli T31 (3.5k);7.4275;0.0;0;0.0;1;True;2026-07-17
406685;B;;l7XXt-tbjmUi6rcDLWxI42;auto;Тонер-картридж тип SP5200HE Aficio SP 5200S/5210SF/5210SR/ SP 5200DN/5210DN;0.0;0.0;0;0.0;1;True;2020-12-03
406685;B;;R9qsLSBojYnrGJni80DmO3;auto;Тонер-картридж Ricoh Aficio SP 5200S/5210SF/5210SR/ SP 5200DN черный (25К);0.0;0.0;0;0.0;1;True;2020-12-03
42918105;B;1826op;1826;num;Фотобарабан 42918105 Y OP;135.0;0.0;0;0.0;1;True;2018-10-11
42918105;B;;faMWNi3Ag6s-AJdJUR4Ma2;auto;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) желтый;135.0;0.0;0;0.0;1;True;2020-12-03
42918106;B;1825op;1825;num;Фотобарабан 42918106 M OP;135.0;0.0;0;0.0;1;True;2018-10-11
42918106;B;;L0pqDmMAjuhpoCkQsnyOY2;auto;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) пурпурный;135.0;0.0;0;0.0;1;True;2020-12-03
42918107;B;1824op;1824;num;Фотобарабан 42918107 C OP;135.0;0.0;0;0.0;1;True;2018-10-11
42918107;B;;U4oKPWyQhaAfsi2lAzugu2;auto;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) голубой;135.0;0.0;0;0.0;1;True;2020-12-03
42918108;B;1823op;1823;num;Фотобарабан 42918108 Bk OP;135.0;0.0;0;0.0;2;True;2018-10-11
42918108;B;;uxwXssBzgrZmhrfkJEIIh0;auto;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) черный;135.0;0.0;0;0.0;1;True;2020-12-03
44064010;B;;0IhqJ2gOgUTllzKIVbeYD2;auto;Фотобарабан для OKI C810/830/MC860 20k малиновый;80.0;0.0;0;0.0;1;True;2020-12-03
44064010;B;1795;1795;num;Драм-картридж 44064010 для OKI C801, C810, C821, C830, MC860, совместимый, пурпу;80.0;0.0;0;0.0;1;True;2021-09-16
51629A;B;0428-or;0428;num;Картридж HP 29 (51629A) Original;0.0;0.0;0;0.0;2;True;2017-12-12
51629A;B;;roL9U7K7hAS1T6eMVExxj2;auto;К-ж HP 51629A   6XX черн. ориг;0.0;0.0;0;0.0;1;True;2020-12-03
7Q-TN416;A;6523msk;6523;num;Набор картриджей TN419/ TN426/ TN439/ TN449/ TN459 для Brother;0.0;0.0;0;0.0;2;True;2025-08-23
7Q-TN416;A;6523spb;6523;num;Набор картриджей TN419/ TN426/ TN439/ TN449/ TN459 для Brother;0.0;0.0;0;0.0;1;True;2025-08-23
92298X;B;0419-or;0419;num;Оригинальный картридж HP 92298X;0.0;0.0;0;0.0;1;True;2020-06-12
92298X;B;;k2vsOkkZghjNZVhhQiDo12;auto;92298X,  К-ж HP LJ 4/4+/4M/4M+/5/5M+ ориг.;0.0;0.0;0;0.0;1;True;2020-12-03
98010822;C;5290np;5290;num;Картридж NetProduct (N-T31) для Deli M3100/P3100, 3,5K;16.9473;0.0;0;0.0;1;True;2025-01-22
98010822;C;7086np;7086;num;Картридж NetProduct (N-T31) для Deli M3100/P3100, 3,5K;16.9473;0.0;0;0.0;2;True;2026-07-17
BFKYEM8124180-BFKYEM8124210;A;7064msk;7064;num;Набор картриджей TK-8118 Kyocera совместимый;41.8488;0.0;0;0.0;1;True;2026-06-26
BFKYEM8124180-BFKYEM8124210;A;7064spb;7064;num;Набор картриджей TK-8118 Kyocera совместимый;41.8488;0.0;0;0.0;1;True;2026-06-26
BS-T31;C;5290bs;5290;num;Картридж Deli T31 для P/M3100, Bk, 3,5K, Blossom;21.72;0.0;0;0.0;1;True;2026-03-25
BS-T31;C;7086bs;7086;num;Картридж Deli T31 для P/M3100, Bk, 3,5K, Blossom;21.72;0.0;0;0.0;1;True;2026-07-17
C-EXV-33/2785B002;B;0830-or;0830;num;Картридж C-EXV33 OR;32.45;0.0;0;0.0;1;True;2018-09-12
C-EXV-33/2785B002;B;;FdlA1c-xhX2Dj6HGyFF9F0;auto;Тонер Canon C-EXV-33 IR2520/20i/25/25i/30/30i 2785B002;54.2;0.0;0;0.0;1;True;2020-12-03
C13T08024011;B;;cfyV326jgeo56JHh2LGkH3;auto;К-ж EPSON T08024011 new Stylus Photo P50/PX660, голубой  оригинал;9.5097;0.0;0;0.0;1;True;2020-12-03
C13T08024011;B;;XSiiXPGfj4KAcgvNbSipi1;auto;К-ж EPSON T08024010 Stylus Photo P50/PX660, голубой  оригинал;9.1486;0.0;0;0.0;1;True;2020-12-03
C13T12824012;B;0189-or;0189;num;Картридж T1282 голубой Orig.;9.03;0.0;0;0.0;1;True;2017-10-02
C13T12824012;B;;JmuHGnwZie5O4dls0FLb80;auto;К-ж EPSON T12824012 new S22/SX125 голубой;9.03;0.0;0;0.0;1;True;2020-12-03
C1Q10A;B;;fePL3Q4xgO5LI2WQj5bxd2;auto;C1Q10A HP 711 Комплект замены печатающей головки (Printhead Replacement Kit);297.7475;0.0;0;0.0;1;True;2020-12-03
C1Q10A;B;;OwzqX9Yoj8OB6aUKHeyU22;auto;Комплект для замены печатающей головки HP 711;289.303;0.0;0;0.0;1;True;2018-10-31
C4096A;B;0020;0020;num;Картридж C4096A;74.962;0.0;0;0.0;1;True;5061-12-07
C4096A;B;;hWeLOJUfgdXtDvutT1KPr0;auto;C4096A  К-ж HP LJ 2100/2200, ориг. 5000 страниц;72.7739;0.0;0;0.0;1;True;2020-12-03
C4127X;B;0416;0416;num;Картридж C4127X;241.1382;0.0;0;0.0;1;True;2017-06-06
C4127X;B;;rSbKCyyNgxoi32Hyes6CU0;auto;C4127X  К-ж HP LJ 4000/4000N/4000T ориг.ресурс 10000;235.4031;0.0;0;0.0;1;True;2020-12-03
C4844A;B;0313-or;0313;num;Картридж 10 Bk HP;90.539;0.0;0;0.0;1;True;2017-10-10
C4844A;B;;f9OuFRkZiN8P61RCRLRG01;auto;К-ж HP C4844A 2000/2500C Color Printer  black;93.1818;0.0;0;0.0;1;True;2020-12-03
C9363HE;B;0310-or;0310;num;Картридж hp 134 Col HP;97.3562;0.0;0;0.0;1;True;2018-03-27
C9363HE;B;;xR0IjEv4gYnjuZF0DfzyJ0;auto;К-ж HP C9363HE 6543/5743/5740/6843/PS 8153/8453 №134;74.6749;0.0;0;0.0;1;True;2020-12-03
C9380A;B;;GtNh-TSdgLKhV-GHRSM3p0;auto;Печатающая головка HP C9380A;86.4739;0.0;0;0.0;1;True;2017-09-26
C9380A;B;;GwUQWGehiH2al6jO8THSa0;auto;К-ж HP C9380A HP № 72 Печатающая головка черная и серая;112.739;0.0;0;0.0;1;True;2020-12-03
C9384A;B;;kA6YOF7Hhj23NWHltC8Vw3;auto;Печатающая головка HP C9384A;90.7309;0.0;0;0.0;1;True;2017-09-26
C9384A;B;;ZVm83l8chYDgyjDTUgQWX0;auto;К-ж HP C9384A HP №72 Печатающая головка  матовая, черная и желтая;118.289;0.0;0;0.0;1;True;2020-12-03
C9396AE;B;0970-or;0970;num;Картридж C9396AE HP 88 XL Black Original;69.2085;0.0;0;0.0;2;True;2017-10-30
C9396AE;B;;flIAzXy3haoBneeRk8n4V1;auto;К-ж HP C9396AE Officejet Pro K550 № 88 увеличенный черный;53.0848;0.0;0;0.0;1;True;2020-12-03
