article;cards_in_group;distinct_external_codes;code;external_code;name;buy_price_rub;ms_id
PC-211EV;3;3;3262cs;3262;Картридж лазерный Pantum PC-211EV черный (1600стр.) для Pantum Series P2200/2500/M6500/6550/6600;27.8;3ce5e290-1e4b-11eb-0a80-05d20008648f
PC-211EV;3;3;3262-or;3262-or;Картриджи Pantum PC-211EV OR;33.7216;19fda3d5-f305-11e8-9ff4-34e80007b385
PC-211EV;3;3;;rU6A5yxvgQjW1TdGu7KGj3;Тонер-картридж Pantum PC-211EV (1600 стр.), оригинал;27.8;2c68c0dd-6173-11ec-0a80-0b0e004b1218
PG-445XL;3;3;PG-445XL/8282B001;ESy6sCeAhW11b72LkizLZ0;К-ж CANON PG-445XL к Pixma MG2440/2540 увеличенный черный;27.9;a38de0b4-3530-11eb-0a80-06530015ba5d
PG-445XL;3;3;PG-445XL;PG-445XL;Картридж Canon PG-445XL (8282B001) черный;17.1666;4223beaa-d363-11eb-0a80-08080006614c
PG-445XL;3;3;PG-445XL/8282B001;Z3Hrkhptj5jdBAk0a26h32;Картридж PG-445XL BK OR;20.8;fa7c214c-b2a4-11e8-9109-f8fc0012babf
Q7551X;3;3;0032;0032;Картридж Q7551X;66.4247;56b4bb27-0eba-49a9-a04b-2818c7a51699
Q7551X;3;3;;CYRKyEwrj4G0JcC7TNZoD2;Q7551X  К-ж HP LJ 3005/M3027/3035 mfp ресурс 13000 страниц оригинал;66.0569;982fba30-3530-11eb-0a80-065300159025
Q7551X;3;3;0032_sf;QkiqSRS5gdvlpnoXDWln00;Картридж HP Q7551X  LJ P3005 13K оригинал;68.043;884bcdb6-0122-11ed-0a80-0d790036fced
NV-CC531A/718C;3;2;0105nv;0105;Картридж CC531A/ 718 C NV;11.132;ceb325b3-65e2-4ddc-bff3-3b28958f2772
NV-CC531A/718C;3;2;0105nv;0105;Картридж CC531A NV;11.9543;c3b655b7-6aff-11e7-7a34-5acf001ff7ce
NV-CC531A/718C;3;2;0715nv;0715;Картридж Canon 718 C NV;12.7765;6ef5e5e2-1623-11e3-9586-7054d21a8d1e
013R00606;2;2;0049;0049;Картридж 013R00606;48.3841;ddbfc8b3-79a6-4204-aaf9-0d94a4e68029
013R00606;2;2;;jjFgbs2Rh8mrwwg2qvx4K2;013R00606 Принт к-ж XEROX WC PE 120  013R00606 5000 страниц, оригинал;48.0722;9bde6c1d-3530-11eb-0a80-065300159f03
101R00432;2;2;1086;1086;Фотобарабан Xerox 101R00432;165.7877;19493ae6-fa87-11e7-7a69-93a7000fd473
101R00432;2;2;;MoEl8qOHiyhifiUmDDLp93;101R00432 Копи к-ж XEROX WC 5016/5020B 22000 страниц  CNL;166.8631;9c1554e0-3530-11eb-0a80-065300159fdb
106R02778;2;2;1144xr;1144;Картридж 106R02778 Xerox;130.8228;8b41dda1-31ce-11e8-9107-50480025a805
106R02778;2;2;;fufLrYxDgWJB9L-yfXZ9y2;106R02778 Картридж Xerox Phaser 3052/3260 WC3215/3225 3000стр. CNL;134.6414;9d057fda-3530-11eb-0a80-06530015a343
108R00647;2;2;1135;1135;Барабан 108R00647, голубой;444.3052;8078d021-7b51-11ea-0a80-05af000aabbf
108R00647;2;2;;sEKetBnUhPRX9XhMoWy8e2;Фотобарабан XEROX Phaser 7400 (108R00647) синий оригинал;457.2742;9dd57c52-3530-11eb-0a80-06530015a65b
12S0400;2;2;0509;0509;Картридж 12S0400;0.0;6ff7d3a4-b9cb-11e5-7a69-8f55003312e7
12S0400;2;2;;yNjZqMmqg6gbr8xcDhHmG0;12S0400 К-ж Lexmark Optra E220/321/323/323n 12S0400 (ресурс 3000 страниц) оригинал;0.0;9f6f22c8-3530-11eb-0a80-06530015abd4
183484;2;2;5290ct;5290;Картридж Colortek Deli T31 (3.5k);7.4275;6e8cb1cd-6b73-11f0-0a80-0306001cb212
183484;2;2;7086ct;7086;Картридж Colortek Deli T31 (3.5k);7.4275;431cfbd7-81c9-11f1-0a80-1407000c1bc3
406685;2;2;;l7XXt-tbjmUi6rcDLWxI42;Тонер-картридж тип SP5200HE Aficio SP 5200S/5210SF/5210SR/ SP 5200DN/5210DN;0.0;a0c10799-3530-11eb-0a80-06530015b097
406685;2;2;;R9qsLSBojYnrGJni80DmO3;Тонер-картридж Ricoh Aficio SP 5200S/5210SF/5210SR/ SP 5200DN черный (25К);0.0;a0b0aeee-3530-11eb-0a80-06530015b05b
42918105;2;2;1826op;1826;Фотобарабан 42918105 Y OP;135.0;119f0fbc-cd2b-11e8-9ff4-34e8000e3eb8
42918105;2;2;;faMWNi3Ag6s-AJdJUR4Ma2;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) желтый;135.0;9f3b1cbf-3530-11eb-0a80-06530015ab19
42918106;2;2;1825op;1825;Фотобарабан 42918106 M OP;135.0;f90dd781-cd2a-11e8-9ff4-34e8000e3a20
42918106;2;2;;L0pqDmMAjuhpoCkQsnyOY2;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) пурпурный;135.0;9f3c1bec-3530-11eb-0a80-06530015ab1d
42918107;2;2;1824op;1824;Фотобарабан 42918107 C OP;135.0;d6ccdc1e-cd2a-11e8-9107-5048000e8648
42918107;2;2;;U4oKPWyQhaAfsi2lAzugu2;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) голубой;135.0;9f3d1117-3530-11eb-0a80-06530015ab21
42918108;2;2;1823op;1823;Фотобарабан 42918108 Bk OP;135.0;3113da2d-cd2b-11e8-9ff4-34e8000e6d16
42918108;2;2;;uxwXssBzgrZmhrfkJEIIh0;Фотобарабан для OKI 9600 (ресурс 30 000 стр.) черный;135.0;9f3e31cf-3530-11eb-0a80-06530015ab25
44064010;2;2;;0IhqJ2gOgUTllzKIVbeYD2;Фотобарабан для OKI C810/830/MC860 20k малиновый;80.0;9f4d6c2b-3530-11eb-0a80-06530015ab5d
44064010;2;2;1795;1795;Драм-картридж 44064010 для OKI C801, C810, C821, C830, MC860, совместимый, пурпурный, 20000 стр.;80.0;b9f93e56-1721-11ec-0a80-07e3002a6fb4
51629A;2;2;0428-or;0428;Картридж HP 29 (51629A) Original;0.0;09d0499e-df37-11e7-7a34-5acf004059b9
51629A;2;2;;roL9U7K7hAS1T6eMVExxj2;К-ж HP 51629A   6XX черн. ориг;0.0;a13c26a9-3530-11eb-0a80-06530015b24b
92298X;2;2;0419-or;0419;Оригинальный картридж HP 92298X;0.0;8765455d-ac5a-11ea-0a80-06b7001156dd
92298X;2;2;;k2vsOkkZghjNZVhhQiDo12;92298X,  К-ж HP LJ 4/4+/4M/4M+/5/5M+ ориг.;0.0;96bfffaa-3530-11eb-0a80-0653001589c1
98010822;2;2;5290np;5290;Картридж NetProduct (N-T31) для Deli M3100/P3100, 3,5K;16.9473;8f99744f-d8e5-11ef-0a80-05f5001622eb
98010822;2;2;7086np;7086;Картридж NetProduct (N-T31) для Deli M3100/P3100, 3,5K;16.9473;105b4f8f-81c9-11f1-0a80-13c5000b0b93
BS-T31;2;2;5290bs;5290;Картридж Deli T31 для P/M3100, Bk, 3,5K, Blossom;21.72;fcb06dfd-284a-11f1-0a80-1bcf002c1bd8
BS-T31;2;2;7086bs;7086;Картридж Deli T31 для P/M3100, Bk, 3,5K, Blossom;21.72;2d324320-81c9-11f1-0a80-04d5000b0628
C13T08024011;2;2;;cfyV326jgeo56JHh2LGkH3;К-ж EPSON T08024011 new Stylus Photo P50/PX660, голубой  оригинал;9.5097;a46997e7-3530-11eb-0a80-06530015bd6a
C13T08024011;2;2;;XSiiXPGfj4KAcgvNbSipi1;К-ж EPSON T08024010 Stylus Photo P50/PX660, голубой  оригинал;9.1486;a4686df2-3530-11eb-0a80-06530015bd66
C13T12824012;2;2;0189-or;0189;Картридж T1282 голубой Orig.;9.03;37d9aec7-a77d-11e7-7a6c-d2a900166940
C13T12824012;2;2;;JmuHGnwZie5O4dls0FLb80;К-ж EPSON T12824012 new S22/SX125 голубой;9.03;a4a3eab9-3530-11eb-0a80-06530015be24
C1Q10A;2;2;;fePL3Q4xgO5LI2WQj5bxd2;C1Q10A HP 711 Комплект замены печатающей головки (Printhead Replacement Kit);297.7475;a117760a-3530-11eb-0a80-06530015b1c7
C1Q10A;2;2;;OwzqX9Yoj8OB6aUKHeyU22;Комплект для замены печатающей головки HP 711;289.303;4b2afa28-dd02-11e8-9ff4-34e800135a8d
C4096A;2;2;0020;0020;Картридж C4096A;74.962;6823cd4e-923b-4f3c-b2b1-9a3be5255cb4
C4096A;2;2;;hWeLOJUfgdXtDvutT1KPr0;C4096A  К-ж HP LJ 2100/2200, ориг. 5000 страниц;72.7739;96c31179-3530-11eb-0a80-0653001589cd
C4127X;2;2;0416;0416;Картридж C4127X;241.1382;f0bdb68b-4a9c-11e7-7a31-d0fd000784e1
C4127X;2;2;;rSbKCyyNgxoi32Hyes6CU0;C4127X  К-ж HP LJ 4000/4000N/4000T ориг.ресурс 10000;235.4031;96c5cbba-3530-11eb-0a80-0653001589d9
C4844A;2;2;0313-or;0313;Картридж 10 Bk HP;90.539;aa44b7c6-ad99-11e7-7a6c-d2a900379896
C4844A;2;2;;f9OuFRkZiN8P61RCRLRG01;К-ж HP C4844A 2000/2500C Color Printer  black;93.1818;a1837a34-3530-11eb-0a80-06530015b347
C9363HE;2;2;0310-or;0310;Картридж hp 134 Col HP;97.3562;896f4fe8-31a4-11e8-9ff4-34e8001f0104
C9363HE;2;2;;xR0IjEv4gYnjuZF0DfzyJ0;К-ж HP C9363HE 6543/5743/5740/6843/PS 8153/8453 №134;74.6749;a1d00c76-3530-11eb-0a80-06530015b463
C9380A;2;2;;GtNh-TSdgLKhV-GHRSM3p0;Печатающая головка HP C9380A;86.4739;55697834-a28f-11e7-7a31-d0fd00236ffd
C9380A;2;2;;GwUQWGehiH2al6jO8THSa0;К-ж HP C9380A HP № 72 Печатающая головка черная и серая;112.739;a1dc3812-3530-11eb-0a80-06530015b48f
C9384A;2;2;;kA6YOF7Hhj23NWHltC8Vw3;Печатающая головка HP C9384A;90.7309;86e6399c-a28f-11e7-6b01-4b1d00244967
C9384A;2;2;;ZVm83l8chYDgyjDTUgQWX0;К-ж HP C9384A HP №72 Печатающая головка  матовая, черная и желтая;118.289;a1e0851c-3530-11eb-0a80-06530015b49f
C9396AE;2;2;0970-or;0970;Картридж C9396AE HP 88 XL Black Original;69.2085;259fd6be-bd52-11e7-6b01-4b1d00063b89
C9396AE;2;2;;flIAzXy3haoBneeRk8n4V1;К-ж HP C9396AE Officejet Pro K550 № 88 увеличенный черный;53.0848;a1ea1884-3530-11eb-0a80-06530015b4c4
C9403A;2;2;3980sf;3980;Картридж HP C9403А (№ 72) Матовый черный O;89.8795;38228929-278c-11e8-9ff4-34e800098f23
C9403A;2;2;;3WMtAdcAjNkkCZf7BWI5h0;К-ж HP C9403А к Designjet T1100ps (№ 72) Матовый черный ориг;117.179;a1f1c5d5-3530-11eb-0a80-06530015b4dc
C9421A;2;2;;dlYXdYh0iE7K8ig6IHoLi0;К-ж HP C9421A печатающая головка № 85 magenta;0.0;a1ffbe59-3530-11eb-0a80-06530015b510
C9421A;2;2;;fQjkWgfAj72QUcwzW-Elk3;Печатающая головка HP 85 пурпурная (1500 стр);0.0;b8e25a8f-caf0-11e8-9ff4-34e80034e28e
CB304AE;2;2;0947cs;0947;Картридж HP 110 Col Cactus;0.0;36ace742-75ab-11e6-7a69-97110006bcbf
CB304AE;2;2;;YG5e1oBQg9bGZWmHEwTT80;К-ж HP CB304AE PhotoSmart A430 (№ 110) цветной оригинал;0.0;a225e0be-3530-11eb-0a80-06530015b585
CB335HE;2;2;0198-or;0198;Картридж hp 140xl HP;27.0674;b84a738d-4473-11e8-9ff4-31500003fed8
CB335HE;2;2;3624-or;3624;К-ж HP CB335HE OfficeJet J5783 № 140 стандартный черный;35.2888;a236b599-3530-11eb-0a80-06530015b5c1
CB337HE;2;2;0199-or;0199;Картридж HP 141XL HP;43.3732;505a2ed8-4474-11e8-9109-f8fc000385fe
CB337HE;2;2;3625-or;3625;К-ж HP CB337HE OfficeJet J5783 № 141 стандартный цветной;33.2685;a238ee72-3530-11eb-0a80-06530015b5c9
CC656AE;2;2;;gxcCAJ03h6cnmrLETtLbv3;К-ж HP CC656AE J4580/4660/4680 № 901 цветной;32.9634;09ee2fdd-1487-11ec-0a80-0d9c00324d4b
CC656AE;2;2;ORIG0847;ORIG0847;К-ж HP CC656AE J4580/4660/4680 № 901 цветной;42.9755;a24538fd-3530-11eb-0a80-06530015b5f1
