article;cards;code;external_code;name;buy_price;ms_id
151069;2;1285ct;1285;Картридж AOEM Brother TN-3480;813.88;ab136adf-e85a-11ef-0a80-00c100081f90
151069;2;1285ao;1285;Картридж TN-3480 AO;739.2;d86a8e14-a3ca-11ee-0a80-0d1a000b307e
CB335HE;2;3624-or;3624;К-ж HP CB335HE OfficeJet J5783 № 140 стандартный черный;3528.88;a236b599-3530-11eb-0a80-06530015b5c1
CB335HE;2;0198-or;0198;Картридж hp 140xl HP;2706.74;b84a738d-4473-11e8-9ff4-31500003fed8
CB337HE;2;0199-or;0199;Картридж HP 141XL HP;4337.32;505a2ed8-4474-11e8-9109-f8fc000385fe
CB337HE;2;3625-or;3625;К-ж HP CB337HE OfficeJet J5783 № 141 стандартный цветной;3326.85;a238ee72-3530-11eb-0a80-06530015b5c9
CN053AE;2;CN053AE;CN053AE;Картридж HP 932XL Bk OR;5004.25;3ee36504-9f29-11ea-0a80-05d80004110b
CN053AE;2;CN053AE;CN053AE;К-ж HP CN053AE HP 932XL Officejet (1000 страниц) черный;5036.71;a275f655-3530-11eb-0a80-06530015b69a
CN054AE;2;CN054AE;CN054AE;Картридж HP 933XL Cyan OR;1385.39;599ae0f4-9f29-11ea-0a80-012d000401e6
CN054AE;2;CN054AE;CN054AE;К-ж HP CN054AE HP 933XL Officejet (825 страниц) голубой;2606.8;a2770916-3530-11eb-0a80-06530015b69e
CN055AE;2;CN055AE;CN055AE;Картридж HP 933XL Magenta OR;2590.0;77e31594-9f29-11ea-0a80-03690003b0bb
CN055AE;2;CN055AE;CN055AE;К-ж HP CN055AE HP 933XL Officejet (825 страниц) пурпурный;2606.8;a2787973-3530-11eb-0a80-06530015b6a2
CN056AE;2;CN056AE;CN056AE;Картридж HP 933XL Yellow OR;1385.39;91086390-9f29-11ea-0a80-05d800041c45
CN056AE;2;CN056AE;CN056AE;К-ж HP CN056AE HP 933XL Officejet (825 страниц) желтый;2606.8;a279ebd6-3530-11eb-0a80-06530015b6a6
F6V16AE;2;F6V16AE;F6V16AE;Картридж F6V16AE (№123) цветной;1592.12;98956802-6625-11eb-0a80-06ca000e069b
F6V16AE;2;F6V16AE;F6V16AE;К-ж HP F6V16AE №123 для HP Deskjet Ink,   Tri-colour (Цветной);2075.7;a2b6031c-3530-11eb-0a80-06530015b773
F6V17AE;3;F6V17AE;F6V17AE;Картридж F6V17AE (№123) черный;887.0;4c4adc54-8016-11eb-0a80-084300172141
F6V17AE;3;F6V17AE;F6V17AE;К-ж HP F6V17AE №123 для HP Deskjet Ink,  Black (Черный);1766.75;a2b70341-3530-11eb-0a80-06530015b777
F6V17AE;3;F6V17AE;F6V17AE;Картридж HP 123 Black Original;1778.21;bb96d0c2-ae53-11e7-6b01-4b1d00035677
F6V24AE;2;F6V24AE;F6V24AE;К-ж HP F6V24AE 652 Tri-colour (Цветной) Ink Cartridge;1450.0;a2bbfc66-3530-11eb-0a80-06530015b787
F6V24AE;2;F6V24AE;F6V24AE;Картридж F6V24AE (№652) цветной;1489.6;e3584ce6-6148-11eb-0a80-09e100062310
