article;cards;code;external_code;name;признак;остаток_целевые;остаток_прочие;ms_id
CB335HE;2;3624-or;3624;К-ж HP CB335HE OfficeJet J5783 № 140 стандартный черный;;;;a236b599-3530-11eb-0a80-06530015b5c1
CB335HE;2;0198-or;0198;Картридж hp 140xl HP;;;;b84a738d-4473-11e8-9ff4-31500003fed8
CB337HE;2;0199-or;0199;Картридж HP 141XL HP;;;;505a2ed8-4474-11e8-9109-f8fc000385fe
CB337HE;2;3625-or;3625;К-ж HP CB337HE OfficeJet J5783 № 141 стандартный цветной;;;;a238ee72-3530-11eb-0a80-06530015b5c9
CET141209;2;1078ce;1078;Картридж лазерный Cet CET141209 006R01517 черный (26000стр.) для Xerox WorkCentre 7525/7545/7556/7835/7970;;;ВСЕГО=1.0;2e206781-97f6-11f1-0a80-16b00034f9d7
CET141209;2;1078bt;1078;Картридж лазерный Cet CET141209 006R01517 черный (26000стр.) для Xerox WorkCentre 7525/7545/7556/7835/7970;;;;e368c755-7a9b-11f0-0a80-1037005129ec
CET6685;2;1718ce;1718;Картридж лазерный Cet CET6685 TK-1150 черный (3000стр.) для Kyocera Ecosys M2135dn/M2635dn/P2235dn/P2635dw;;;ВСЕГО=32.0;2e943547-97f6-11f1-0a80-09f100369c70
CET6685;2;1718bt;1718;Картридж лазерный Cet CET6685 TK-1150 черный (3000стр.) для Kyocera Ecosys M2135dn/M2635dn/P2235dn/P2635dw;;;;c9acb383-694b-11f0-0a80-052100057642
CET6701U;2;1293ce;1293;Картридж лазерный Cet CET6701U TN-116/TN-117H/TN-118/TN-119 черный (12000стр.) для Konica Minolta Bizhub 164/184/7718/185/185e/7818/7818e/195/215/235/7719/205i/225i;;;ВСЕГО=21.0;2f357312-97f6-11f1-0a80-0cb80037b0a2
CET6701U;2;1293bt;1293;Картридж лазерный Cet CET6701U TN-116/TN-117H/TN-118/TN-119 черный (12000стр.) для Konica Minolta Bizhub 164/184/7718/185/185e/7818/7818e/195/215/235/7719/205i/225i;;;;c99a7fcd-694b-11f0-0a80-052100057634
CET8989;2;5369ce;5369;Картридж лазерный Cet CET8989 TK-1170 черный (7200стр.) для Kyocera ECOSYS M2040dn/M2540dn/M2540dw с чипом;;;ВСЕГО=77.0;2f96c516-97f6-11f1-0a80-0e2c0038c060
CET8989;2;5369bt;5369;Картридж лазерный Cet CET8989 TK-1170 черный (7200стр.) для Kyocera ECOSYS M2040dn/M2540dn/M2540dw с чипом;;;;c9b5aeeb-694b-11f0-0a80-052100057649
CET8996CR;2;2136ce;2136;Картридж лазерный Cet CET8996CR TK-5240C голубой (3000стр.) для Kyocera ECOSYS P5026cdn/M5526cdn;;;ВСЕГО=8.0;2fffae3e-97f6-11f1-0a80-069a0036fc86
CET8996CR;2;2136bt;2136;Картридж лазерный Cet CET8996CR TK-5240C голубой (3000стр.) для Kyocera ECOSYS P5026cdn/M5526cdn;;;;c9befee5-694b-11f0-0a80-052100057650
CET8996M;2;2137ce;2137;Картридж лазерный Cet CET8996M TK-5240M пурпурный (3000стр.) для Kyocera ECOSYS P5026cdn/M5526cdn;;;ВСЕГО=16.0;309d76b1-97f6-11f1-0a80-1a5800385adb
CET8996M;2;2137bt;2137;Картридж лазерный Cet CET8996M TK-5240M пурпурный (3000стр.) для Kyocera ECOSYS P5026cdn/M5526cdn;;;;c9c85b3d-694b-11f0-0a80-052100057657
CN053AE;2;CN053AE;CN053AE;Картридж HP 932XL Bk OR;имя-ориг;;;3ee36504-9f29-11ea-0a80-05d80004110b
CN053AE;2;CN053AE;CN053AE;К-ж HP CN053AE HP 932XL Officejet (1000 страниц) черный;;;;a275f655-3530-11eb-0a80-06530015b69a
CN054AE;2;CN054AE;CN054AE;Картридж HP 933XL Cyan OR;имя-ориг;;;599ae0f4-9f29-11ea-0a80-012d000401e6
