# oz_acc1: реклама 2026-07-27..2026-08-17 (22 дн), поиск 4 нед с 2026-07-13, продажи вся история, маржа: margin_safe = margin_own_live - 4.6 п.п.; построено 2026-08-18 — кандидаты на подъём ставки
sku,offer_id,name,in_ads,bid,n_camp,camp_titles,ad_views,ad_clicks,ctr,cpc,ad_spend,spend_30d,ad_orders,ad_rev,ad_drr,ad_cr,ad_days_shown,clicks14,spend14,ad_orders14,ad_rev14,s_demand,s_views,s_orders,s_gmv,pos_avg,pos_best,s_views_all,s_orders_all,s_demand_all,s_weeks,qty30,rev30,qty90,rev90,qty_all,rev_all,n_post,canc,cancel_share,last_sale,days_since_sale,free_fbo,our_price,buyer_price,margin_own_live,margin_safe,net_live,cr_bucket,ceiling_live,ceiling_safe,headroom,segment,tier,note
1510947813,5378,"Картриджи 069H для принтеров Canon i-SENSYS LBP-673Cdw, MF752Cdw, MF754Cdw",True,40.74,2,от 10000 до 500 тыс / Эксперимент1,7043,183,2.6,25.3,4628.49,6312,12.0,164811.0,2.8,6.56,17,89,2746.92,4.0,51858.0,158257,1797,0,112979,23.7500000000000000,13,3024,0,194436,7,26,365886.0000,101,1384002.7200,121,1655284.7200,129,10,7.8,2026-08-12,6,0,14890.0,,25.52,20.9,3799.79,0.0565,172.7,133.8,93.1,bid_up,A,реклама окупается (ДРР 2.8 %); сам продаёт 1 384 003 ₽/90 дн; позиция 24 при спросе 158 257
2509753251,6282,"Картриджи C-EXV65 для принтеров Canon imageRUNNER C3326, iR C3326i",True,35.43,3,от 10000 до 500 тыс / Пустые РК / Эксперимент1,1924,46,2.39,15.8,725.90,990,5.0,104190.0,0.7,10.87,22,31,515.46,5.0,104190.0,26848,1123,0,22382,34.7500000000000000,26,2245,0,87250,7,11,235491.0000,57,1098755.0000,62,1189599.0000,66,13,19.7,2026-08-17,1,0,22487.0,,26.35,21.8,5925.37,0.0565,271.4,213.6,178.2,bid_up,A,реклама окупается (ДРР 0.7 %); сам продаёт 1 098 755 ₽/90 дн
1719404303,5624,Картриджи TK-5370 для принтеров Kyocera ECOSYS MA3500cifx,True,60.0,2,от 10000 до 500 тыс / Эксперимент1,10545,147,1.39,40.3,5927.02,8082,12.0,146315.0,4.1,8.16,22,95,4315.08,9.0,113277.0,34829,1829,0,19801,19.7500000000000000,11,3278,0,100117,7,29,349463.0000,71,831691.0000,74,871187.0000,66,5,7.6,2026-08-17,1,0,12407.0,,24.3,19.7,3015.13,0.0565,135.4,103.1,43.1,bid_up,A,реклама окупается (ДРР 4.1 %); сам продаёт 831 691 ₽/90 дн; позиция 20 при спросе 34 829
1760686645,5771,"Картриджи W2300X-W2303X для принтеров HP Color LaserJet Pro 4203cdn, 4303dw",True,21.96,1,Вне РК — спрос без рекламы (08.08),695,25,3.6,15.0,374.02,510,3.0,61337.0,0.6,12.0,9,25,374.02,3.0,61337.0,89184,861,0,43347,24.7500000000000000,17,1589,0,129347,7,14,272245.0000,50,829516.0000,56,920997.0000,58,5,8.6,2026-08-17,1,0,20502.0,,26.22,21.6,5375.45,0.0565,246.0,192.4,170.4,bid_up,A,реклама окупается (ДРР 0.6 %); сам продаёт 829 516 ₽/90 дн; позиция 25 при спросе 89 184
1547263981,5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw, MF657Cdw",True,35.43,2,от 10000 до 500 тыс / Эксперимент1,10462,185,1.77,25.8,4775.34,6512,4.0,42397.0,11.3,2.16,22,127,3585.46,2.0,20671.0,115438,1933,0,44583,21.0000000000000000,14,3287,0,143183,7,19,207106.0000,63,663116.0000,75,779922.0000,78,5,6.4,2026-08-14,4,0,10445.0,,27.51,22.9,2873.6,0.0565,132.9,105.7,70.3,bid_up,A,реклама окупается (ДРР 11.3 %); сам продаёт 663 116 ₽/90 дн; позиция 21 при спросе 115 438
870872516,2415,"Картриджи TK-8115 для принтеров Kyocera Ecosys M8124cidn, M8130cidn",True,40.27,2,от 5000 до 10000 / Эксперимент1,4331,65,1.5,35.1,2281.30,3111,8.0,85940.0,2.7,12.31,22,41,1647.66,4.0,44224.0,152449,1510,0,77209,22.2500000000000000,18,2852,0,206078,7,21,227205.0000,55,559056.0000,71,708082.0000,67,6,9.0,2026-08-17,1,0,10792.0,,23.65,19.0,2552.02,0.0565,113.8,85.4,45.1,bid_up,A,реклама окупается (ДРР 2.7 %); сам продаёт 559 056 ₽/90 дн; позиция 22 при спросе 152 449
1716070006,5443,"Картриджи LC-472XLBK - LC-472XLY для принтеров Brother MFC-J2340DW, MFC J3540DW",True,21.96,1,Вне РК — спрос без рекламы (08.08),653,21,3.22,13.0,272.42,371,3.0,26546.0,1.0,14.29,10,21,272.42,3.0,26546.0,6264,95,0,11502,34.5000000000000000,13,95,0,6264,2,5,44124.0000,51,584271.0000,70,745695.0000,58,1,1.7,2026-08-16,2,0,8968.0,,28.39,23.8,2546.09,0.0394,82.7,66.4,44.4,bid_up,A,реклама окупается (ДРР 1.0 %); сам продаёт 584 271 ₽/90 дн
1261464375,4838,"Картриджи 712 для принтеров HP DesignJet Studio, DJ Studio Steel, DJ T210, DJ T230",True,35.43,1,от 10000 до 500 тыс,2543,58,2.28,24.4,1416.96,1932,3.0,65802.0,2.2,5.17,21,32,771.30,2.0,42754.0,8430,1235,0,38937,24.3333333333333333,22,2420,0,34499,6,5,108629.0000,26,473443.7500,31,550045.7500,31,4,12.9,2026-08-11,7,0,23506.0,,34.25,29.6,8051.76,0.0565,388.7,326.9,291.5,bid_up,A,реклама окупается (ДРР 2.2 %); сам продаёт 473 444 ₽/90 дн; позиция 24 при спросе 8 430
863431676,0368,"Картриджи CE740A-CE743A для принтеров HP LaserJet CP5220, LJ-CP5225",True,24.16,1,от 10000 до 500 тыс,493,17,3.45,19.5,330.79,451,1.0,33668.0,1.0,5.88,22,9,159.90,1.0,33668.0,34622,512,0,17066,22.2500000000000000,16,1151,0,67720,7,4,137836.0000,16,482153.0000,18,535807.0000,19,1,5.3,2026-08-13,5,0,37673.0,,31.04,26.4,11693.18,0.0565,554.6,455.8,431.6,bid_up,A,реклама окупается (ДРР 1.0 %); сам продаёт 482 153 ₽/90 дн; позиция 22 при спросе 34 622
1719319666,5634,Картриджи TK-5440 для принтеров Kyocera ECOSYS MA2100cfx,True,28.0,1,от 5000 до 10000,1099,43,3.91,22.6,971.81,1325,2.0,11016.0,8.8,4.65,21,16,433.14,1.0,5499.0,113854,921,0,4161,31.3333333333333333,26,2034,0,175026,6,12,67580.0000,50,262261.0000,59,305126.0000,62,10,16.1,2026-08-13,5,0,6350.0,,33.06,28.5,2099.41,0.0394,70.2,58.8,30.8,bid_up,A,реклама окупается (ДРР 8.8 %); сам продаёт 262 261 ₽/90 дн
