bundle,sku,base,mult,base_qty180,base_rev180,avg_price
6851X6,5289879276,6851,6,22,386489,17568
6851X2,5289887575,6851,2,22,386489,17568
6851X10,5289880863,6851,10,22,386489,17568
5309X10,5322477814,5309,10,194,372840,1922
5309X6,5322475969,5309,6,194,372840,1922
5309X2,5322477276,5309,2,194,372840,1922
5544X2,5279513850,5544,2,20,323716,16186
5544X10,5279513634,5544,10,20,323716,16186
5544X6,5279512181,5544,6,20,323716,16186
5418X2,5278411260,5418,2,74,256400,3465
5418X6,5278407951,5418,6,74,256400,3465
5418X10,5278411623,5418,10,74,256400,3465
5374X10,5278053069,5374,10,43,233606,5433
5374X6,5278052028,5374,6,43,233606,5433
5374X2,5278053645,5374,2,43,233606,5433
5767X6,5280732498,5767,6,45,229280,5095
5767X2,5280733748,5767,2,45,229280,5095
5767X10,5280732503,5767,10,45,229280,5095
5807X10,5281036126,5807,10,29,223533,7708
5807X6,5281036212,5807,6,29,223533,7708
5807X2,5281036331,5807,2,29,223533,7708
5439X6,5278543346,5439,6,48,199601,4158
5439X2,5278542066,5439,2,48,199601,4158
5439X10,5278544152,5439,10,48,199601,4158
5824X10,5281110875,5824,10,16,178458,11154
5824X6,5281110715,5824,6,16,178458,11154
5824X2,5281112985,5824,2,16,178458,11154
5521X2,5279551540,5521,2,73,166839,2285
5521X6,5279550442,5521,6,73,166839,2285
5521X10,5279550578,5521,10,73,166839,2285
5530X10,5279668009,5530,10,48,151060,3147
5530X6,5279669988,5530,6,48,151060,3147
5530X2,5279667146,5530,2,48,151060,3147
3641X2,5259666747,3641,2,9,147313,16368
3641X6,5259666189,3641,6,9,147313,16368
3641X10,5259673715,3641,10,9,147313,16368
5621X2,5280100241,5621,2,39,139921,3588
5621X6,5280097888,5621,6,39,139921,3588
5621X10,5280099328,5621,10,39,139921,3588
3909X6,5322444622,3909,6,34,133793,3935
3909X10,5322443873,3909,10,34,133793,3935
3909X2,5322445688,3909,2,34,133793,3935
5725X2,5280360411,5725,2,33,130712,3961
5725X10,5280361954,5725,10,33,130712,3961
5725X6,5280360338,5725,6,33,130712,3961
3717X6,5260427107,3717,6,13,130355,10027
3717X2,5260429298,3717,2,13,130355,10027
3717X10,5260430515,3717,10,13,130355,10027
2638X10,5322424506,2638,10,31,127258,4105
2638X6,5322458669,2638,6,31,127258,4105
2638X2,5322433640,2638,2,31,127258,4105
4480X6,5322451814,4480,6,10,119309,11931
4480X2,5322451343,4480,2,10,119309,11931
4480X10,5322449261,4480,10,10,119309,11931
2960X10,5255259871,2960,10,11,115682,10517
2960X6,5255262850,2960,6,11,115682,10517
2960X2,5255259852,2960,2,11,115682,10517
5626X2,5280108649,5626,2,25,108243,4330
5626X10,5280108851,5626,10,25,108243,4330
5626X6,5280108109,5626,6,25,108243,4330
5631X2,5280119647,5631,2,52,107000,2058
5631X10,5280121327,5631,10,52,107000,2058
5631X6,5280119825,5631,6,52,107000,2058
3258X2,5322453950,3258,2,47,92082,1959
3258X6,5322441953,3258,6,47,92082,1959
3258X10,5322452723,3258,10,47,92082,1959
5698X10,5280248365,5698,10,21,91943,4378
5698X6,5280251334,5698,6,21,91943,4378
5698X2,5280248444,5698,2,21,91943,4378
3669X6,5260010102,3669,6,24,89262,3719
3669X10,5260019114,3669,10,24,89262,3719
3669X2,5260010622,3669,2,24,89262,3719
4832X6,5272625999,4832,6,20,85134,4257
4832X10,5272627354,4832,10,20,85134,4257
4832X2,5272628215,4832,2,20,85134,4257
4481X10,5322452992,4481,10,21,82366,3922
4481X6,5322449538,4481,6,21,82366,3922
4481X2,5322452254,4481,2,21,82366,3922
0893X2,5239611570,0893,2,6,79020,13170
0893X6,5239611568,0893,6,6,79020,13170
0893X10,5239611086,0893,10,6,79020,13170
2312X10,5251237059,2312,10,20,77967,3898
2312X6,5251233431,2312,6,20,77967,3898
2312X2,5251235786,2312,2,20,77967,3898
3442X10,5258447374,3442,10,14,76506,5465
3442X2,5258441875,3442,2,14,76506,5465
3442X6,5258442474,3442,6,14,76506,5465
5344X2,5233204361,5344,2,26,76403,2939
5344X6,5233232895,5344,6,26,76403,2939
