code,offers_in_ads,offers_with_sales,ad_spend_july,revenue_180d,offer_ids,name
5309,3,3,7733,376288,5309; 5309X2; 5309X6,"Тонер TN-420H для принтеров M6700D, M6800FDW, M7100DN, M7200"
1032,2,2,2382,555735,1032; 10325,"Картридж KX-FAT410A7 для Panasonic KX-MB1500, KX-MB1501, KX "
2393,3,3,776,31730,2393; 239327; 239330del1,"Картридж KP-108in / RP-108 для Canon CP1300, CP1500, CP1000,"
4821,3,1,753,56979,4821; 4821X2; 4821X6,"Картридж TL-420Е для принтеров M6700D, M6800FDW, M7100DN, M7"
5767,5,3,737,243066,5767; 57673; 57675; 5767X2; 5767X6,"Картридж для HP Color LaserJet Pro MFP 4303fdw, 4303dw, 4203"
5439,5,3,725,220320,5439; 54391; 54392; 5439X2; 5439X6,"Картридж LC-472XL BK для принтеров Brother MFC-J2340DW, MFC "
5631,5,3,718,127730,5631; 56311; 5631X10; 5631X2; 5631X6,Картридж TK-5440K для принтеров Kyocera ECOSYS MA2100cfx чер
5521,4,2,575,170042,5521; 55215; 5521X2; 5521X6,"Картридж для Canon i-SENSYS MF275dw, LBP120, LBP122dw, MF270"
0232,3,3,497,12186,0232; 02321-del; 02325,Картридж KX-FAT92A для принтеров Panasonic KXMB263 KXMB271 K
5626,3,1,408,108243,5626; 5626X2; 5626X6,"Картридж TK-5380K для принтеров Kyocera ECOSYS PA4000cx, MA4"
5418,3,2,322,260936,5418; 5418X2; 5418X6,"Картридж 067H Bk для принтеров Canon i-SENSYS LBP633Cdw, LBP"
0328,3,1,303,63306,0328; 0328X2; 0328X6,"Картридж 178XL для принтеров HP PhotoSmart B109c, DeskJet 30"
5940,3,1,292,38132,5940; 5940X2; 5940X6,"Картридж W1107XL для принтеров HP Laser 107A, Laser107R черн"
0035,3,1,272,35199,0035; 0035X2; 0035X6,Картридж SCX-4200 для принтеров Samsung SCX-4200 черный
4542,7,5,255,60125,4542; 45421; 45427; 45428; 45429; 4542X2; 4542X6,"Картридж W1106XL для принтеров HP Laser 135WR MFP, HP Laser "
3257,2,2,237,12587,3257; 32573,Заправочный комплект PC-211EV / PC-211RB (тонер 65гр + чип +
0851,5,5,235,47850,0851; 085110; 085111; 08512; 08514,"Картридж TN-2375 для принтеров Brother DCP-L2500DR, DCP-L252"
2312,4,2,230,90046,2312; 23127; 2312X2; 2312X6,"Картридж 650 для принтеров HP Ink Advantage 2545 All-in-One,"
5519,3,3,226,2771,5519; 55192; 55193,"Картридж W1420A для принтеров HP LaserJet MFP M140w, LJ M110"
2233,2,2,220,30444,2233; 22335,"Картридж TN-322 для принтеров Konica Minolta и Bizhub 224, B"
1324,2,2,214,15166,13242; 13243,Картридж для Ricoh Aficio SP111SF
6383,2,2,212,22618,6383; 63832,Картридж TL-C2310H для принтеров BM2300 черный
0792,2,2,197,15484,0792; 079218,"Картридж CLT-K406S для принтеров Samsung CLX-3305FW, CLP-360"
0305,4,2,190,68084,0305; 030523; 0305X2; 0305X6,"Картридж 45 для принтеров HP DesignJet 750, Copier 110/120, "
0481,3,3,185,5347,0481; 04814; 04816,Картридж T036 Epson черный совместимый
5344,3,1,182,72912,5344; 5344X2; 5344X6,Картридж SCX-4100 для принтеров Samsung и SCX-4100 черный
0237,3,3,181,40612,0237; 02372del; 02373,"Картридж TK-1140 для принтеров Kyocera EcoSys M2035DN, M2535"
1367,3,3,179,80549,1367; 13671; 13672,"Картридж 106R02773 для Xerox WorkCentre 3025, Phaser 3020BI,"
1377,3,3,173,24558,1377; 13772; 13775,"Картридж CF218A для принтеров HP LaserJet Pro M104w, LJ M133"
0306,3,3,167,125059,0306; 03063; 03066,"Картридж 78 для принтеров HP DeskJet 1280 DeskJet 1220, Copi"
4433,6,4,161,45477,4433; 443310; 44337; 44338; 4433X2; 4433X6,"Чернила №110 для принтеров Epson EcoTank M2170, EcoTank M110"
2638,4,3,161,131882,2638; 26382; 2638X2; 2638X6,Картридж TN-324BK для принтеров Konica Minolta и Bizhub C258
4481,6,4,157,93397,4481; 44813; 44813del1; 44816; 4481X2; 4481X6,"Картридж CTL-1100XK для Pantum CM1100DW, CM1100DN"
0018,5,5,155,42536,0018; 001812; 001818; 001820; 00184,"Картридж E30 для принтеров Canon FC-100, FC 108, FC120, FC-1"
5781,3,1,155,31329,5781; 5781X2; 5781X6,"Фотобарабан 013R00691 для принтеров Xerox B225, B230, B235 ч"
3262,3,3,149,13848,3262; 32621; 326210,Картридж PC-211EV для принтеров Pantum P2518 M6500 P2200 P22
5773,2,2,148,84764,5773; 57733,"Картридж 070 для принтеров Canon i-SENSYS MF461dw, LBP243dw,"
1835,5,3,145,49788,1835; 18353; 18354; 1835X2; 1835X6,"Картридж SP3500XE для Ricoh Aficio SP3500SF, SP3510DN, SP351"
5841,2,2,144,5965,5841; 58411,"Картридж ME-300 для принтеров Epson FX-80, FX 800, FX870, LX"
0202,4,4,143,19379,0202; 020238; 02024; 02025,"Картридж 122XL для принтеров HP DeskJet 3050A, DeskJet 1000"
0109,2,2,139,8222,0109; 01091,"Картридж ML-1630 для принтеров Samsung SCX-4500, SCX-4501, M"
5807,3,1,135,223533,5807; 5807X2; 5807X6,Картридж C-EXV65K для принтеров Canon iR-C3226i черный
3083,3,1,134,49966,3083; 3083X2; 3083X6,"Картридж 903XL для принтеров HP OfficeJet 6950, OfficeJet Pr"
0832,3,1,134,48903,0832; 0832X2; 0832X6,"Фотобарабан C-EXV14 DU для принтеров Canon iR 2318L, iR 2320"
