sku,offer_id,queries,demand,best_pos,own_orders,leader_orders,ad_spend_30d,kind,verdict
1719404446,5631,1,2,24,0.0,0.0,54.38,бандл_vs_одиночка,наблюдать — обе без заказов
4463790069,05613,3,3,12,0.0,0.0,34.6,дубли_одного_товара,наблюдать — обе без заказов
653303752,10325,1,100,21,0.0,0.0,28.8,дубли_одного_товара,наблюдать — обе без заказов
1692504266,5621,1,2,9,0.0,0.0,14.21,бандл_vs_одиночка,наблюдать — обе без заказов
1469084054,5418,3,20,17,0.0,0.0,14.03,бандл_vs_одиночка,наблюдать — обе без заказов
651915925,0232,5,14,3,0.0,0.0,9.15,дубли_одного_товара,наблюдать — обе без заказов
4504651930,26079,2,84,24,0.0,0.0,7.51,дубли_одного_товара,наблюдать — обе без заказов
4451986444,02325,3,8,13,0.0,0.0,7.25,дубли_одного_товара,наблюдать — обе без заказов
652564576,3442,1,1,2,0.0,0.0,3.62,бандл_vs_одиночка,наблюдать — обе без заказов
4527388317,52877,13,1430,6,0.0,0.0,1.0,дубли_одного_товара,наблюдать — обе без заказов
4527408473,55193,11,22,7,0.0,0.0,1.0,дубли_одного_товара,наблюдать — обе без заказов
1769491634,5773,4,10,11,0.0,0.0,1.0,дубли_одного_товара,наблюдать — обе без заказов
4444701177,00025,1,7,26,0.0,0.0,1.0,дубли_одного_товара,наблюдать — обе без заказов
4527387470,53395,3,7,6,0.0,0.0,1.0,дубли_одного_товара,наблюдать — обе без заказов
653122368,0851,2,5,7,0.0,0.0,1.0,дубли_одного_товара,наблюдать — обе без заказов
4543075630,58481,3,3,8,0.0,0.0,1.0,дубли_одного_товара,наблюдать — обе без заказов
653125968,13671,9,1421,3,0.0,1.0,0.0,дубли_одного_товара,снять с рекламы
4480825283,08512,6,1414,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527389129,528711,6,1398,10,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4507508166,29704,2,1389,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653348091,3264,1,1388,1,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5278053645,5374X2,2,179,23,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
3557209592,6383,3,179,23,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
863393318,0112,3,164,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5255276901,2965X6,2,120,17,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
653125611,13672,4,100,23,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1143060743,5216,13,91,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
652535762,2607,1,77,22,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4515703642,326410,2,75,23,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4515704364,326210,3,62,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527407669,54391,10,49,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527404209,56311,9,48,10,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4543080042,63832,2,47,26,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527402621,54392,9,46,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527402470,54462,9,44,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
652454515,0202,6,43,2,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
652547575,0018,15,38,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5289879276,6851X6,1,36,9,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
1716069692,5287,10,34,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4493556240,23127,4,34,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
